time,PT.Ox_Downstream.raw_adc_counts
2026-03-06 16:51:48.387187,348711374
2026-03-06 16:51:48.488104,349882945
2026-03-06 16:51:48.589119,351059882
2026-03-06 16:51:48.689684,352238015
2026-03-06 16:51:48.790536,353428130
2026-03-06 16:51:48.89238,354632615
2026-03-06 16:51:48.993296,355834000
2026-03-06 16:51:49.093474,357044815
2026-03-06 16:51:49.194463,358251693
2026-03-06 16:51:49.294928,359460522
2026-03-06 16:51:49.396633,360674287
2026-03-06 16:51:49.49726,361885311
2026-03-06 16:51:49.597888,363088177
2026-03-06 16:51:49.698879,364297437
2026-03-06 16:51:49.799411,365494642
2026-03-06 16:51:49.900287,366694881
2026-03-06 16:51:50.001698,367877164
2026-03-06 16:51:50.102645,369067054
2026-03-06 16:51:50.203807,370245763
2026-03-06 16:51:50.305096,371410658
2026-03-06 16:51:50.406022,372568271
2026-03-06 16:51:50.506778,373710427
2026-03-06 16:51:50.608542,374850818
2026-03-06 16:51:50.709577,375972187
2026-03-06 16:51:50.81006,377072294
2026-03-06 16:51:50.911269,378153214
2026-03-06 16:51:51.011623,379232775
2026-03-06 16:51:51.112884,380281828
2026-03-06 16:51:51.214861,381325835
2026-03-06 16:51:51.315716,382342073
2026-03-06 16:51:51.416922,383331604
2026-03-06 16:51:51.517657,384309619
2026-03-06 16:51:51.618408,385253822
2026-03-06 16:51:51.719881,386188974
2026-03-06 16:51:51.820327,387094910
2026-03-06 16:51:51.921895,387976719
2026-03-06 16:51:52.022673,388824455
2026-03-06 16:51:52.122931,389650521
2026-03-06 16:51:52.224297,390444945
2026-03-06 16:51:52.325011,391218615
2026-03-06 16:51:52.425693,391954560
2026-03-06 16:51:52.526802,392676084
2026-03-06 16:51:52.627394,393357555
2026-03-06 16:51:52.728246,394005328
2026-03-06 16:51:52.82932,394629107
2026-03-06 16:51:52.929848,395213155
2026-03-06 16:51:53.030822,395777267
2026-03-06 16:51:53.13155,396300784
2026-03-06 16:51:53.232572,396791793
2026-03-06 16:51:53.333364,397246959
2026-03-06 16:51:53.434263,397670256
2026-03-06 16:51:53.535933,398063187
2026-03-06 16:51:53.637415,398418713
2026-03-06 16:51:53.73795,398739959
2026-03-06 16:51:53.839108,399023062
2026-03-06 16:51:53.939648,399269513
2026-03-06 16:51:54.040669,399487758
2026-03-06 16:51:54.141974,399664789
2026-03-06 16:51:54.242895,399803701
2026-03-06 16:51:54.344446,399902731
2026-03-06 16:51:54.445363,399973160
2026-03-06 16:51:54.546129,399997942
2026-03-06 16:51:54.647379,399995178
2026-03-06 16:51:54.748045,399948491
2026-03-06 16:51:54.848793,399867498
2026-03-06 16:51:54.949843,399750940
2026-03-06 16:51:55.050639,399599246
2026-03-06 16:51:55.152597,399409024
2026-03-06 16:51:55.253132,399180310
2026-03-06 16:51:55.354537,398919129
2026-03-06 16:51:55.455386,398615323
2026-03-06 16:51:55.556223,398279408
2026-03-06 16:51:55.657738,397909991
2026-03-06 16:51:55.758894,397505610
2026-03-06 16:51:55.859584,397068770
2026-03-06 16:51:55.960567,396595961
2026-03-06 16:51:56.061064,396095319
2026-03-06 16:51:56.162082,395557601
2026-03-06 16:51:56.262926,394988302
2026-03-06 16:51:56.363652,394383335
2026-03-06 16:51:56.464586,393750826
2026-03-06 16:51:56.565502,393089144
2026-03-06 16:51:56.666489,392391007
2026-03-06 16:51:56.767696,391667465
2026-03-06 16:51:56.867975,390918149
2026-03-06 16:51:56.969433,390124196
2026-03-06 16:51:57.070014,389321372
2026-03-06 16:51:57.171347,388478140
2026-03-06 16:51:57.272677,387616977
2026-03-06 16:51:57.373842,386722450
2026-03-06 16:51:57.474365,385811773
2026-03-06 16:51:57.575126,384879204
2026-03-06 16:51:57.675915,383913757
2026-03-06 16:51:57.777531,382937613
2026-03-06 16:51:57.878653,381935853
2026-03-06 16:51:57.979709,380908074
2026-03-06 16:51:58.080298,379860153
2026-03-06 16:51:58.181014,378802260
2026-03-06 16:51:58.281812,377727379
2026-03-06 16:51:58.382826,376631578
2026-03-06 16:51:58.484017,375526156
2026-03-06 16:51:58.584412,374404011
2026-03-06 16:51:58.68563,373263237
2026-03-06 16:51:58.786509,372121258
2026-03-06 16:51:58.887232,370956110
2026-03-06 16:51:58.98828,369789442
2026-03-06 16:51:59.08889,368610820
2026-03-06 16:51:59.189836,367428561
2026-03-06 16:51:59.290962,366232607
2026-03-06 16:51:59.391592,365036280
2026-03-06 16:51:59.492478,363827464
2026-03-06 16:51:59.593573,362625493
2026-03-06 16:51:59.694267,361415234
2026-03-06 16:51:59.795553,360204193
2026-03-06 16:51:59.896041,358994886
2026-03-06 16:51:59.99737,357777926
2026-03-06 16:52:00.098829,356573745
2026-03-06 16:52:00.199446,355365993
2026-03-06 16:52:00.300342,354165536
