time,PT.GSE_High.sample_ts_ms
2026-03-06 13:08:56.325812,3276010373
2026-03-06 13:08:56.427083,3276010474
2026-03-06 13:08:56.527952,3276010575
2026-03-06 13:08:56.629162,3276010676
2026-03-06 13:08:56.730804,3276010778
2026-03-06 13:08:56.831369,3276010878
2026-03-06 13:08:56.932039,3276010979
2026-03-06 13:08:57.032883,3276011080
2026-03-06 13:08:57.133769,3276011181
2026-03-06 13:08:57.234803,3276011282
2026-03-06 13:08:57.335763,3276011383
2026-03-06 13:08:57.437123,3276011484
2026-03-06 13:08:57.537977,3276011585
2026-03-06 13:08:57.638947,3276011686
2026-03-06 13:08:57.740389,3276011787
2026-03-06 13:08:57.841289,3276011888
2026-03-06 13:08:57.942069,3276011989
2026-03-06 13:08:58.043472,3276012091
2026-03-06 13:08:58.144881,3276012192
2026-03-06 13:08:58.245828,3276012293
2026-03-06 13:08:58.346612,3276012394
2026-03-06 13:08:58.447386,3276012495
2026-03-06 13:08:58.548889,3276012596
2026-03-06 13:08:58.649402,3276012697
2026-03-06 13:08:58.750473,3276012798
2026-03-06 13:08:58.851661,3276012899
2026-03-06 13:08:58.952639,3276013000
2026-03-06 13:08:59.05345,3276013101
2026-03-06 13:08:59.154949,3276013202
2026-03-06 13:08:59.2562,3276013303
2026-03-06 13:08:59.356969,3276013404
2026-03-06 13:08:59.458363,3276013505
2026-03-06 13:08:59.559654,3276013607
2026-03-06 13:08:59.660933,3276013708
2026-03-06 13:08:59.761945,3276013809
2026-03-06 13:08:59.862525,3276013910
2026-03-06 13:08:59.96375,3276014011
2026-03-06 13:09:00.064962,3276014112
2026-03-06 13:09:00.166469,3276014213
2026-03-06 13:09:00.266421,3276014313
2026-03-06 13:09:00.367367,3276014414
2026-03-06 13:09:00.468509,3276014515
2026-03-06 13:09:00.569025,3276014616
2026-03-06 13:09:00.670109,3276014717
2026-03-06 13:09:00.771588,3276014818
2026-03-06 13:09:00.872542,3276014919
2026-03-06 13:09:00.97354,3276015021
2026-03-06 13:09:01.074842,3276015122
2026-03-06 13:09:01.17594,3276015223
2026-03-06 13:09:01.276804,3276015324
2026-03-06 13:09:01.377843,3276015425
2026-03-06 13:09:01.479167,3276015526
2026-03-06 13:09:01.580019,3276015627
2026-03-06 13:09:01.680764,3276015728
2026-03-06 13:09:01.781611,3276015829
2026-03-06 13:09:01.882061,3276015929
2026-03-06 13:09:01.983213,3276016030
2026-03-06 13:09:02.084592,3276016131
2026-03-06 13:09:02.185688,3276016232
2026-03-06 13:09:02.286255,3276016333
2026-03-06 13:09:02.387168,3276016434
2026-03-06 13:09:02.488252,3276016535
2026-03-06 13:09:02.589317,3276016636
2026-03-06 13:09:02.691461,3276016737
2026-03-06 13:09:02.791698,3276016838
2026-03-06 13:09:02.892126,3276016939
2026-03-06 13:09:02.993288,3276017040
2026-03-06 13:09:03.094404,3276017141
2026-03-06 13:09:03.195241,3276017242
2026-03-06 13:09:03.296871,3276017343
2026-03-06 13:09:03.396953,3276017444
2026-03-06 13:09:03.498168,3276017545
2026-03-06 13:09:03.5996,3276017647
2026-03-06 13:09:03.701262,3276017748
2026-03-06 13:09:03.80138,3276017848
2026-03-06 13:09:03.902149,3276017949
2026-03-06 13:09:04.002893,3276018050
2026-03-06 13:09:04.104059,3276018151
2026-03-06 13:09:04.204889,3276018252
2026-03-06 13:09:04.306036,3276018353
2026-03-06 13:09:04.406791,3276018454
2026-03-06 13:09:04.507413,3276018554
2026-03-06 13:09:04.608922,3276018656
2026-03-06 13:09:04.710401,3276018757
2026-03-06 13:09:04.810933,3276018858
2026-03-06 13:09:04.911981,3276018959
2026-03-06 13:09:05.012787,3276019060
2026-03-06 13:09:05.114008,3276019161
2026-03-06 13:09:05.214953,3276019262
2026-03-06 13:09:05.315696,3276019363
2026-03-06 13:09:05.416816,3276019464
2026-03-06 13:09:05.517838,3276019565
2026-03-06 13:09:05.618764,3276019666
2026-03-06 13:09:05.719635,3276019767
2026-03-06 13:09:05.82039,3276019867
2026-03-06 13:09:05.921237,3276019968
2026-03-06 13:09:06.021808,3276020069
2026-03-06 13:09:06.122444,3276020170
2026-03-06 13:09:06.223573,3276020270
2026-03-06 13:09:06.324549,3276020371
2026-03-06 13:09:06.425107,3276020472
2026-03-06 13:09:06.526319,3276020573
2026-03-06 13:09:06.627412,3276020675
2026-03-06 13:09:06.728424,3276020776
2026-03-06 13:09:06.829302,3276020876
2026-03-06 13:09:06.930515,3276020977
2026-03-06 13:09:07.031315,3276021078
2026-03-06 13:09:07.132266,3276021179
2026-03-06 13:09:07.23371,3276021281
2026-03-06 13:09:07.334455,3276021382
2026-03-06 13:09:07.435636,3276021483
2026-03-06 13:09:07.536646,3276021584
2026-03-06 13:09:07.637625,3276021685
2026-03-06 13:09:07.738894,3276021786
2026-03-06 13:09:07.839212,3276021886
2026-03-06 13:09:07.940049,3276021987
2026-03-06 13:09:08.041594,3276022089
2026-03-06 13:09:08.142742,3276022190
2026-03-06 13:09:08.243522,3276022291
2026-03-06 13:09:08.344497,3276022392
2026-03-06 13:09:08.445386,3276022493
2026-03-06 13:09:08.546491,3276022594
2026-03-06 13:09:08.647835,3276022695
2026-03-06 13:09:08.749391,3276022797
2026-03-06 13:09:08.85064,3276022898
2026-03-06 13:09:08.951222,3276022998
2026-03-06 13:09:09.052373,3276023100
2026-03-06 13:09:09.153405,3276023201
2026-03-06 13:09:09.253992,3276023301
2026-03-06 13:09:09.354839,3276023402
2026-03-06 13:09:09.456024,3276023503
2026-03-06 13:09:09.556709,3276023604
2026-03-06 13:09:09.657473,3276023704
2026-03-06 13:09:09.757793,3276023805
2026-03-06 13:09:09.858942,3276023906
2026-03-06 13:09:09.959804,3276024007
2026-03-06 13:09:10.060656,3276024108
2026-03-06 13:09:10.161451,3276024209
2026-03-06 13:09:10.262354,3276024310
2026-03-06 13:09:10.364271,3276024411
2026-03-06 13:09:10.464521,3276024512
2026-03-06 13:09:10.565437,3276024613
2026-03-06 13:09:10.666629,3276024714
2026-03-06 13:09:10.767727,3276024815
2026-03-06 13:09:10.868059,3276024915
2026-03-06 13:09:10.968989,3276025016
2026-03-06 13:09:11.070114,3276025117
2026-03-06 13:09:11.171148,3276025218
2026-03-06 13:09:11.272049,3276025319
2026-03-06 13:09:11.373739,3276025420
2026-03-06 13:09:11.474145,3276025521
2026-03-06 13:09:11.575,3276025622
2026-03-06 13:09:11.676529,3276025723
2026-03-06 13:09:11.77724,3276025824
2026-03-06 13:09:11.877865,3276025925
2026-03-06 13:09:11.979163,3276026026
2026-03-06 13:09:12.08006,3276026127
2026-03-06 13:09:12.180691,3276026228
2026-03-06 13:09:12.281859,3276026329
2026-03-06 13:09:12.383026,3276026430
