time,PT.Fuel_Downstream.sample_ts_ms
2026-03-06 12:50:15.776625,3274889824
2026-03-06 12:50:15.877189,3274889925
2026-03-06 12:50:15.978584,3274890025
2026-03-06 12:50:16.079778,3274890127
2026-03-06 12:50:16.181159,3274890228
2026-03-06 12:50:16.282226,3274890329
2026-03-06 12:50:16.382579,3274890430
2026-03-06 12:50:16.483395,3274890530
2026-03-06 12:50:16.584064,3274890631
2026-03-06 12:50:16.685464,3274890732
2026-03-06 12:50:16.785829,3274890833
2026-03-06 12:50:16.886921,3274890934
2026-03-06 12:50:16.987536,3274891035
2026-03-06 12:50:17.088427,3274891136
2026-03-06 12:50:17.189202,3274891236
2026-03-06 12:50:17.290371,3274891337
2026-03-06 12:50:17.391129,3274891438
2026-03-06 12:50:17.492115,3274891539
2026-03-06 12:50:17.593349,3274891640
2026-03-06 12:50:17.694214,3274891741
2026-03-06 12:50:17.794904,3274891842
2026-03-06 12:50:17.895603,3274891943
2026-03-06 12:50:17.996538,3274892043
2026-03-06 12:50:18.097491,3274892144
2026-03-06 12:50:18.198674,3274892245
2026-03-06 12:50:18.299299,3274892346
2026-03-06 12:50:18.400225,3274892447
2026-03-06 12:50:18.500706,3274892548
2026-03-06 12:50:18.601464,3274892649
2026-03-06 12:50:18.702539,3274892750
2026-03-06 12:50:18.803631,3274892850
2026-03-06 12:50:18.904562,3274892951
2026-03-06 12:50:19.005561,3274893052
2026-03-06 12:50:19.106306,3274893153
2026-03-06 12:50:19.207762,3274893254
2026-03-06 12:50:19.308917,3274893356
2026-03-06 12:50:19.410196,3274893457
2026-03-06 12:50:19.510988,3274893558
2026-03-06 12:50:19.61198,3274893659
2026-03-06 12:50:19.713242,3274893760
2026-03-06 12:50:19.814087,3274893861
2026-03-06 12:50:19.915555,3274893962
2026-03-06 12:50:20.016088,3274894063
2026-03-06 12:50:20.117074,3274894164
2026-03-06 12:50:20.218016,3274894265
2026-03-06 12:50:20.319426,3274894366
2026-03-06 12:50:20.420253,3274894467
2026-03-06 12:50:20.521211,3274894568
2026-03-06 12:50:20.622331,3274894669
2026-03-06 12:50:20.72326,3274894770
2026-03-06 12:50:20.824754,3274894871
2026-03-06 12:50:20.925547,3274894972
2026-03-06 12:50:21.026812,3274895074
2026-03-06 12:50:21.127964,3274895175
2026-03-06 12:50:21.22884,3274895276
2026-03-06 12:50:21.330294,3274895377
2026-03-06 12:50:21.430894,3274895478
2026-03-06 12:50:21.531796,3274895579
2026-03-06 12:50:21.63305,3274895680
2026-03-06 12:50:21.733863,3274895781
2026-03-06 12:50:21.834728,3274895882
2026-03-06 12:50:21.935779,3274895983
2026-03-06 12:50:22.037573,3274896084
2026-03-06 12:50:22.138458,3274896185
2026-03-06 12:50:22.239099,3274896286
2026-03-06 12:50:22.340063,3274896387
2026-03-06 12:50:22.441406,3274896488
2026-03-06 12:50:22.541944,3274896589
2026-03-06 12:50:22.64256,3274896690
2026-03-06 12:50:22.74343,3274896791
2026-03-06 12:50:22.844253,3274896891
2026-03-06 12:50:22.944885,3274896992
2026-03-06 12:50:23.046005,3274897093
2026-03-06 12:50:23.146565,3274897193
2026-03-06 12:50:23.247343,3274897294
2026-03-06 12:50:23.348225,3274897395
2026-03-06 12:50:23.449231,3274897496
2026-03-06 12:50:23.549994,3274897597
2026-03-06 12:50:23.651348,3274897698
2026-03-06 12:50:23.752293,3274897799
2026-03-06 12:50:23.8529,3274897900
2026-03-06 12:50:23.954142,3274898001
2026-03-06 12:50:24.055429,3274898102
2026-03-06 12:50:24.15574,3274898203
2026-03-06 12:50:24.256723,3274898304
2026-03-06 12:50:24.35803,3274898405
2026-03-06 12:50:24.458515,3274898505
2026-03-06 12:50:24.560044,3274898607
2026-03-06 12:50:24.660823,3274898708
2026-03-06 12:50:24.761661,3274898809
2026-03-06 12:50:24.862809,3274898910
2026-03-06 12:50:24.963356,3274899010
2026-03-06 12:50:25.06436,3274899111
2026-03-06 12:50:25.165164,3274899212
2026-03-06 12:50:25.266801,3274899314
2026-03-06 12:50:25.367552,3274899415
2026-03-06 12:50:25.468422,3274899516
2026-03-06 12:50:25.569511,3274899617
2026-03-06 12:50:25.670461,3274899717
2026-03-06 12:50:25.771758,3274899819
2026-03-06 12:50:25.872426,3274899920
2026-03-06 12:50:25.973627,3274900021
2026-03-06 12:50:26.074653,3274900121
2026-03-06 12:50:26.175214,3274900222
2026-03-06 12:50:26.275995,3274900323
2026-03-06 12:50:26.376823,3274900424
2026-03-06 12:50:26.477999,3274900525
2026-03-06 12:50:26.579005,3274900626
2026-03-06 12:50:26.679859,3274900727
2026-03-06 12:50:26.780656,3274900828
2026-03-06 12:50:26.881759,3274900929
2026-03-06 12:50:26.982849,3274901030
2026-03-06 12:50:27.083936,3274901131
2026-03-06 12:50:27.184733,3274901232
2026-03-06 12:50:27.285792,3274901333
2026-03-06 12:50:27.386975,3274901434
2026-03-06 12:50:27.487855,3274901535
2026-03-06 12:50:27.588681,3274901636
2026-03-06 12:50:27.689927,3274901737
2026-03-06 12:50:27.791018,3274901838
2026-03-06 12:50:27.892579,3274901939
2026-03-06 12:50:27.993282,3274902040
2026-03-06 12:50:28.094326,3274902141
2026-03-06 12:50:28.19464,3274902242
2026-03-06 12:50:28.295662,3274902343
2026-03-06 12:50:28.396489,3274902444
2026-03-06 12:50:28.497774,3274902545
2026-03-06 12:50:28.599439,3274902647
2026-03-06 12:50:28.700912,3274902748
2026-03-06 12:50:28.80219,3274902849
2026-03-06 12:50:28.902963,3274902950
2026-03-06 12:50:29.004542,3274903051
2026-03-06 12:50:29.105163,3274903152
2026-03-06 12:50:29.205751,3274903253
2026-03-06 12:50:29.307292,3274903354
2026-03-06 12:50:29.408523,3274903456
2026-03-06 12:50:29.509751,3274903557
2026-03-06 12:50:29.61118,3274903658
2026-03-06 12:50:29.712144,3274903759
2026-03-06 12:50:29.813463,3274903860
2026-03-06 12:50:29.914841,3274903962
2026-03-06 12:50:30.015399,3274904063
2026-03-06 12:50:30.116473,3274904164
2026-03-06 12:50:30.217686,3274904265
2026-03-06 12:50:30.318375,3274904365
2026-03-06 12:50:30.419136,3274904466
2026-03-06 12:50:30.520004,3274904567
2026-03-06 12:50:30.62151,3274904668
2026-03-06 12:50:30.721806,3274904769
2026-03-06 12:50:30.82295,3274904870
2026-03-06 12:50:30.924162,3274904971
