time,PT.Ox_Upstream.status
2026-03-06 14:32:37.823504,0
2026-03-06 14:32:37.924214,0
2026-03-06 14:32:38.024816,0
2026-03-06 14:32:38.126003,0
2026-03-06 14:32:38.226773,0
2026-03-06 14:32:38.327997,0
2026-03-06 14:32:38.42941,0
2026-03-06 14:32:38.529634,0
2026-03-06 14:32:38.630693,0
2026-03-06 14:32:38.73159,0
2026-03-06 14:32:38.83193,0
2026-03-06 14:32:38.933725,0
2026-03-06 14:32:39.03453,0
2026-03-06 14:32:39.134934,0
2026-03-06 14:32:39.236664,0
2026-03-06 14:32:39.337732,0
2026-03-06 14:32:39.438769,0
2026-03-06 14:32:39.539304,0
2026-03-06 14:32:39.640074,0
2026-03-06 14:32:39.741305,0
2026-03-06 14:32:39.842087,0
2026-03-06 14:32:39.94334,0
2026-03-06 14:32:40.044224,0
2026-03-06 14:32:40.144803,0
2026-03-06 14:32:40.245883,0
2026-03-06 14:32:40.346708,0
2026-03-06 14:32:40.448072,0
2026-03-06 14:32:40.549673,0
2026-03-06 14:32:40.650643,0
2026-03-06 14:32:40.751731,0
2026-03-06 14:32:40.853193,0
2026-03-06 14:32:40.953944,0
2026-03-06 14:32:41.054863,0
2026-03-06 14:32:41.156148,0
2026-03-06 14:32:41.256438,0
2026-03-06 14:32:41.35788,0
2026-03-06 14:32:41.458423,0
2026-03-06 14:32:41.559177,0
2026-03-06 14:32:41.659723,0
2026-03-06 14:32:41.760795,0
2026-03-06 14:32:41.861306,0
2026-03-06 14:32:41.962211,0
2026-03-06 14:32:42.063181,0
2026-03-06 14:32:42.163784,0
2026-03-06 14:32:42.264295,0
2026-03-06 14:32:42.365376,0
2026-03-06 14:32:42.46684,0
2026-03-06 14:32:42.567203,0
2026-03-06 14:32:42.668164,0
2026-03-06 14:32:42.768919,0
2026-03-06 14:32:42.869931,0
2026-03-06 14:32:42.970776,0
2026-03-06 14:32:43.071425,0
2026-03-06 14:32:43.17265,0
2026-03-06 14:32:43.273633,0
2026-03-06 14:32:43.374367,0
2026-03-06 14:32:43.475809,0
2026-03-06 14:32:43.576536,0
2026-03-06 14:32:43.677547,0
2026-03-06 14:32:43.778491,0
2026-03-06 14:32:43.879778,0
2026-03-06 14:32:43.980566,0
2026-03-06 14:32:44.08173,0
2026-03-06 14:32:44.182589,0
2026-03-06 14:32:44.283477,0
2026-03-06 14:32:44.384802,0
2026-03-06 14:32:44.486056,0
2026-03-06 14:32:44.586516,0
2026-03-06 14:32:44.687952,0
2026-03-06 14:32:44.789047,0
2026-03-06 14:32:44.890094,0
2026-03-06 14:32:44.991449,0
2026-03-06 14:32:45.091842,0
2026-03-06 14:32:45.193347,0
2026-03-06 14:32:45.294051,0
2026-03-06 14:32:45.394825,0
2026-03-06 14:32:45.495712,0
2026-03-06 14:32:45.596409,0
