time,PT.Fuel_Fill_Press.status
2026-03-06 14:54:31.319329,0
2026-03-06 14:54:31.420777,0
2026-03-06 14:54:31.52201,0
2026-03-06 14:54:31.622726,0
2026-03-06 14:54:31.723485,0
2026-03-06 14:54:31.82467,0
2026-03-06 14:54:31.925951,0
2026-03-06 14:54:32.027081,0
2026-03-06 14:54:32.128138,0
2026-03-06 14:54:32.229623,0
2026-03-06 14:54:32.330768,0
2026-03-06 14:54:32.431659,0
2026-03-06 14:54:32.532945,0
2026-03-06 14:54:32.633602,0
2026-03-06 14:54:32.734926,0
2026-03-06 14:54:32.83615,0
2026-03-06 14:54:32.937443,0
2026-03-06 14:54:33.038211,0
2026-03-06 14:54:33.139539,0
2026-03-06 14:54:33.240967,0
2026-03-06 14:54:33.342351,0
2026-03-06 14:54:33.44309,0
2026-03-06 14:54:33.544231,0
2026-03-06 14:54:33.645305,0
2026-03-06 14:54:33.746296,0
2026-03-06 14:54:33.847237,0
2026-03-06 14:54:33.948949,0
2026-03-06 14:54:34.049926,0
2026-03-06 14:54:34.150744,0
2026-03-06 14:54:34.251443,0
2026-03-06 14:54:34.352587,0
2026-03-06 14:54:34.453709,0
2026-03-06 14:54:34.554665,0
2026-03-06 14:54:34.655476,0
2026-03-06 14:54:34.756512,0
2026-03-06 14:54:34.857067,0
2026-03-06 14:54:34.958137,0
2026-03-06 14:54:35.059179,0
2026-03-06 14:54:35.160094,0
2026-03-06 14:54:35.261047,0
2026-03-06 14:54:35.362206,0
2026-03-06 14:54:35.463369,0
2026-03-06 14:54:35.564153,0
2026-03-06 14:54:35.665532,0
2026-03-06 14:54:35.766613,0
2026-03-06 14:54:35.867611,0
2026-03-06 14:54:35.968451,0
2026-03-06 14:54:36.069221,0
2026-03-06 14:54:36.170051,0
2026-03-06 14:54:36.271566,0
2026-03-06 14:54:36.372056,0
2026-03-06 14:54:36.47331,0
2026-03-06 14:54:36.574,0
2026-03-06 14:54:36.674668,0
2026-03-06 14:54:36.775923,0
2026-03-06 14:54:36.877363,0
2026-03-06 14:54:36.978136,0
2026-03-06 14:54:37.07917,0
2026-03-06 14:54:37.181106,0
2026-03-06 14:54:37.281761,0
2026-03-06 14:54:37.382484,0
2026-03-06 14:54:37.484924,0
2026-03-06 14:54:37.584586,0
2026-03-06 14:54:37.685514,0
2026-03-06 14:54:37.786582,0
2026-03-06 14:54:37.887616,0
2026-03-06 14:54:37.988613,0
2026-03-06 14:54:38.090292,0
2026-03-06 14:54:38.191241,0
2026-03-06 14:54:38.292055,0
2026-03-06 14:54:38.393142,0
2026-03-06 14:54:38.494298,0
2026-03-06 14:54:38.595076,0
2026-03-06 14:54:38.696597,0
2026-03-06 14:54:38.797375,0
2026-03-06 14:54:38.898526,0
2026-03-06 14:54:38.99987,0
2026-03-06 14:54:39.100822,0
2026-03-06 14:54:39.201436,0
2026-03-06 14:54:39.302338,0
2026-03-06 14:54:39.403516,0
2026-03-06 14:54:39.504115,0
2026-03-06 14:54:39.605469,0
2026-03-06 14:54:39.706703,0
2026-03-06 14:54:39.807677,0
2026-03-06 14:54:39.908368,0
2026-03-06 14:54:40.009395,0
2026-03-06 14:54:40.11108,0
2026-03-06 14:54:40.211948,0
2026-03-06 14:54:40.312842,0
2026-03-06 14:54:40.413695,0
2026-03-06 14:54:40.515659,0
2026-03-06 14:54:40.616137,0
2026-03-06 14:54:40.716911,0
2026-03-06 14:54:40.817732,0
2026-03-06 14:54:40.918815,0
2026-03-06 14:54:41.020443,0
2026-03-06 14:54:41.122178,0
2026-03-06 14:54:41.223002,0
2026-03-06 14:54:41.324168,0
2026-03-06 14:54:41.424784,0
2026-03-06 14:54:41.526253,0
2026-03-06 14:54:41.627279,0
2026-03-06 14:54:41.727721,0
2026-03-06 14:54:41.829098,0
2026-03-06 14:54:41.930582,0
2026-03-06 14:54:42.031579,0
2026-03-06 14:54:42.132584,0
2026-03-06 14:54:42.233772,0
2026-03-06 14:54:42.33462,0
2026-03-06 14:54:42.435451,0
2026-03-06 14:54:42.536574,0
2026-03-06 14:54:42.637564,0
2026-03-06 14:54:42.73849,0
2026-03-06 14:54:42.839808,0
2026-03-06 14:54:42.940978,0
2026-03-06 14:54:43.041971,0
2026-03-06 14:54:43.142647,0
2026-03-06 14:54:43.244091,0
2026-03-06 14:54:43.345279,0
2026-03-06 14:54:43.446285,0
2026-03-06 14:54:43.547345,0
2026-03-06 14:54:43.647775,0
2026-03-06 14:54:43.749161,0
2026-03-06 14:54:43.850083,0
2026-03-06 14:54:43.951194,0
2026-03-06 14:54:44.052174,0
2026-03-06 14:54:44.152769,0
2026-03-06 14:54:44.254181,0
2026-03-06 14:54:44.354753,0
2026-03-06 14:54:44.455588,0
2026-03-06 14:54:44.556586,0
2026-03-06 14:54:44.657499,0
2026-03-06 14:54:44.758599,0
2026-03-06 14:54:44.859502,0
2026-03-06 14:54:44.960714,0
2026-03-06 14:54:45.061688,0
2026-03-06 14:54:45.162336,0
2026-03-06 14:54:45.263222,0
2026-03-06 14:54:45.364238,0
2026-03-06 14:54:45.464645,0
2026-03-06 14:54:45.566086,0
2026-03-06 14:54:45.666978,0
2026-03-06 14:54:45.768313,0
2026-03-06 14:54:45.869263,0
2026-03-06 14:54:45.970321,0
2026-03-06 14:54:46.071826,0
2026-03-06 14:54:46.172912,0
2026-03-06 14:54:46.273778,0
2026-03-06 14:54:46.375054,0
2026-03-06 14:54:46.476109,0
2026-03-06 14:54:46.576776,0
2026-03-06 14:54:46.678082,0
2026-03-06 14:54:46.779382,0
2026-03-06 14:54:46.880468,0
2026-03-06 14:54:46.981721,0
2026-03-06 14:54:47.082665,0
2026-03-06 14:54:47.183458,0
2026-03-06 14:54:47.284149,0
2026-03-06 14:54:47.385031,0
2026-03-06 14:54:47.486486,0
2026-03-06 14:54:47.587192,0
