time,PT.GSE_High.raw_adc_counts
2026-03-06 14:33:59.001236,1961604321
2026-03-06 14:33:59.102183,1973174166
2026-03-06 14:33:59.203081,1984095738
2026-03-06 14:33:59.303961,1994315543
2026-03-06 14:33:59.40458,2003823417
2026-03-06 14:33:59.505614,2012650800
2026-03-06 14:33:59.606283,2020763905
2026-03-06 14:33:59.707066,2028144140
2026-03-06 14:33:59.807455,2034803443
2026-03-06 14:33:59.908446,2040745796
2026-03-06 14:34:00.009606,2045954283
2026-03-06 14:34:00.110504,2050430119
2026-03-06 14:34:00.21163,2054156504
2026-03-06 14:34:00.312988,2057126032
2026-03-06 14:34:00.413511,2059341195
2026-03-06 14:34:00.514833,2060804540
2026-03-06 14:34:00.615736,2061513160
2026-03-06 14:34:00.717062,2061462351
2026-03-06 14:34:00.817452,2060657009
2026-03-06 14:34:00.918533,2059094488
2026-03-06 14:34:01.019825,2056778035
2026-03-06 14:34:01.120931,2053717667
2026-03-06 14:34:01.220822,2049912987
2026-03-06 14:34:01.321619,2045358662
2026-03-06 14:34:01.422654,2040061706
2026-03-06 14:34:01.523682,2034025198
2026-03-06 14:34:01.624363,2027270118
2026-03-06 14:34:01.725223,2019789509
2026-03-06 14:34:01.826542,2011582119
2026-03-06 14:34:01.927196,2002669049
2026-03-06 14:34:02.028015,1993046240
2026-03-06 14:34:02.129622,1982744743
2026-03-06 14:34:02.229966,1971726632
2026-03-06 14:34:02.331212,1960059113
2026-03-06 14:34:02.431939,1947708566
2026-03-06 14:34:02.53326,1934737060
2026-03-06 14:34:02.633739,1921111883
2026-03-06 14:34:02.734724,1906885982
2026-03-06 14:34:02.836078,1891977585
2026-03-06 14:34:02.93686,1876537145
2026-03-06 14:34:03.037668,1860477080
2026-03-06 14:34:03.13833,1843858167
2026-03-06 14:34:03.239627,1826627085
2026-03-06 14:34:03.340536,1808916870
2026-03-06 14:34:03.442105,1790556385
2026-03-06 14:34:03.542816,1771806646
2026-03-06 14:34:03.644108,1752562227
2026-03-06 14:34:03.745007,1732861899
2026-03-06 14:34:03.846152,1712634513
2026-03-06 14:34:03.946779,1692013103
2026-03-06 14:34:04.047516,1671026801
2026-03-06 14:34:04.148795,1649528173
2026-03-06 14:34:04.250367,1627648193
