time,LC.CH2.sample_ts_ms
2026-03-06 13:49:45.356104,3278459403
2026-03-06 13:49:45.457237,3278459504
2026-03-06 13:49:45.55769,3278459605
2026-03-06 13:49:45.658393,3278459706
2026-03-06 13:49:45.759839,3278459806
2026-03-06 13:49:45.860564,3278459908
2026-03-06 13:49:45.962023,3278460009
2026-03-06 13:49:46.06267,3278460110
2026-03-06 13:49:46.1637,3278460211
2026-03-06 13:49:46.264686,3278460312
2026-03-06 13:49:46.366005,3278460413
2026-03-06 13:49:46.466819,3278460514
2026-03-06 13:49:46.567978,3278460615
2026-03-06 13:49:46.668813,3278460716
2026-03-06 13:49:46.769869,3278460817
2026-03-06 13:49:46.870735,3278460918
2026-03-06 13:49:46.971141,3278461018
2026-03-06 13:49:47.072398,3278461119
2026-03-06 13:49:47.173582,3278461220
2026-03-06 13:49:47.27438,3278461321
2026-03-06 13:49:47.375042,3278461422
2026-03-06 13:49:47.475967,3278461523
2026-03-06 13:49:47.576795,3278461624
2026-03-06 13:49:47.677709,3278461725
2026-03-06 13:49:47.778891,3278461826
2026-03-06 13:49:47.880051,3278461927
2026-03-06 13:49:47.981197,3278462028
2026-03-06 13:49:48.082078,3278462129
2026-03-06 13:49:48.183801,3278462230
2026-03-06 13:49:48.285133,3278462331
2026-03-06 13:49:48.384862,3278462432
2026-03-06 13:49:48.485959,3278462533
2026-03-06 13:49:48.58668,3278462634
2026-03-06 13:49:48.68783,3278462735
2026-03-06 13:49:48.788447,3278462836
2026-03-06 13:49:48.889426,3278462936
2026-03-06 13:49:48.990102,3278463037
2026-03-06 13:49:49.090824,3278463138
2026-03-06 13:49:49.191799,3278463238
2026-03-06 13:49:49.293187,3278463339
2026-03-06 13:49:49.393113,3278463440
2026-03-06 13:49:49.494679,3278463541
2026-03-06 13:49:49.595328,3278463642
2026-03-06 13:49:49.696354,3278463743
2026-03-06 13:49:49.797248,3278463844
2026-03-06 13:49:49.898101,3278463945
2026-03-06 13:49:49.999218,3278464046
2026-03-06 13:49:50.100243,3278464147
2026-03-06 13:49:50.201328,3278464248
2026-03-06 13:49:50.302755,3278464349
2026-03-06 13:49:50.403269,3278464450
2026-03-06 13:49:50.504044,3278464551
2026-03-06 13:49:50.604971,3278464652
2026-03-06 13:49:50.706362,3278464753
2026-03-06 13:49:50.807268,3278464854
2026-03-06 13:49:50.907858,3278464955
2026-03-06 13:49:51.009333,3278465056
2026-03-06 13:49:51.110183,3278465157
2026-03-06 13:49:51.211146,3278465258
2026-03-06 13:49:51.31256,3278465359
2026-03-06 13:49:51.412778,3278465460
2026-03-06 13:49:51.5138,3278465561
2026-03-06 13:49:51.614505,3278465662
2026-03-06 13:49:51.715417,3278465762
2026-03-06 13:49:51.816316,3278465863
2026-03-06 13:49:51.917377,3278465964
2026-03-06 13:49:52.01824,3278466065
2026-03-06 13:49:52.118983,3278466166
2026-03-06 13:49:52.219764,3278466267
2026-03-06 13:49:52.320366,3278466368
2026-03-06 13:49:52.42147,3278466468
2026-03-06 13:49:52.522199,3278466569
2026-03-06 13:49:52.622772,3278466670
2026-03-06 13:49:52.723672,3278466771
2026-03-06 13:49:52.824335,3278466871
2026-03-06 13:49:52.925515,3278466972
2026-03-06 13:49:53.02673,3278467073
2026-03-06 13:49:53.127661,3278467175
2026-03-06 13:49:53.228424,3278467275
2026-03-06 13:49:53.329598,3278467376
2026-03-06 13:49:53.42965,3278467477
2026-03-06 13:49:53.530956,3278467578
2026-03-06 13:49:53.632256,3278467679
2026-03-06 13:49:53.733268,3278467780
2026-03-06 13:49:53.834258,3278467881
2026-03-06 13:49:53.934908,3278467982
2026-03-06 13:49:54.035855,3278468083
2026-03-06 13:49:54.137268,3278468184
2026-03-06 13:49:54.23796,3278468285
2026-03-06 13:49:54.339062,3278468386
2026-03-06 13:49:54.439937,3278468487
2026-03-06 13:49:54.540429,3278468588
2026-03-06 13:49:54.641951,3278468689
2026-03-06 13:49:54.742485,3278468790
2026-03-06 13:49:54.84344,3278468890
2026-03-06 13:49:54.944079,3278468991
2026-03-06 13:49:55.045331,3278469092
2026-03-06 13:49:55.146389,3278469193
2026-03-06 13:49:55.247121,3278469294
2026-03-06 13:49:55.348088,3278469395
2026-03-06 13:49:55.448932,3278469496
2026-03-06 13:49:55.549681,3278469597
2026-03-06 13:49:55.650449,3278469698
2026-03-06 13:49:55.751438,3278469799
2026-03-06 13:49:55.85236,3278469900
2026-03-06 13:49:55.953587,3278470000
2026-03-06 13:49:56.054232,3278470101
2026-03-06 13:49:56.155121,3278470202
2026-03-06 13:49:56.256522,3278470303
2026-03-06 13:49:56.357133,3278470404
2026-03-06 13:49:56.45847,3278470505
2026-03-06 13:49:56.559327,3278470607
2026-03-06 13:49:56.660584,3278470708
2026-03-06 13:49:56.761528,3278470809
2026-03-06 13:49:56.862573,3278470910
2026-03-06 13:49:56.96349,3278471011
2026-03-06 13:49:57.064575,3278471111
2026-03-06 13:49:57.165792,3278471213
2026-03-06 13:49:57.266513,3278471313
2026-03-06 13:49:57.36762,3278471414
2026-03-06 13:49:57.468189,3278471515
2026-03-06 13:49:57.569373,3278471616
2026-03-06 13:49:57.670132,3278471717
2026-03-06 13:49:57.77093,3278471818
2026-03-06 13:49:57.872,3278471919
2026-03-06 13:49:57.972737,3278472020
2026-03-06 13:49:58.07347,3278472120
2026-03-06 13:49:58.174429,3278472221
2026-03-06 13:49:58.275191,3278472322
2026-03-06 13:49:58.376041,3278472423
2026-03-06 13:49:58.47711,3278472524
2026-03-06 13:49:58.578191,3278472625
2026-03-06 13:49:58.678898,3278472726
2026-03-06 13:49:58.779527,3278472827
2026-03-06 13:49:58.880463,3278472928
2026-03-06 13:49:58.981661,3278473029
2026-03-06 13:49:59.082789,3278473130
2026-03-06 13:49:59.18369,3278473231
2026-03-06 13:49:59.284094,3278473331
2026-03-06 13:49:59.384986,3278473432
2026-03-06 13:49:59.486265,3278473533
2026-03-06 13:49:59.587402,3278473634
2026-03-06 13:49:59.688139,3278473735
2026-03-06 13:49:59.788907,3278473836
2026-03-06 13:49:59.890229,3278473937
2026-03-06 13:49:59.991432,3278474038
2026-03-06 13:50:00.092334,3278474139
2026-03-06 13:50:00.193204,3278474240
2026-03-06 13:50:00.293718,3278474341
2026-03-06 13:50:00.395073,3278474442
2026-03-06 13:50:00.495821,3278474543
2026-03-06 13:50:00.59689,3278474644
2026-03-06 13:50:00.697723,3278474744
2026-03-06 13:50:00.798574,3278474845
2026-03-06 13:50:00.899069,3278474946
2026-03-06 13:50:01.000362,3278475047
2026-03-06 13:50:01.100889,3278475148
2026-03-06 13:50:01.20218,3278475249
2026-03-06 13:50:01.302906,3278475350
2026-03-06 13:50:01.404041,3278475451
2026-03-06 13:50:01.504857,3278475552
2026-03-06 13:50:01.60531,3278475652
2026-03-06 13:50:01.706059,3278475753
2026-03-06 13:50:01.807435,3278475854
2026-03-06 13:50:01.908456,3278475955
2026-03-06 13:50:02.009344,3278476057
2026-03-06 13:50:02.110434,3278476158
2026-03-06 13:50:02.211209,3278476258
2026-03-06 13:50:02.312398,3278476360
2026-03-06 13:50:02.413775,3278476461
2026-03-06 13:50:02.514653,3278476562
2026-03-06 13:50:02.615488,3278476663
2026-03-06 13:50:02.716388,3278476764
2026-03-06 13:50:02.817558,3278476865
2026-03-06 13:50:02.918405,3278476966
2026-03-06 13:50:03.01939,3278477066
2026-03-06 13:50:03.120179,3278477167
2026-03-06 13:50:03.22106,3278477268
2026-03-06 13:50:03.322029,3278477369
2026-03-06 13:50:03.423093,3278477470
2026-03-06 13:50:03.523765,3278477571
2026-03-06 13:50:03.624696,3278477672
2026-03-06 13:50:03.72534,3278477772
2026-03-06 13:50:03.82664,3278477873
2026-03-06 13:50:03.927298,3278477974
2026-03-06 13:50:04.02829,3278478075
2026-03-06 13:50:04.129414,3278478176
2026-03-06 13:50:04.23076,3278478278
2026-03-06 13:50:04.331282,3278478378
2026-03-06 13:50:04.432316,3278478480
2026-03-06 13:50:04.533601,3278478580
2026-03-06 13:50:04.63402,3278478681
2026-03-06 13:50:04.735251,3278478782
2026-03-06 13:50:04.835812,3278478883
2026-03-06 13:50:04.936618,3278478984
2026-03-06 13:50:05.037481,3278479085
2026-03-06 13:50:05.138696,3278479186
2026-03-06 13:50:05.239832,3278479287
2026-03-06 13:50:05.340434,3278479388
2026-03-06 13:50:05.441413,3278479488
2026-03-06 13:50:05.542188,3278479589
