time,LC_Cal.CH1.raw_adc
2026-03-06 21:16:08.553129,634097
2026-03-06 21:16:08.553213,727115
2026-03-06 21:16:08.553272,567369
2026-03-06 21:16:08.553338,367856
2026-03-06 21:16:08.553394,454131
2026-03-06 21:16:08.55345,646231
2026-03-06 21:16:08.553507,698131
2026-03-06 21:16:08.553562,567369
2026-03-06 21:16:08.554048,634097
2026-03-06 21:16:08.654466,560629
2026-03-06 21:16:08.654519,485811
2026-03-06 21:16:08.654561,824175
2026-03-06 21:16:08.654618,536363
2026-03-06 21:16:08.65468,636120
2026-03-06 21:16:08.654739,685999
2026-03-06 21:16:08.65479,756772
2026-03-06 21:16:08.654806,560629
2026-03-06 21:16:08.654844,557258
2026-03-06 21:16:08.654894,668474
2026-03-06 21:16:08.753251,684651
2026-03-06 21:16:08.753315,599723
2026-03-06 21:16:08.753351,468960
2026-03-06 21:16:08.753403,578827
2026-03-06 21:16:08.753451,555910
2026-03-06 21:16:08.753496,631401
2026-03-06 21:16:08.753544,667126
2026-03-06 21:16:08.753621,673866
2026-03-06 21:16:08.852925,688695
2026-03-06 21:16:08.852991,514794
2026-03-06 21:16:08.853011,545126
2026-03-06 21:16:08.853034,745313
2026-03-06 21:16:08.85308,639491
2026-03-06 21:16:08.853146,694087
2026-03-06 21:16:08.853212,663081
2026-03-06 21:16:08.853264,633425
2026-03-06 21:16:08.853367,266751
2026-03-06 21:16:08.85352,688695
2026-03-06 21:16:08.952879,591633
2026-03-06 21:16:08.952944,660385
2026-03-06 21:16:08.952961,629380
2026-03-06 21:16:08.952982,618595
2026-03-06 21:16:08.953023,584219
2026-03-06 21:16:08.95307,603767
2026-03-06 21:16:08.95313,563325
2026-03-06 21:16:08.953182,597027
2026-03-06 21:16:08.953252,657015
2026-03-06 21:16:08.953519,584219
2026-03-06 21:16:09.052702,711612
2026-03-06 21:16:09.052777,566694
2026-03-06 21:16:09.052811,578154
2026-03-06 21:16:09.05284,574109
2026-03-06 21:16:09.053042,481092
2026-03-06 21:16:09.053091,654993
2026-03-06 21:16:09.05315,573435
2026-03-06 21:16:09.152839,660385
2026-03-06 21:16:09.15291,588937
2026-03-06 21:16:09.152982,658364
2026-03-06 21:16:09.153151,587590
2026-03-06 21:16:09.153374,660385
2026-03-06 21:16:09.255906,624662
2026-03-06 21:16:09.255994,648253
2026-03-06 21:16:09.256076,769579
2026-03-06 21:16:09.256174,440650
2026-03-06 21:16:09.256266,679258
2026-03-06 21:16:09.257642,624662
