time,ACT.GN2_Vent.status
2026-03-06 21:25:30.238112,0
2026-03-06 21:25:30.298323,0
2026-03-06 21:25:30.339708,0
2026-03-06 21:25:30.400397,0
2026-03-06 21:25:30.441694,0
2026-03-06 21:25:30.502095,0
2026-03-06 21:25:30.544096,0
2026-03-06 21:25:30.603908,0
2026-03-06 21:25:30.645778,0
2026-03-06 21:25:30.705917,0
2026-03-06 21:25:30.747997,0
2026-03-06 21:25:30.808134,0
2026-03-06 21:25:30.850032,0
2026-03-06 21:25:30.910203,0
2026-03-06 21:25:30.952082,0
2026-03-06 21:25:31.012021,0
2026-03-06 21:25:31.053796,0
2026-03-06 21:25:31.113799,0
2026-03-06 21:25:31.155713,0
2026-03-06 21:25:31.215837,0
2026-03-06 21:25:31.257625,0
2026-03-06 21:25:31.318221,0
2026-03-06 21:25:31.359846,0
2026-03-06 21:25:31.420167,0
2026-03-06 21:25:31.462069,0
2026-03-06 21:25:31.522294,0
2026-03-06 21:25:31.563798,0
2026-03-06 21:25:31.623947,0
2026-03-06 21:25:31.665904,0
2026-03-06 21:25:31.725926,0
2026-03-06 21:25:31.767528,0
2026-03-06 21:25:31.828004,0
2026-03-06 21:25:31.869842,0
2026-03-06 21:25:31.93009,0
2026-03-06 21:25:31.971942,0
2026-03-06 21:25:32.032098,0
2026-03-06 21:25:32.073986,0
2026-03-06 21:25:32.134135,0
2026-03-06 21:25:32.175623,0
2026-03-06 21:25:32.23594,0
2026-03-06 21:25:32.277727,0
2026-03-06 21:25:32.338215,0
2026-03-06 21:25:32.380231,0
2026-03-06 21:25:32.440336,0
2026-03-06 21:25:32.481802,0
2026-03-06 21:25:32.542363,0
2026-03-06 21:25:32.583765,0
2026-03-06 21:25:32.644199,0
2026-03-06 21:25:32.685849,0
2026-03-06 21:25:32.746425,0
2026-03-06 21:25:32.788053,0
2026-03-06 21:25:32.847906,0
2026-03-06 21:25:32.889914,0
2026-03-06 21:25:32.949879,0
2026-03-06 21:25:32.991618,0
2026-03-06 21:25:33.052086,0
2026-03-06 21:25:33.093577,0
2026-03-06 21:25:33.154386,0
2026-03-06 21:25:33.196218,0
2026-03-06 21:25:33.255865,0
2026-03-06 21:25:33.297788,0
2026-03-06 21:25:33.358196,0
2026-03-06 21:25:33.399804,0
2026-03-06 21:25:33.459864,0
2026-03-06 21:25:33.501749,0
2026-03-06 21:25:33.5622,0
2026-03-06 21:25:33.604047,0
2026-03-06 21:25:33.663836,0
2026-03-06 21:25:33.705815,0
2026-03-06 21:25:33.766645,0
2026-03-06 21:25:33.807636,0
2026-03-06 21:25:33.868191,0
2026-03-06 21:25:33.910231,0
2026-03-06 21:25:33.970004,0
2026-03-06 21:25:34.011916,0
2026-03-06 21:25:34.072261,0
2026-03-06 21:25:34.113676,0
2026-03-06 21:25:34.174058,0
2026-03-06 21:25:34.216142,0
2026-03-06 21:25:34.27621,0
2026-03-06 21:25:34.317932,0
2026-03-06 21:25:34.378234,0
2026-03-06 21:25:34.420146,0
2026-03-06 21:25:34.480428,0
2026-03-06 21:25:34.521994,0
2026-03-06 21:25:34.582201,0
2026-03-06 21:25:34.623931,0
2026-03-06 21:25:34.684558,0
2026-03-06 21:25:34.725858,0
2026-03-06 21:25:34.785788,0
2026-03-06 21:25:34.827937,0
2026-03-06 21:25:34.887825,0
2026-03-06 21:25:34.930122,0
2026-03-06 21:25:34.990393,0
2026-03-06 21:25:35.031913,0
2026-03-06 21:25:35.092434,0
2026-03-06 21:25:35.134263,0
2026-03-06 21:25:35.194125,0
2026-03-06 21:25:35.235903,0
2026-03-06 21:25:35.296334,0
2026-03-06 21:25:35.338061,0
2026-03-06 21:25:35.397946,0
2026-03-06 21:25:35.440191,0
2026-03-06 21:25:35.500042,0
2026-03-06 21:25:35.542123,0
2026-03-06 21:25:35.601994,0
2026-03-06 21:25:35.644201,0
2026-03-06 21:25:35.704079,0
2026-03-06 21:25:35.745876,0
2026-03-06 21:25:35.806239,0
2026-03-06 21:25:35.847731,0
2026-03-06 21:25:35.908195,0
2026-03-06 21:25:35.949803,0
2026-03-06 21:25:36.010237,0
2026-03-06 21:25:36.051997,0
2026-03-06 21:25:36.111987,0
2026-03-06 21:25:36.153883,0
2026-03-06 21:25:36.214335,0
2026-03-06 21:25:36.255794,0
2026-03-06 21:25:36.316139,0
2026-03-06 21:25:36.357621,0
2026-03-06 21:25:36.418374,0
2026-03-06 21:25:36.459466,0
2026-03-06 21:25:36.519939,0
2026-03-06 21:25:36.561899,0
2026-03-06 21:25:36.622234,0
2026-03-06 21:25:36.663867,0
2026-03-06 21:25:36.72386,0
2026-03-06 21:25:36.766098,0
2026-03-06 21:25:36.825986,0
2026-03-06 21:25:36.868127,0
2026-03-06 21:25:36.928265,0
2026-03-06 21:25:36.969716,0
2026-03-06 21:25:37.03006,0
2026-03-06 21:25:37.07198,0
2026-03-06 21:25:37.132053,0
2026-03-06 21:25:37.174088,0
2026-03-06 21:25:37.234288,0
2026-03-06 21:25:37.275721,0
2026-03-06 21:25:37.335985,0
2026-03-06 21:25:37.377784,0
2026-03-06 21:25:37.438332,0
2026-03-06 21:25:37.480211,0
2026-03-06 21:25:37.539955,0
2026-03-06 21:25:37.581787,0
2026-03-06 21:25:37.642189,0
2026-03-06 21:25:37.683733,0
2026-03-06 21:25:37.744005,0
2026-03-06 21:25:37.786036,0
2026-03-06 21:25:37.846256,0
2026-03-06 21:25:37.888135,0
2026-03-06 21:25:37.947993,0
2026-03-06 21:25:37.990112,0
2026-03-06 21:25:38.050002,0
2026-03-06 21:25:38.092016,0
2026-03-06 21:25:38.152285,0
2026-03-06 21:25:38.194144,0
2026-03-06 21:25:38.254196,0
2026-03-06 21:25:38.296064,0
2026-03-06 21:25:38.356301,0
2026-03-06 21:25:38.39757,0
2026-03-06 21:25:38.4578,0
2026-03-06 21:25:38.499633,0
