time,ACT.GSE_LOX_Fill_Vent.actuator_state
2026-03-06 21:18:47.700994,1
2026-03-06 21:18:47.74436,0
2026-03-06 21:18:47.802974,1
2026-03-06 21:18:47.846061,0
2026-03-06 21:18:47.904607,1
2026-03-06 21:18:47.948422,0
2026-03-06 21:18:48.006474,1
2026-03-06 21:18:48.050378,0
2026-03-06 21:18:48.108437,1
2026-03-06 21:18:48.152208,0
2026-03-06 21:18:48.210873,1
2026-03-06 21:18:48.254528,0
2026-03-06 21:18:48.312795,1
2026-03-06 21:18:48.356447,0
2026-03-06 21:18:48.414577,1
2026-03-06 21:18:48.45827,0
2026-03-06 21:18:48.516806,1
2026-03-06 21:18:48.56022,0
2026-03-06 21:18:48.618722,1
2026-03-06 21:18:48.662274,0
2026-03-06 21:18:48.720508,1
2026-03-06 21:18:48.764258,0
2026-03-06 21:18:48.823036,1
2026-03-06 21:18:48.866477,0
2026-03-06 21:18:48.924579,1
2026-03-06 21:18:48.968433,0
2026-03-06 21:18:49.026883,1
2026-03-06 21:18:49.070394,0
2026-03-06 21:18:49.128585,1
2026-03-06 21:18:49.1727,0
2026-03-06 21:18:49.230865,1
2026-03-06 21:18:49.2744,0
2026-03-06 21:18:49.333223,1
2026-03-06 21:18:49.376474,0
2026-03-06 21:18:49.434808,1
2026-03-06 21:18:49.478309,0
2026-03-06 21:18:49.536379,1
2026-03-06 21:18:49.580471,0
2026-03-06 21:18:49.638475,1
2026-03-06 21:18:49.682451,0
2026-03-06 21:18:49.740548,1
2026-03-06 21:18:49.784515,0
2026-03-06 21:18:49.842713,1
2026-03-06 21:18:49.886226,0
2026-03-06 21:18:49.944445,1
2026-03-06 21:18:49.988286,0
2026-03-06 21:18:50.046707,1
2026-03-06 21:18:50.090249,0
2026-03-06 21:18:50.148815,1
2026-03-06 21:18:50.192528,0
2026-03-06 21:18:50.250699,1
2026-03-06 21:18:50.294254,0
2026-03-06 21:18:50.352661,1
2026-03-06 21:18:50.396186,0
2026-03-06 21:18:50.454764,1
2026-03-06 21:18:50.498632,0
2026-03-06 21:18:50.556605,1
2026-03-06 21:18:50.600066,0
2026-03-06 21:18:50.658742,1
2026-03-06 21:18:50.702679,0
2026-03-06 21:18:50.760838,1
2026-03-06 21:18:50.804258,0
2026-03-06 21:18:50.863004,1
2026-03-06 21:18:50.906382,0
2026-03-06 21:18:50.964714,1
2026-03-06 21:18:51.008568,0
2026-03-06 21:18:51.0668,1
2026-03-06 21:18:51.110343,0
2026-03-06 21:18:51.168588,1
2026-03-06 21:18:51.212621,0
2026-03-06 21:18:51.271707,1
2026-03-06 21:18:51.314515,0
2026-03-06 21:18:51.3726,1
2026-03-06 21:18:51.416259,0
2026-03-06 21:18:51.475081,1
2026-03-06 21:18:51.518192,0
2026-03-06 21:18:51.576723,1
2026-03-06 21:18:51.620187,0
2026-03-06 21:18:51.678552,1
2026-03-06 21:18:51.722399,0
2026-03-06 21:18:51.781004,1
2026-03-06 21:18:51.824711,0
2026-03-06 21:18:51.882622,1
2026-03-06 21:18:51.926171,0
2026-03-06 21:18:51.984451,1
2026-03-06 21:18:52.028095,0
2026-03-06 21:18:52.086453,1
2026-03-06 21:18:52.130173,0
2026-03-06 21:18:52.188499,1
2026-03-06 21:18:52.232478,0
2026-03-06 21:18:52.290591,1
2026-03-06 21:18:52.334182,0
2026-03-06 21:18:52.392467,1
2026-03-06 21:18:52.436433,0
2026-03-06 21:18:52.495046,1
2026-03-06 21:18:52.538351,0
2026-03-06 21:18:52.596578,1
2026-03-06 21:18:52.640519,0
2026-03-06 21:18:52.698872,1
2026-03-06 21:18:52.742645,0
2026-03-06 21:18:52.800619,1
2026-03-06 21:18:52.844134,0
2026-03-06 21:18:52.902491,1
2026-03-06 21:18:52.946682,0
2026-03-06 21:18:53.004822,1
2026-03-06 21:18:53.048021,0
2026-03-06 21:18:53.106514,1
2026-03-06 21:18:53.150698,0
2026-03-06 21:18:53.208965,1
2026-03-06 21:18:53.251946,0
2026-03-06 21:18:53.310596,1
2026-03-06 21:18:53.353999,0
2026-03-06 21:18:53.412684,1
2026-03-06 21:18:53.456448,0
2026-03-06 21:18:53.514441,1
2026-03-06 21:18:53.55833,0
2026-03-06 21:18:53.616826,1
2026-03-06 21:18:53.660435,0
2026-03-06 21:18:53.718662,1
2026-03-06 21:18:53.762016,0
2026-03-06 21:18:53.820874,1
2026-03-06 21:18:53.864433,0
2026-03-06 21:18:53.922884,1
2026-03-06 21:18:53.966338,0
2026-03-06 21:18:54.024694,1
2026-03-06 21:18:54.068379,0
2026-03-06 21:18:54.126572,1
2026-03-06 21:18:54.170541,0
2026-03-06 21:18:54.228671,1
2026-03-06 21:18:54.272475,0
2026-03-06 21:18:54.330951,1
2026-03-06 21:18:54.374262,0
2026-03-06 21:18:54.432689,1
2026-03-06 21:18:54.476481,0
2026-03-06 21:18:54.535187,1
2026-03-06 21:18:54.577964,0
2026-03-06 21:18:54.637064,1
2026-03-06 21:18:54.680238,0
2026-03-06 21:18:54.738976,1
2026-03-06 21:18:54.782245,0
2026-03-06 21:18:54.84077,1
2026-03-06 21:18:54.884214,0
2026-03-06 21:18:54.942798,1
2026-03-06 21:18:54.986545,0
2026-03-06 21:18:55.04459,1
2026-03-06 21:18:55.088306,0
2026-03-06 21:18:55.146848,1
2026-03-06 21:18:55.190325,0
