time,ACT.Fuel_Fill_Vent.raw_adc_counts
2026-03-06 21:24:14.451677,0
2026-03-06 21:24:14.511425,1049137699
2026-03-06 21:24:14.553634,0
2026-03-06 21:24:14.613599,1049164739
2026-03-06 21:24:14.655371,0
2026-03-06 21:24:14.715465,1049137699
2026-03-06 21:24:14.757304,978534504
2026-03-06 21:24:14.817401,1049137699
2026-03-06 21:24:14.859407,0
2026-03-06 21:24:14.91914,1049083618
2026-03-06 21:24:14.961891,0
2026-03-06 21:24:15.021495,1049083618
2026-03-06 21:24:15.063388,0
2026-03-06 21:24:15.123343,1049056578
2026-03-06 21:24:15.165361,978534504
2026-03-06 21:24:15.225355,1049110659
2026-03-06 21:24:15.267563,0
2026-03-06 21:24:15.327475,1049137699
2026-03-06 21:24:15.369739,0
2026-03-06 21:24:15.429408,1049164739
2026-03-06 21:24:15.471302,978534504
2026-03-06 21:24:15.531758,1049137699
2026-03-06 21:24:15.573453,0
2026-03-06 21:24:15.633706,1049110659
2026-03-06 21:24:15.675206,0
2026-03-06 21:24:15.735851,1049110659
2026-03-06 21:24:15.777966,978534504
2026-03-06 21:24:15.837337,1049056578
2026-03-06 21:24:15.879363,0
2026-03-06 21:24:15.939094,1049029538
2026-03-06 21:24:15.981605,0
2026-03-06 21:24:16.041412,1049083618
2026-03-06 21:24:16.083412,0
2026-03-06 21:24:16.143655,1049164739
2026-03-06 21:24:16.185499,978534504
2026-03-06 21:24:16.245727,1049110659
2026-03-06 21:24:16.287315,0
2026-03-06 21:24:16.347622,1049137699
2026-03-06 21:24:16.389662,0
2026-03-06 21:24:16.449278,1049110659
2026-03-06 21:24:16.49135,0
2026-03-06 21:24:16.551452,1049083618
2026-03-06 21:24:16.593503,0
2026-03-06 21:24:16.653486,1049083618
2026-03-06 21:24:16.695473,0
2026-03-06 21:24:16.755429,1049083618
2026-03-06 21:24:16.797489,0
2026-03-06 21:24:16.857573,1049272900
2026-03-06 21:24:16.900095,0
2026-03-06 21:24:16.959298,1049354020
2026-03-06 21:24:17.001752,0
2026-03-06 21:24:17.061401,1049408101
2026-03-06 21:24:17.103633,0
2026-03-06 21:24:17.1636,1049381061
2026-03-06 21:24:17.20568,0
