time,PT_Cal.GN2_Regulated.raw_adc
2026-03-06 21:18:13.884119,576778663
2026-03-06 21:18:13.88412,577197365
2026-03-06 21:18:13.884441,577041616
2026-03-06 21:18:13.993039,576546724
2026-03-06 21:18:13.993319,576738208
2026-03-06 21:18:13.993566,577316031
2026-03-06 21:18:13.993822,576726073
2026-03-06 21:18:13.994017,576546724
2026-03-06 21:18:13.994104,577272879
2026-03-06 21:18:14.101815,577670006
2026-03-06 21:18:14.102065,577028805
2026-03-06 21:18:14.10235,576552119
2026-03-06 21:18:14.102602,577165676
2026-03-06 21:18:14.102705,577670006
2026-03-06 21:18:14.102917,577107017
2026-03-06 21:18:14.210701,576944525
2026-03-06 21:18:14.2108,576601338
2026-03-06 21:18:14.210907,577020714
2026-03-06 21:18:14.211009,577067237
2026-03-06 21:18:14.211186,576944525
2026-03-06 21:18:14.211349,577303220
2026-03-06 21:18:14.211487,576847436
2026-03-06 21:18:14.319353,577588423
2026-03-06 21:18:14.319469,577527067
2026-03-06 21:18:14.319608,576435476
2026-03-06 21:18:14.319749,576520429
2026-03-06 21:18:14.319897,577119827
2026-03-06 21:18:14.320665,577588423
2026-03-06 21:18:14.428501,577753612
2026-03-06 21:18:14.429045,576626958
2026-03-06 21:18:14.429239,577753612
2026-03-06 21:18:14.429542,577624158
2026-03-06 21:18:14.429961,577160956
2026-03-06 21:18:14.430379,576614823
2026-03-06 21:18:14.537255,577690234
2026-03-06 21:18:14.537377,577688884
2026-03-06 21:18:14.537593,576687641
2026-03-06 21:18:14.537922,577576961
2026-03-06 21:18:14.538108,577690234
2026-03-06 21:18:14.5382,577092857
2026-03-06 21:18:14.646505,577251304
2026-03-06 21:18:14.646713,576571671
2026-03-06 21:18:14.646995,577193320
2026-03-06 21:18:14.647283,577192645
2026-03-06 21:18:14.647698,577251304
2026-03-06 21:18:14.755734,576493460
2026-03-06 21:18:14.75597,577764400
2026-03-06 21:18:14.75624,576493460
2026-03-06 21:18:14.756432,577329515
2026-03-06 21:18:14.75678,577346372
2026-03-06 21:18:14.757053,577200062
2026-03-06 21:18:14.864916,577801482
2026-03-06 21:18:14.865107,576682921
2026-03-06 21:18:14.865476,576693034
2026-03-06 21:18:14.865666,577203433
2026-03-06 21:18:14.865858,577801482
2026-03-06 21:18:14.865896,576678875
2026-03-06 21:18:14.866378,577825081
2026-03-06 21:18:14.973397,577324121
2026-03-06 21:18:14.973562,577179160
2026-03-06 21:18:14.973746,577892505
2026-03-06 21:18:14.973906,577736756
2026-03-06 21:18:14.974074,577138032
2026-03-06 21:18:14.974269,577295804
2026-03-06 21:18:14.974731,577324121
2026-03-06 21:18:15.082658,577626855
2026-03-06 21:18:15.082739,577804180
2026-03-06 21:18:15.082881,577095555
2026-03-06 21:18:15.083052,577674726
2026-03-06 21:18:15.083197,577275576
2026-03-06 21:18:15.083231,577626855
2026-03-06 21:18:15.083341,576992396
2026-03-06 21:18:15.19217,577207478
2026-03-06 21:18:15.192407,577227032
2026-03-06 21:18:15.192626,577686862
2026-03-06 21:18:15.192847,577146797
2026-03-06 21:18:15.193012,577207478
2026-03-06 21:18:15.193085,577792717
2026-03-06 21:18:15.193348,577186577
2026-03-06 21:18:15.301092,577731361
2026-03-06 21:18:15.301837,577746870
2026-03-06 21:18:15.301993,577731361
2026-03-06 21:18:15.30237,577254001
2026-03-06 21:18:15.302833,578466956
2026-03-06 21:18:15.303504,578397509
2026-03-06 21:18:15.304053,577266811
2026-03-06 21:18:15.304704,576544702
2026-03-06 21:18:15.305303,577154888
2026-03-06 21:18:15.409904,577228380
2026-03-06 21:18:15.410137,577227032
2026-03-06 21:18:15.410407,577859468
2026-03-06 21:18:15.410633,577392220
2026-03-06 21:18:15.410858,577209502
2026-03-06 21:18:15.410994,577228380
2026-03-06 21:18:15.411115,577197365
2026-03-06 21:18:15.518289,574841575
2026-03-06 21:18:15.518589,577046335
2026-03-06 21:18:15.518889,576682921
2026-03-06 21:18:15.518955,577845983
2026-03-06 21:18:15.519014,574841575
2026-03-06 21:18:15.519072,577294455
2026-03-06 21:18:15.627333,577263441
2026-03-06 21:18:15.627414,577216243
2026-03-06 21:18:15.627512,577695627
2026-03-06 21:18:15.627616,577120502
2026-03-06 21:18:15.627714,577034200
2026-03-06 21:18:15.627736,577263441
2026-03-06 21:18:15.62782,576644489
2026-03-06 21:18:15.627936,577804854
2026-03-06 21:18:15.736958,577140054
2026-03-06 21:18:15.737215,577258721
2026-03-06 21:18:15.737467,576558861
2026-03-06 21:18:15.737709,577700347
2026-03-06 21:18:15.737963,577807551
2026-03-06 21:18:15.737992,577140054
2026-03-06 21:18:15.845792,575448389
2026-03-06 21:18:15.846281,576750345
2026-03-06 21:18:15.846759,577171743
2026-03-06 21:18:15.846867,575448389
2026-03-06 21:18:15.847458,577722596
2026-03-06 21:18:15.848031,576627633
2026-03-06 21:18:15.848683,577069260
2026-03-06 21:18:15.95485,577203433
2026-03-06 21:18:15.955057,577195342
2026-03-06 21:18:15.9553,577149494
2026-03-06 21:18:15.955624,577203433
2026-03-06 21:18:15.955644,577085442
