time,PT_Cal.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:25.961094,1772831665960203474
2026-03-06 21:14:25.961281,1772831665960203474
2026-03-06 21:14:25.961339,1772831665961321984
2026-03-06 21:14:26.06964,1772831666068987870
2026-03-06 21:14:26.069805,1772831666068987870
2026-03-06 21:14:26.069876,1772831666069859127
2026-03-06 21:14:26.069947,1772831666068987870
2026-03-06 21:14:26.070084,1772831666068987870
2026-03-06 21:14:26.070267,1772831666068987870
2026-03-06 21:14:26.070413,1772831666068987870
2026-03-06 21:14:26.17921,1772831666178428847
2026-03-06 21:14:26.179319,1772831666178428847
2026-03-06 21:14:26.179411,1772831666178428847
2026-03-06 21:14:26.179739,1772831666178428847
2026-03-06 21:14:26.180026,1772831666180003635
