time,PT.GSE_High.status
2026-03-06 21:14:19.907289,0
2026-03-06 21:14:19.907344,0
2026-03-06 21:14:19.907397,0
2026-03-06 21:14:19.907447,0
2026-03-06 21:14:19.907498,0
2026-03-06 21:14:19.907553,0
2026-03-06 21:14:19.907583,0
2026-03-06 21:14:20.007426,0
2026-03-06 21:14:20.007548,0
2026-03-06 21:14:20.007598,0
2026-03-06 21:14:20.007647,0
2026-03-06 21:14:20.007692,0
2026-03-06 21:14:20.007738,0
2026-03-06 21:14:20.007786,0
2026-03-06 21:14:20.00783,0
2026-03-06 21:14:20.007875,0
2026-03-06 21:14:20.107352,0
2026-03-06 21:14:20.107456,0
2026-03-06 21:14:20.107494,0
2026-03-06 21:14:20.10753,0
2026-03-06 21:14:20.107562,0
2026-03-06 21:14:20.107595,0
2026-03-06 21:14:20.10763,0
2026-03-06 21:14:20.107661,0
2026-03-06 21:14:20.107694,0
2026-03-06 21:14:20.207203,0
2026-03-06 21:14:20.207286,0
2026-03-06 21:14:20.207322,0
2026-03-06 21:14:20.207355,0
2026-03-06 21:14:20.207383,0
2026-03-06 21:14:20.207403,0
2026-03-06 21:14:20.207432,0
2026-03-06 21:14:20.207452,0
2026-03-06 21:14:20.207469,0
2026-03-06 21:14:20.307492,0
2026-03-06 21:14:20.307639,0
2026-03-06 21:14:20.307678,0
2026-03-06 21:14:20.307708,0
2026-03-06 21:14:20.30774,0
2026-03-06 21:14:20.307773,0
2026-03-06 21:14:20.307797,0
2026-03-06 21:14:20.307822,0
2026-03-06 21:14:20.307849,0
2026-03-06 21:14:20.407204,0
2026-03-06 21:14:20.407362,0
2026-03-06 21:14:20.407407,0
2026-03-06 21:14:20.407443,0
2026-03-06 21:14:20.407487,0
2026-03-06 21:14:20.40753,0
2026-03-06 21:14:20.407552,0
2026-03-06 21:14:20.407585,0
2026-03-06 21:14:20.407602,0
2026-03-06 21:14:20.50694,0
2026-03-06 21:14:20.50701,0
2026-03-06 21:14:20.507044,0
2026-03-06 21:14:20.507073,0
2026-03-06 21:14:20.507103,0
2026-03-06 21:14:20.507133,0
2026-03-06 21:14:20.507168,0
2026-03-06 21:14:20.507198,0
2026-03-06 21:14:20.507227,0
2026-03-06 21:14:20.607907,0
2026-03-06 21:14:20.607976,0
2026-03-06 21:14:20.608023,0
2026-03-06 21:14:20.608067,0
2026-03-06 21:14:20.608109,0
2026-03-06 21:14:20.608153,0
2026-03-06 21:14:20.608202,0
2026-03-06 21:14:20.608249,0
2026-03-06 21:14:20.608282,0
2026-03-06 21:14:20.707988,0
2026-03-06 21:14:20.708072,0
2026-03-06 21:14:20.708108,0
2026-03-06 21:14:20.708143,0
2026-03-06 21:14:20.708187,0
2026-03-06 21:14:20.708222,0
2026-03-06 21:14:20.708256,0
2026-03-06 21:14:20.708287,0
2026-03-06 21:14:20.708307,0
2026-03-06 21:14:20.808383,0
2026-03-06 21:14:20.808481,0
2026-03-06 21:14:20.808515,0
2026-03-06 21:14:20.808544,0
2026-03-06 21:14:20.808573,0
2026-03-06 21:14:20.808601,0
2026-03-06 21:14:20.808631,0
2026-03-06 21:14:20.808663,0
2026-03-06 21:14:20.808691,0
2026-03-06 21:14:20.912471,0
2026-03-06 21:14:20.912552,0
2026-03-06 21:14:20.912588,0
2026-03-06 21:14:20.912618,0
2026-03-06 21:14:20.912649,0
2026-03-06 21:14:20.912688,0
2026-03-06 21:14:20.912721,0
2026-03-06 21:14:20.912767,0
2026-03-06 21:14:20.912786,0
2026-03-06 21:14:21.012035,0
2026-03-06 21:14:21.012132,0
2026-03-06 21:14:21.012169,0
2026-03-06 21:14:21.0122,0
2026-03-06 21:14:21.012232,0
2026-03-06 21:14:21.012263,0
2026-03-06 21:14:21.012294,0
2026-03-06 21:14:21.012325,0
2026-03-06 21:14:21.012355,0
2026-03-06 21:14:21.112445,0
2026-03-06 21:14:21.11258,0
2026-03-06 21:14:21.11266,0
2026-03-06 21:14:21.112737,0
2026-03-06 21:14:21.112817,0
2026-03-06 21:14:21.112886,0
2026-03-06 21:14:21.112954,0
2026-03-06 21:14:21.113025,0
2026-03-06 21:14:21.113065,0
2026-03-06 21:14:21.212441,0
2026-03-06 21:14:21.212561,0
2026-03-06 21:14:21.212605,0
2026-03-06 21:14:21.212648,0
2026-03-06 21:14:21.212691,0
2026-03-06 21:14:21.212735,0
2026-03-06 21:14:21.212778,0
2026-03-06 21:14:21.212823,0
2026-03-06 21:14:21.212868,0
