time,RTD.CH1.sample_ts_ms
2026-03-06 21:17:44.0622,11085380
2026-03-06 21:17:44.062224,11085395
2026-03-06 21:17:44.062238,11085410
2026-03-06 21:17:44.197298,11085425
2026-03-06 21:17:44.197466,11085440
2026-03-06 21:17:44.197569,11085455
2026-03-06 21:17:44.197784,11085470
2026-03-06 21:17:44.197845,11085485
2026-03-06 21:17:44.197878,11085500
2026-03-06 21:17:44.197913,11085515
2026-03-06 21:17:44.19794,11085530
2026-03-06 21:17:44.197962,11085545
2026-03-06 21:17:44.332298,11085560
2026-03-06 21:17:44.332347,11085575
2026-03-06 21:17:44.332361,11085590
2026-03-06 21:17:44.332372,11085605
2026-03-06 21:17:44.332378,11085620
2026-03-06 21:17:44.332385,11085635
2026-03-06 21:17:44.332392,11085650
2026-03-06 21:17:44.332408,11085665
2026-03-06 21:17:44.332415,11085680
2026-03-06 21:17:44.467503,11085695
2026-03-06 21:17:44.467609,11085710
2026-03-06 21:17:44.467691,11085725
2026-03-06 21:17:44.467759,11085740
2026-03-06 21:17:44.467811,11085755
2026-03-06 21:17:44.467865,11085770
2026-03-06 21:17:44.467892,11085785
2026-03-06 21:17:44.467938,11085800
2026-03-06 21:17:44.467974,11085815
2026-03-06 21:17:44.601876,11085830
2026-03-06 21:17:44.601993,11085845
2026-03-06 21:17:44.602076,11085860
2026-03-06 21:17:44.602146,11085875
2026-03-06 21:17:44.602226,11085890
2026-03-06 21:17:44.602284,11085905
2026-03-06 21:17:44.602351,11085920
2026-03-06 21:17:44.602422,11085935
2026-03-06 21:17:44.602493,11085950
2026-03-06 21:17:44.737105,11085965
2026-03-06 21:17:44.737254,11085980
2026-03-06 21:17:44.737319,11085995
2026-03-06 21:17:44.73737,11086010
2026-03-06 21:17:44.737403,11086025
2026-03-06 21:17:44.737468,11086040
2026-03-06 21:17:44.737535,11086055
2026-03-06 21:17:44.737559,11086070
2026-03-06 21:17:44.737592,11086085
2026-03-06 21:17:44.872177,11086100
2026-03-06 21:17:44.872295,11086115
2026-03-06 21:17:44.872372,11086130
2026-03-06 21:17:44.87246,11086145
2026-03-06 21:17:44.872536,11086160
2026-03-06 21:17:44.872563,11086175
2026-03-06 21:17:44.872598,11086190
2026-03-06 21:17:44.872635,11086205
2026-03-06 21:17:44.872685,11086220
2026-03-06 21:17:45.011367,11086239
2026-03-06 21:17:45.011479,11086254
2026-03-06 21:17:45.011545,11086269
2026-03-06 21:17:45.011626,11086284
2026-03-06 21:17:45.011699,11086299
2026-03-06 21:17:45.011748,11086314
2026-03-06 21:17:45.011781,11086329
2026-03-06 21:17:45.011804,11086344
2026-03-06 21:17:45.011847,11086359
2026-03-06 21:17:45.146101,11086374
2026-03-06 21:17:45.146237,11086389
2026-03-06 21:17:45.146326,11086404
2026-03-06 21:17:45.146403,11086419
2026-03-06 21:17:45.146435,11086434
2026-03-06 21:17:45.146468,11086449
2026-03-06 21:17:45.146508,11086464
2026-03-06 21:17:45.14654,11086479
2026-03-06 21:17:45.14657,11086494
2026-03-06 21:17:45.281138,11086509
2026-03-06 21:17:45.281264,11086524
2026-03-06 21:17:45.281306,11086539
2026-03-06 21:17:45.281377,11086554
2026-03-06 21:17:45.281421,11086569
2026-03-06 21:17:45.281458,11086584
2026-03-06 21:17:45.281485,11086599
2026-03-06 21:17:45.281502,11086614
2026-03-06 21:17:45.281512,11086629
2026-03-06 21:17:45.416218,11086644
2026-03-06 21:17:45.416287,11086659
2026-03-06 21:17:45.416315,11086674
2026-03-06 21:17:45.416347,11086689
2026-03-06 21:17:45.416374,11086704
2026-03-06 21:17:45.416404,11086719
2026-03-06 21:17:45.416433,11086734
2026-03-06 21:17:45.416462,11086749
2026-03-06 21:17:45.416475,11086764
2026-03-06 21:17:45.550977,11086779
2026-03-06 21:17:45.551037,11086794
