time,TC.CH5.sample_ts_ms
2026-03-06 21:15:11.445215,10932788
2026-03-06 21:15:11.445248,10932802
2026-03-06 21:15:11.445281,10932816
2026-03-06 21:15:11.571683,10932831
2026-03-06 21:15:11.571735,10932845
2026-03-06 21:15:11.571785,10932859
2026-03-06 21:15:11.571837,10932873
2026-03-06 21:15:11.571883,10932887
2026-03-06 21:15:11.571929,10932901
2026-03-06 21:15:11.571976,10932915
2026-03-06 21:15:11.572022,10932929
2026-03-06 21:15:11.572071,10932943
2026-03-06 21:15:11.698628,10932958
2026-03-06 21:15:11.698666,10932972
2026-03-06 21:15:11.698694,10932986
2026-03-06 21:15:11.698732,10933000
2026-03-06 21:15:11.698761,10933014
2026-03-06 21:15:11.698789,10933028
2026-03-06 21:15:11.698817,10933042
2026-03-06 21:15:11.698844,10933056
2026-03-06 21:15:11.698873,10933070
2026-03-06 21:15:11.825707,10933085
2026-03-06 21:15:11.82578,10933099
2026-03-06 21:15:11.825847,10933113
2026-03-06 21:15:11.825913,10933127
2026-03-06 21:15:11.82598,10933141
2026-03-06 21:15:11.826049,10933155
2026-03-06 21:15:11.826072,10933169
2026-03-06 21:15:11.826105,10933183
2026-03-06 21:15:11.826151,10933197
2026-03-06 21:15:11.952761,10933212
2026-03-06 21:15:11.952848,10933226
2026-03-06 21:15:11.952921,10933240
2026-03-06 21:15:11.952996,10933254
2026-03-06 21:15:11.953085,10933268
2026-03-06 21:15:11.95317,10933282
2026-03-06 21:15:11.953216,10933296
2026-03-06 21:15:11.953269,10933310
2026-03-06 21:15:11.953325,10933324
2026-03-06 21:15:12.083457,10933343
2026-03-06 21:15:12.083513,10933357
2026-03-06 21:15:12.083542,10933371
2026-03-06 21:15:12.08357,10933385
2026-03-06 21:15:12.083596,10933399
2026-03-06 21:15:12.083621,10933413
2026-03-06 21:15:12.083641,10933427
2026-03-06 21:15:12.083664,10933441
2026-03-06 21:15:12.083684,10933455
2026-03-06 21:15:12.211615,10933470
2026-03-06 21:15:12.211675,10933484
2026-03-06 21:15:12.211705,10933499
2026-03-06 21:15:12.211752,10933513
2026-03-06 21:15:12.211784,10933527
2026-03-06 21:15:12.211832,10933541
2026-03-06 21:15:12.211875,10933555
2026-03-06 21:15:12.211916,10933569
2026-03-06 21:15:12.211977,10933583
2026-03-06 21:15:12.338948,10933598
2026-03-06 21:15:12.339011,10933612
2026-03-06 21:15:12.339067,10933626
2026-03-06 21:15:12.339124,10933640
2026-03-06 21:15:12.33919,10933654
2026-03-06 21:15:12.339247,10933668
2026-03-06 21:15:12.339304,10933682
2026-03-06 21:15:12.339334,10933696
2026-03-06 21:15:12.339379,10933710
2026-03-06 21:15:12.465532,10933725
2026-03-06 21:15:12.465634,10933739
2026-03-06 21:15:12.465714,10933753
2026-03-06 21:15:12.465786,10933767
2026-03-06 21:15:12.465832,10933781
2026-03-06 21:15:12.465903,10933795
2026-03-06 21:15:12.465948,10933809
2026-03-06 21:15:12.466035,10933823
2026-03-06 21:15:12.466069,10933837
2026-03-06 21:15:12.592925,10933852
2026-03-06 21:15:12.593013,10933866
2026-03-06 21:15:12.593079,10933880
2026-03-06 21:15:12.593156,10933894
2026-03-06 21:15:12.593243,10933908
2026-03-06 21:15:12.59331,10933922
2026-03-06 21:15:12.593385,10933936
2026-03-06 21:15:12.593457,10933950
2026-03-06 21:15:12.5935,10933964
2026-03-06 21:15:12.719709,10933979
2026-03-06 21:15:12.71978,10933993
2026-03-06 21:15:12.719854,10934007
2026-03-06 21:15:12.719924,10934021
2026-03-06 21:15:12.719987,10934035
2026-03-06 21:15:12.720019,10934049
2026-03-06 21:15:12.720045,10934063
2026-03-06 21:15:12.720086,10934077
2026-03-06 21:15:12.720103,10934091
2026-03-06 21:15:12.846597,10934106
2026-03-06 21:15:12.846656,10934120
2026-03-06 21:15:12.846712,10934134
2026-03-06 21:15:12.846761,10934148
2026-03-06 21:15:12.846814,10934162
2026-03-06 21:15:12.846862,10934176
2026-03-06 21:15:12.846911,10934190
2026-03-06 21:15:12.846966,10934204
2026-03-06 21:15:12.84702,10934218
2026-03-06 21:15:12.973562,10934233
2026-03-06 21:15:12.973649,10934247
2026-03-06 21:15:12.973721,10934261
2026-03-06 21:15:12.973793,10934275
2026-03-06 21:15:12.973861,10934289
2026-03-06 21:15:12.973933,10934303
2026-03-06 21:15:12.973979,10934317
2026-03-06 21:15:12.974015,10934331
2026-03-06 21:15:12.974049,10934345
2026-03-06 21:15:13.10501,10934364
2026-03-06 21:15:13.105084,10934378
2026-03-06 21:15:13.105193,10934392
2026-03-06 21:15:13.105262,10934406
2026-03-06 21:15:13.105325,10934420
2026-03-06 21:15:13.105395,10934434
2026-03-06 21:15:13.105461,10934448
2026-03-06 21:15:13.105484,10934462
2026-03-06 21:15:13.105504,10934476
2026-03-06 21:15:13.233074,10934491
2026-03-06 21:15:13.233146,10934506
2026-03-06 21:15:13.233221,10934520
2026-03-06 21:15:13.233296,10934534
2026-03-06 21:15:13.233366,10934548
2026-03-06 21:15:13.233436,10934562
