time,ACT.Fuel_Fill_Vent.actuator_state
2026-03-06 21:21:15.032683,0
2026-03-06 21:21:15.092025,1
2026-03-06 21:21:15.135003,0
2026-03-06 21:21:15.194481,1
2026-03-06 21:21:15.23684,0
2026-03-06 21:21:15.295878,1
2026-03-06 21:21:15.338957,0
2026-03-06 21:21:15.398194,1
2026-03-06 21:21:15.440991,0
2026-03-06 21:21:15.499684,1
2026-03-06 21:21:15.543113,0
2026-03-06 21:21:15.601892,1
2026-03-06 21:21:15.644826,0
2026-03-06 21:21:15.703994,1
2026-03-06 21:21:15.746721,0
2026-03-06 21:21:15.80609,1
2026-03-06 21:21:15.848804,0
2026-03-06 21:21:15.908127,1
2026-03-06 21:21:15.951028,0
2026-03-06 21:21:16.010309,1
2026-03-06 21:21:16.053237,0
2026-03-06 21:21:16.111875,1
2026-03-06 21:21:16.15477,0
2026-03-06 21:21:16.21429,1
2026-03-06 21:21:16.256948,0
2026-03-06 21:21:16.3158,1
2026-03-06 21:21:16.35943,0
2026-03-06 21:21:16.417797,1
2026-03-06 21:21:16.460722,0
2026-03-06 21:21:16.52002,1
2026-03-06 21:21:16.562961,0
2026-03-06 21:21:16.622134,1
2026-03-06 21:21:16.665037,0
2026-03-06 21:21:16.723733,1
2026-03-06 21:21:16.767173,0
2026-03-06 21:21:16.826058,1
2026-03-06 21:21:16.869117,0
2026-03-06 21:21:16.928258,1
2026-03-06 21:21:16.971107,0
2026-03-06 21:21:17.030263,1
2026-03-06 21:21:17.07312,0
2026-03-06 21:21:17.132249,1
2026-03-06 21:21:17.175044,0
2026-03-06 21:21:17.233999,1
2026-03-06 21:21:17.276728,0
2026-03-06 21:21:17.336184,1
2026-03-06 21:21:17.37888,1
2026-03-06 21:21:17.43807,1
2026-03-06 21:21:17.48121,0
2026-03-06 21:21:17.540217,1
2026-03-06 21:21:17.583043,0
2026-03-06 21:21:17.641896,1
2026-03-06 21:21:17.684752,0
2026-03-06 21:21:17.743771,1
2026-03-06 21:21:17.787273,0
2026-03-06 21:21:17.84615,1
2026-03-06 21:21:17.888927,0
2026-03-06 21:21:17.948036,1
2026-03-06 21:21:17.991007,0
2026-03-06 21:21:18.049906,1
2026-03-06 21:21:18.093119,0
2026-03-06 21:21:18.151795,1
2026-03-06 21:21:18.195173,0
2026-03-06 21:21:18.254088,1
2026-03-06 21:21:18.297189,0
2026-03-06 21:21:18.355811,1
2026-03-06 21:21:18.398972,0
2026-03-06 21:21:18.45821,1
2026-03-06 21:21:18.500991,0
2026-03-06 21:21:18.560032,1
2026-03-06 21:21:18.602836,0
2026-03-06 21:21:18.661768,1
2026-03-06 21:21:18.70502,0
2026-03-06 21:21:18.764046,1
2026-03-06 21:21:18.80692,0
2026-03-06 21:21:18.865725,1
2026-03-06 21:21:18.909054,0
2026-03-06 21:21:18.968137,1
2026-03-06 21:21:19.011516,0
2026-03-06 21:21:19.070324,1
2026-03-06 21:21:19.112975,0
2026-03-06 21:21:19.172074,1
2026-03-06 21:21:19.215035,0
2026-03-06 21:21:19.274512,1
2026-03-06 21:21:19.317104,1
2026-03-06 21:21:19.376046,1
2026-03-06 21:21:19.419281,0
2026-03-06 21:21:19.477812,1
2026-03-06 21:21:19.520972,0
2026-03-06 21:21:19.579984,1
2026-03-06 21:21:19.623144,0
2026-03-06 21:21:19.682201,1
2026-03-06 21:21:19.725257,0
2026-03-06 21:21:19.783759,1
2026-03-06 21:21:19.827111,0
2026-03-06 21:21:19.88607,1
