time,ACT.Fuel_Fill_Vent.sample_ts_ms
2026-03-06 21:30:56.801871,11878238
2026-03-06 21:30:56.901325,11878379
2026-03-06 21:30:56.903645,11878340
2026-03-06 21:30:57.003482,11878481
2026-03-06 21:30:57.005812,11878442
2026-03-06 21:30:57.105245,11878583
2026-03-06 21:30:57.107695,11878544
2026-03-06 21:30:57.207152,11878685
2026-03-06 21:30:57.210099,11878646
2026-03-06 21:30:57.3092,11878787
2026-03-06 21:30:57.312203,11878748
2026-03-06 21:30:57.411115,11878889
2026-03-06 21:30:57.414065,11878850
2026-03-06 21:30:57.513217,11878991
2026-03-06 21:30:57.516099,11878952
2026-03-06 21:30:57.615104,11879093
2026-03-06 21:30:57.617967,11879054
2026-03-06 21:30:57.717523,11879195
2026-03-06 21:30:57.71981,11879156
2026-03-06 21:30:57.819013,11879297
2026-03-06 21:30:57.822093,11879258
2026-03-06 21:30:57.921212,11879399
2026-03-06 21:30:57.923563,11879360
2026-03-06 21:30:58.023286,11879501
2026-03-06 21:30:58.025828,11879462
2026-03-06 21:30:58.125036,11879603
2026-03-06 21:30:58.127921,11879564
2026-03-06 21:30:58.226935,11879705
2026-03-06 21:30:58.229749,11879666
2026-03-06 21:30:58.329304,11879807
2026-03-06 21:30:58.332225,11879768
2026-03-06 21:30:58.431219,11879909
2026-03-06 21:30:58.43407,11879870
2026-03-06 21:30:58.533048,11880011
2026-03-06 21:30:58.536033,11879972
2026-03-06 21:30:58.635288,11880113
2026-03-06 21:30:58.637628,11880074
2026-03-06 21:30:58.737519,11880215
2026-03-06 21:30:58.739863,11880176
2026-03-06 21:30:58.83905,11880317
2026-03-06 21:30:58.841902,11880278
2026-03-06 21:30:58.941246,11880419
2026-03-06 21:30:58.944184,11880380
2026-03-06 21:30:59.042959,11880521
2026-03-06 21:30:59.045943,11880482
2026-03-06 21:30:59.145177,11880623
2026-03-06 21:30:59.147834,11880584
2026-03-06 21:30:59.247327,11880725
2026-03-06 21:30:59.249554,11880686
