time,ACT.GSE_High_Press_Vent.raw_adc_counts
2026-03-06 21:25:57.063914,0
2026-03-06 21:25:57.124459,1054707981
2026-03-06 21:25:57.165721,0
2026-03-06 21:25:57.22589,1054626860
2026-03-06 21:25:57.267891,0
2026-03-06 21:25:57.328491,1054626860
2026-03-06 21:25:57.370072,0
2026-03-06 21:25:57.430009,1054572780
2026-03-06 21:25:57.471842,0
2026-03-06 21:25:57.532279,1054599820
2026-03-06 21:25:57.573724,0
2026-03-06 21:25:57.633945,1054626860
2026-03-06 21:25:57.675652,0
2026-03-06 21:25:57.736348,1054599820
2026-03-06 21:25:57.778118,0
2026-03-06 21:25:57.838182,1054653900
2026-03-06 21:25:57.879848,0
2026-03-06 21:25:57.940019,1054653900
2026-03-06 21:25:57.981592,0
2026-03-06 21:25:58.042042,1054653900
2026-03-06 21:25:58.084026,0
2026-03-06 21:25:58.144012,1054599820
2026-03-06 21:25:58.185798,0
2026-03-06 21:25:58.246294,1054653900
2026-03-06 21:25:58.288001,0
2026-03-06 21:25:58.348318,1054707981
2026-03-06 21:25:58.389789,0
2026-03-06 21:25:58.450034,1054653900
2026-03-06 21:25:58.491804,0
2026-03-06 21:25:58.552348,1054572780
2026-03-06 21:25:58.593917,0
2026-03-06 21:25:58.654363,1054680941
2026-03-06 21:25:58.695773,0
2026-03-06 21:25:58.756406,1054599820
2026-03-06 21:25:58.798099,0
2026-03-06 21:25:58.858175,1054680941
2026-03-06 21:25:58.899696,0
2026-03-06 21:25:58.960278,1054626860
2026-03-06 21:25:59.002087,0
2026-03-06 21:25:59.062573,1054626860
2026-03-06 21:25:59.103683,0
2026-03-06 21:25:59.164505,1054653900
2026-03-06 21:25:59.205714,0
2026-03-06 21:25:59.266303,1054599820
2026-03-06 21:25:59.307612,0
2026-03-06 21:25:59.368494,1054735021
2026-03-06 21:25:59.409712,0
2026-03-06 21:25:59.470339,1054707981
2026-03-06 21:25:59.511825,0
2026-03-06 21:25:59.572308,1054599820
2026-03-06 21:25:59.614264,0
2026-03-06 21:25:59.674026,1054653900
2026-03-06 21:25:59.715601,0
2026-03-06 21:25:59.77618,1054599820
2026-03-06 21:25:59.818271,0
2026-03-06 21:25:59.87818,1054599820
2026-03-06 21:25:59.920197,0
2026-03-06 21:25:59.98054,1054653900
2026-03-06 21:26:00.021832,0
2026-03-06 21:26:00.081965,1054680941
2026-03-06 21:26:00.12369,0
2026-03-06 21:26:00.184302,1054653900
2026-03-06 21:26:00.226228,0
2026-03-06 21:26:00.28642,1054653900
2026-03-06 21:26:00.327833,0
2026-03-06 21:26:00.387925,1054707981
2026-03-06 21:26:00.430266,0
2026-03-06 21:26:00.490168,1054599820
2026-03-06 21:26:00.531666,0
2026-03-06 21:26:00.592246,1054599820
2026-03-06 21:26:00.633673,0
2026-03-06 21:26:00.693988,1054599820
2026-03-06 21:26:00.735934,0
2026-03-06 21:26:00.796395,1054599820
2026-03-06 21:26:00.837887,0
2026-03-06 21:26:00.898092,1054653900
2026-03-06 21:26:00.939766,0
2026-03-06 21:26:01.000045,1054707981
2026-03-06 21:26:01.042395,0
2026-03-06 21:26:01.102178,1054653900
2026-03-06 21:26:01.143869,0
2026-03-06 21:26:01.204174,1054626860
2026-03-06 21:26:01.245773,0
2026-03-06 21:26:01.306259,1054626860
2026-03-06 21:26:01.348131,0
2026-03-06 21:26:01.408251,1054653900
2026-03-06 21:26:01.449909,0
2026-03-06 21:26:01.510313,1054653900
2026-03-06 21:26:01.551936,0
2026-03-06 21:26:01.611941,1054653900
2026-03-06 21:26:01.653832,0
2026-03-06 21:26:01.714412,1054599820
2026-03-06 21:26:01.756172,0
