time,ACT.LOX_Dump.sample_ts_ms
2026-03-06 21:21:09.584138,11291024
2026-03-06 21:21:09.626923,11291106
2026-03-06 21:21:09.685982,11291126
2026-03-06 21:21:09.729127,11291208
2026-03-06 21:21:09.788104,11291228
2026-03-06 21:21:09.83115,11291310
2026-03-06 21:21:09.890202,11291330
2026-03-06 21:21:09.932933,11291412
2026-03-06 21:21:09.992197,11291432
2026-03-06 21:21:10.035079,11291514
2026-03-06 21:21:10.094338,11291534
2026-03-06 21:21:10.137253,11291616
2026-03-06 21:21:10.19646,11291636
2026-03-06 21:21:10.239192,11291718
2026-03-06 21:21:10.297934,11291738
2026-03-06 21:21:10.341302,11291820
2026-03-06 21:21:10.400022,11291840
2026-03-06 21:21:10.443503,11291922
2026-03-06 21:21:10.502071,11291942
2026-03-06 21:21:10.54473,11292024
2026-03-06 21:21:10.603859,11292044
2026-03-06 21:21:10.647127,11292126
2026-03-06 21:21:10.706177,11292146
2026-03-06 21:21:10.748844,11292228
2026-03-06 21:21:10.807957,11292248
2026-03-06 21:21:10.851257,11292330
2026-03-06 21:21:10.910147,11292350
2026-03-06 21:21:10.953218,11292432
2026-03-06 21:21:11.011783,11292452
2026-03-06 21:21:11.054827,11292534
2026-03-06 21:21:11.11414,11292554
2026-03-06 21:21:11.15729,11292636
2026-03-06 21:21:11.216341,11292656
2026-03-06 21:21:11.258975,11292738
2026-03-06 21:21:11.317838,11292758
2026-03-06 21:21:11.361247,11292840
2026-03-06 21:21:11.420175,11292860
2026-03-06 21:21:11.463113,11292942
2026-03-06 21:21:11.522308,11292962
2026-03-06 21:21:11.565113,11293044
2026-03-06 21:21:11.623895,11293064
2026-03-06 21:21:11.666794,11293146
2026-03-06 21:21:11.726353,11293166
2026-03-06 21:21:11.769047,11293248
2026-03-06 21:21:11.827976,11293268
2026-03-06 21:21:11.871147,11293350
2026-03-06 21:21:11.930195,11293370
2026-03-06 21:21:11.972856,11293452
2026-03-06 21:21:12.032386,11293472
2026-03-06 21:21:12.075175,11293554
2026-03-06 21:21:12.133939,11293574
2026-03-06 21:21:12.1769,11293656
2026-03-06 21:21:12.236154,11293676
2026-03-06 21:21:12.27944,11293758
2026-03-06 21:21:12.337916,11293778
2026-03-06 21:21:12.380985,11293860
2026-03-06 21:21:12.440266,11293880
2026-03-06 21:21:12.483215,11293962
2026-03-06 21:21:12.542171,11293982
2026-03-06 21:21:12.585067,11294064
2026-03-06 21:21:12.644495,11294084
2026-03-06 21:21:12.687027,11294166
2026-03-06 21:21:12.74628,11294186
2026-03-06 21:21:12.789522,11294268
2026-03-06 21:21:12.848098,11294288
2026-03-06 21:21:12.890931,11294370
2026-03-06 21:21:12.950175,11294390
2026-03-06 21:21:12.993267,11294472
2026-03-06 21:21:13.051879,11294492
2026-03-06 21:21:13.095439,11294574
2026-03-06 21:21:13.154497,11294594
2026-03-06 21:21:13.196918,11294676
2026-03-06 21:21:13.256347,11294696
2026-03-06 21:21:13.298921,11294778
2026-03-06 21:21:13.358375,11294798
2026-03-06 21:21:13.401044,11294880
2026-03-06 21:21:13.459915,11294900
2026-03-06 21:21:13.502927,11294982
2026-03-06 21:21:13.562291,11295002
2026-03-06 21:21:13.604955,11295084
2026-03-06 21:21:13.664554,11295104
2026-03-06 21:21:13.707263,11295186
2026-03-06 21:21:13.765869,11295206
2026-03-06 21:21:13.809019,11295288
2026-03-06 21:21:13.868238,11295308
2026-03-06 21:21:13.911045,11295390
2026-03-06 21:21:13.969873,11295410
2026-03-06 21:21:14.01291,11295492
2026-03-06 21:21:14.072116,11295512
2026-03-06 21:21:14.115104,11295594
2026-03-06 21:21:14.174393,11295614
2026-03-06 21:21:14.216973,11295696
2026-03-06 21:21:14.276266,11295716
2026-03-06 21:21:14.326538,11295798
2026-03-06 21:21:14.377909,11295818
2026-03-06 21:21:14.421063,11295900
2026-03-06 21:21:14.480449,11295920
2026-03-06 21:21:14.524061,11296002
2026-03-06 21:21:14.582311,11296022
2026-03-06 21:21:14.624686,11296104
2026-03-06 21:21:14.684421,11296124
2026-03-06 21:21:14.727145,11296206
2026-03-06 21:21:14.786198,11296226
2026-03-06 21:21:14.829121,11296308
2026-03-06 21:21:14.888179,11296328
2026-03-06 21:21:14.93097,11296410
2026-03-06 21:21:14.990091,11296430
2026-03-06 21:21:15.032778,11296512
2026-03-06 21:21:15.092105,11296532
2026-03-06 21:21:15.135105,11296614
2026-03-06 21:21:15.194588,11296634
2026-03-06 21:21:15.236961,11296716
2026-03-06 21:21:15.295967,11296736
2026-03-06 21:21:15.339034,11296818
2026-03-06 21:21:15.398293,11296838
2026-03-06 21:21:15.441109,11296920
2026-03-06 21:21:15.499788,11296940
2026-03-06 21:21:15.543239,11297022
2026-03-06 21:21:15.601968,11297042
2026-03-06 21:21:15.644977,11297124
2026-03-06 21:21:15.704117,11297144
2026-03-06 21:21:15.746867,11297226
2026-03-06 21:21:15.806309,11297246
2026-03-06 21:21:15.848943,11297328
2026-03-06 21:21:15.9083,11297348
2026-03-06 21:21:15.951167,11297430
2026-03-06 21:21:16.010481,11297450
2026-03-06 21:21:16.053399,11297532
2026-03-06 21:21:16.11202,11297552
2026-03-06 21:21:16.15491,11297634
2026-03-06 21:21:16.214373,11297654
2026-03-06 21:21:16.257067,11297736
2026-03-06 21:21:16.315931,11297756
2026-03-06 21:21:16.359599,11297838
2026-03-06 21:21:16.417952,11297858
2026-03-06 21:21:16.460854,11297940
2026-03-06 21:21:16.520211,11297960
2026-03-06 21:21:16.563136,11298042
2026-03-06 21:21:16.622332,11298062
2026-03-06 21:21:16.665209,11298144
2026-03-06 21:21:16.723886,11298164
2026-03-06 21:21:16.767339,11298246
2026-03-06 21:21:16.826212,11298266
2026-03-06 21:21:16.869277,11298348
2026-03-06 21:21:16.92845,11298368
2026-03-06 21:21:16.971287,11298450
2026-03-06 21:21:17.030409,11298470
2026-03-06 21:21:17.0733,11298552
2026-03-06 21:21:17.132362,11298572
2026-03-06 21:21:17.175114,11298654
2026-03-06 21:21:17.234107,11298674
2026-03-06 21:21:17.276871,11298756
2026-03-06 21:21:17.336266,11298776
2026-03-06 21:21:17.379039,11298858
2026-03-06 21:21:17.438199,11298878
2026-03-06 21:21:17.481354,11298960
2026-03-06 21:21:17.540391,11298980
2026-03-06 21:21:17.583151,11299062
2026-03-06 21:21:17.642011,11299082
2026-03-06 21:21:17.684867,11299164
2026-03-06 21:21:17.743856,11299184
2026-03-06 21:21:17.787356,11299266
2026-03-06 21:21:17.846242,11299286
2026-03-06 21:21:17.889016,11299368
2026-03-06 21:21:17.94811,11299388
2026-03-06 21:21:17.991099,11299470
