time,ACT.LOX_Fill.sample_ts_ms
2026-03-06 21:34:45.971648,12107449
2026-03-06 21:34:45.998545,12107433
2026-03-06 21:34:46.074018,12107551
2026-03-06 21:34:46.100534,12107535
2026-03-06 21:34:46.176041,12107653
2026-03-06 21:34:46.202663,12107637
2026-03-06 21:34:46.278005,12107755
2026-03-06 21:34:46.304628,12107739
2026-03-06 21:34:46.380015,12107857
2026-03-06 21:34:46.406798,12107841
2026-03-06 21:34:46.481544,12107959
2026-03-06 21:34:46.508603,12107943
2026-03-06 21:34:46.583776,12108061
2026-03-06 21:34:46.610662,12108045
2026-03-06 21:34:46.685952,12108163
2026-03-06 21:34:46.712701,12108147
2026-03-06 21:34:46.787952,12108265
2026-03-06 21:34:46.814441,12108249
2026-03-06 21:34:46.890094,12108367
2026-03-06 21:34:46.916682,12108351
2026-03-06 21:34:46.991904,12108469
2026-03-06 21:34:47.018026,12108453
2026-03-06 21:34:47.093821,12108571
2026-03-06 21:34:47.120552,12108555
2026-03-06 21:34:47.195618,12108673
2026-03-06 21:34:47.222108,12108657
2026-03-06 21:34:47.297853,12108775
2026-03-06 21:34:47.324329,12108759
2026-03-06 21:34:47.399728,12108877
2026-03-06 21:34:47.426424,12108861
2026-03-06 21:34:47.502044,12108979
2026-03-06 21:34:47.528659,12108963
2026-03-06 21:34:47.603653,12109081
2026-03-06 21:34:47.630363,12109065
2026-03-06 21:34:47.706983,12109183
2026-03-06 21:34:47.73277,12109167
2026-03-06 21:34:47.807893,12109285
2026-03-06 21:34:47.834647,12109269
2026-03-06 21:34:47.910024,12109387
2026-03-06 21:34:47.936712,12109371
2026-03-06 21:34:48.011629,12109489
2026-03-06 21:34:48.038588,12109473
2026-03-06 21:34:48.113587,12109591
2026-03-06 21:34:48.140206,12109575
2026-03-06 21:34:48.215836,12109693
2026-03-06 21:34:48.242294,12109677
2026-03-06 21:34:48.317878,12109795
2026-03-06 21:34:48.344436,12109779
2026-03-06 21:34:48.419574,12109897
2026-03-06 21:34:48.446817,12109881
2026-03-06 21:34:48.521975,12109999
2026-03-06 21:34:48.548234,12109983
2026-03-06 21:34:48.624121,12110101
