time,ACT.GSE_Med_Press_Control.actuator_state
2026-03-06 21:34:57.524582,0
2026-03-06 21:34:57.599878,0
2026-03-06 21:34:57.626345,0
2026-03-06 21:34:57.70153,0
2026-03-06 21:34:57.728276,0
2026-03-06 21:34:57.803559,0
2026-03-06 21:34:57.830345,0
2026-03-06 21:34:57.905646,0
2026-03-06 21:34:57.932537,0
2026-03-06 21:34:58.007792,0
2026-03-06 21:34:58.034527,0
2026-03-06 21:34:58.109574,0
2026-03-06 21:34:58.136483,0
2026-03-06 21:34:58.211335,0
2026-03-06 21:34:58.23794,0
2026-03-06 21:34:58.313849,0
2026-03-06 21:34:58.340511,0
2026-03-06 21:34:58.415835,0
2026-03-06 21:34:58.442621,0
2026-03-06 21:34:58.517712,0
2026-03-06 21:34:58.544665,0
2026-03-06 21:34:58.619615,0
2026-03-06 21:34:58.64632,0
2026-03-06 21:34:58.721779,0
2026-03-06 21:34:58.748355,0
2026-03-06 21:34:58.823776,0
2026-03-06 21:34:58.850589,0
2026-03-06 21:34:58.925688,0
2026-03-06 21:34:58.952666,0
2026-03-06 21:34:59.027899,0
2026-03-06 21:34:59.054349,0
2026-03-06 21:34:59.129871,0
2026-03-06 21:34:59.156397,0
2026-03-06 21:34:59.231619,0
2026-03-06 21:34:59.258272,0
2026-03-06 21:34:59.334085,0
2026-03-06 21:34:59.360177,0
2026-03-06 21:34:59.435954,0
2026-03-06 21:34:59.462404,0
2026-03-06 21:34:59.537906,0
2026-03-06 21:34:59.564288,0
2026-03-06 21:34:59.639991,0
2026-03-06 21:34:59.66641,0
2026-03-06 21:34:59.741708,0
2026-03-06 21:34:59.76837,0
2026-03-06 21:34:59.84385,0
2026-03-06 21:34:59.870185,0
2026-03-06 21:34:59.946054,0
2026-03-06 21:34:59.972682,0
2026-03-06 21:35:00.047423,0
2026-03-06 21:35:00.074239,0
2026-03-06 21:35:00.149971,0
2026-03-06 21:35:00.176625,0
2026-03-06 21:35:00.251593,0
2026-03-06 21:35:00.278479,0
2026-03-06 21:35:00.353863,0
2026-03-06 21:35:00.380251,0
2026-03-06 21:35:00.45587,0
2026-03-06 21:35:00.482602,0
2026-03-06 21:35:00.557907,0
2026-03-06 21:35:00.584443,0
2026-03-06 21:35:00.659729,0
2026-03-06 21:35:00.686215,0
2026-03-06 21:35:00.761958,0
2026-03-06 21:35:00.78841,0
2026-03-06 21:35:00.863488,0
2026-03-06 21:35:00.890421,0
2026-03-06 21:35:00.965636,0
2026-03-06 21:35:00.992443,0
2026-03-06 21:35:01.067745,0
2026-03-06 21:35:01.094341,0
2026-03-06 21:35:01.169521,0
2026-03-06 21:35:01.196256,0
2026-03-06 21:35:01.27171,0
2026-03-06 21:35:01.29831,0
2026-03-06 21:35:01.373621,0
2026-03-06 21:35:01.400248,0
2026-03-06 21:35:01.475521,0
2026-03-06 21:35:01.502276,0
2026-03-06 21:35:01.577571,0
2026-03-06 21:35:01.605846,0
2026-03-06 21:35:01.679564,0
2026-03-06 21:35:01.706491,0
2026-03-06 21:35:01.781813,0
2026-03-06 21:35:01.808612,0
2026-03-06 21:35:01.883672,0
2026-03-06 21:35:01.910295,0
2026-03-06 21:35:01.98579,0
2026-03-06 21:35:02.012529,0
2026-03-06 21:35:02.087858,0
2026-03-06 21:35:02.114273,0
2026-03-06 21:35:02.189596,0
2026-03-06 21:35:02.216525,0
2026-03-06 21:35:02.29178,0
2026-03-06 21:35:02.318242,0
2026-03-06 21:35:02.394009,0
2026-03-06 21:35:02.420384,0
2026-03-06 21:35:02.496082,0
2026-03-06 21:35:02.522315,0
2026-03-06 21:35:02.598125,0
2026-03-06 21:35:02.624244,0
2026-03-06 21:35:02.699555,0
2026-03-06 21:35:02.72651,0
2026-03-06 21:35:02.802021,0
2026-03-06 21:35:02.828265,0
2026-03-06 21:35:02.9038,0
2026-03-06 21:35:02.93074,0
2026-03-06 21:35:03.005572,0
2026-03-06 21:35:03.032216,0
2026-03-06 21:35:03.10778,0
2026-03-06 21:35:03.134422,0
2026-03-06 21:35:03.209993,0
2026-03-06 21:35:03.236429,0
2026-03-06 21:35:03.311977,0
2026-03-06 21:35:03.338376,0
2026-03-06 21:35:03.413697,0
2026-03-06 21:35:03.440622,0
2026-03-06 21:35:03.516128,0
2026-03-06 21:35:03.542578,0
2026-03-06 21:35:03.617939,0
2026-03-06 21:35:03.644814,0
2026-03-06 21:35:03.719898,0
2026-03-06 21:35:03.746588,0
2026-03-06 21:35:03.821732,0
2026-03-06 21:35:03.848606,0
2026-03-06 21:35:03.923638,0
2026-03-06 21:35:03.950621,0
2026-03-06 21:35:04.025626,0
2026-03-06 21:35:04.052506,0
2026-03-06 21:35:04.127596,0
2026-03-06 21:35:04.154821,0
2026-03-06 21:35:04.229895,0
2026-03-06 21:35:04.256238,0
2026-03-06 21:35:04.331611,0
2026-03-06 21:35:04.35867,0
2026-03-06 21:35:04.434094,0
2026-03-06 21:35:04.460639,0
2026-03-06 21:35:04.536032,0
2026-03-06 21:35:04.562633,0
2026-03-06 21:35:04.637989,0
2026-03-06 21:35:04.664362,0
2026-03-06 21:35:04.73963,0
2026-03-06 21:35:04.766339,0
2026-03-06 21:35:04.841954,0
2026-03-06 21:35:04.868439,0
2026-03-06 21:35:04.943913,0
2026-03-06 21:35:04.970234,0
2026-03-06 21:35:05.045505,0
2026-03-06 21:35:05.072564,0
2026-03-06 21:35:05.14769,0
2026-03-06 21:35:05.174381,0
2026-03-06 21:35:05.249394,0
2026-03-06 21:35:05.276586,0
2026-03-06 21:35:05.352011,0
2026-03-06 21:35:05.37812,0
2026-03-06 21:35:05.453925,0
2026-03-06 21:35:05.480606,0
2026-03-06 21:35:05.555941,0
2026-03-06 21:35:05.582415,0
2026-03-06 21:35:05.658036,0
2026-03-06 21:35:05.684596,0
2026-03-06 21:35:05.759573,0
2026-03-06 21:35:05.786048,0
2026-03-06 21:35:05.862126,0
2026-03-06 21:35:05.888212,0
2026-03-06 21:35:05.963897,0
2026-03-06 21:35:05.990447,0
2026-03-06 21:35:06.065608,0
2026-03-06 21:35:06.092084,0
2026-03-06 21:35:06.167879,0
2026-03-06 21:35:06.194316,0
2026-03-06 21:35:06.269486,0
2026-03-06 21:35:06.296587,0
2026-03-06 21:35:06.371729,0
2026-03-06 21:35:06.398499,0
2026-03-06 21:35:06.473423,0
2026-03-06 21:35:06.500244,0
2026-03-06 21:35:06.576017,0
2026-03-06 21:35:06.602247,0
2026-03-06 21:35:06.67793,0
2026-03-06 21:35:06.704318,0
2026-03-06 21:35:06.77944,0
2026-03-06 21:35:06.806488,0
2026-03-06 21:35:06.881735,0
2026-03-06 21:35:06.908678,0
2026-03-06 21:35:06.984024,0
2026-03-06 21:35:07.010646,0
2026-03-06 21:35:07.085378,0
2026-03-06 21:35:07.112627,0
2026-03-06 21:35:07.187428,0
2026-03-06 21:35:07.21418,0
2026-03-06 21:35:07.29002,0
2026-03-06 21:35:07.316472,0
2026-03-06 21:35:07.391761,0
2026-03-06 21:35:07.418302,0
2026-03-06 21:35:07.493707,0
2026-03-06 21:35:07.520545,0
2026-03-06 21:35:07.595421,0
2026-03-06 21:35:07.622532,0
2026-03-06 21:35:07.697653,0
2026-03-06 21:35:07.724729,0
2026-03-06 21:35:07.799876,0
2026-03-06 21:35:07.826291,0
2026-03-06 21:35:07.901399,0
2026-03-06 21:35:07.928564,0
2026-03-06 21:35:08.003748,0
2026-03-06 21:35:08.030701,0
2026-03-06 21:35:08.105591,0
2026-03-06 21:35:08.132653,0
2026-03-06 21:35:08.207636,0
2026-03-06 21:35:08.234725,0
2026-03-06 21:35:08.309466,0
2026-03-06 21:35:08.336685,0
2026-03-06 21:35:08.411847,0
2026-03-06 21:35:08.438036,0
2026-03-06 21:35:08.513723,0
2026-03-06 21:35:08.540318,0
2026-03-06 21:35:08.615948,0
2026-03-06 21:35:08.642652,0
2026-03-06 21:35:08.717891,0
2026-03-06 21:35:08.744421,0
2026-03-06 21:35:08.81933,0
2026-03-06 21:35:08.846238,0
2026-03-06 21:35:08.921945,0
2026-03-06 21:35:08.948297,0
2026-03-06 21:35:09.023667,0
2026-03-06 21:35:09.050213,0
2026-03-06 21:35:09.126098,0
2026-03-06 21:35:09.152796,0
2026-03-06 21:35:09.227601,0
2026-03-06 21:35:09.254393,0
2026-03-06 21:35:09.329586,0
2026-03-06 21:35:09.356491,0
2026-03-06 21:35:09.431876,0
2026-03-06 21:35:09.458573,0
2026-03-06 21:35:09.533601,0
2026-03-06 21:35:09.56053,0
2026-03-06 21:35:09.636144,0
2026-03-06 21:35:09.662666,0
2026-03-06 21:35:09.73772,0
2026-03-06 21:35:09.764402,0
2026-03-06 21:35:09.839878,0
2026-03-06 21:35:09.866523,0
2026-03-06 21:35:09.941683,0
2026-03-06 21:35:09.968608,0
2026-03-06 21:35:10.043601,0
2026-03-06 21:35:10.07022,0
2026-03-06 21:35:10.145933,0
2026-03-06 21:35:10.17257,0
2026-03-06 21:35:10.247478,0
2026-03-06 21:35:10.274261,0
2026-03-06 21:35:10.349896,0
2026-03-06 21:35:10.376444,0
2026-03-06 21:35:10.45182,0
2026-03-06 21:35:10.478363,0
2026-03-06 21:35:10.553734,0
2026-03-06 21:35:10.580661,0
2026-03-06 21:35:10.656034,0
2026-03-06 21:35:10.682668,0
2026-03-06 21:35:10.7579,0
2026-03-06 21:35:10.78459,0
2026-03-06 21:35:10.859597,0
2026-03-06 21:35:10.886897,0
2026-03-06 21:35:10.962102,0
2026-03-06 21:35:10.98838,0
2026-03-06 21:35:11.063911,0
2026-03-06 21:35:11.090741,0
2026-03-06 21:35:11.165446,0
2026-03-06 21:35:11.192308,0
2026-03-06 21:35:11.267632,0
2026-03-06 21:35:11.294413,0
2026-03-06 21:35:11.369944,0
2026-03-06 21:35:11.396362,0
2026-03-06 21:35:11.47162,0
2026-03-06 21:35:11.49828,0
2026-03-06 21:35:11.573535,0
2026-03-06 21:35:11.600186,0
2026-03-06 21:35:11.67549,0
2026-03-06 21:35:11.702673,0
2026-03-06 21:35:11.777587,0
2026-03-06 21:35:11.804668,0
2026-03-06 21:35:11.879536,0
2026-03-06 21:35:11.906274,0
2026-03-06 21:35:11.981642,0
2026-03-06 21:35:12.008246,0
2026-03-06 21:35:12.083609,0
2026-03-06 21:35:12.110219,0
2026-03-06 21:35:12.185553,0
2026-03-06 21:35:12.212545,0
2026-03-06 21:35:12.287531,0
2026-03-06 21:35:12.3145,0
2026-03-06 21:35:12.389836,0
2026-03-06 21:35:12.416553,0
2026-03-06 21:35:12.491482,0
2026-03-06 21:35:12.518505,0
2026-03-06 21:35:12.593441,0
2026-03-06 21:35:12.620351,0
2026-03-06 21:35:12.695738,0
2026-03-06 21:35:12.723072,0
2026-03-06 21:35:12.797956,0
2026-03-06 21:35:12.824377,0
2026-03-06 21:35:12.899636,0
2026-03-06 21:35:12.926385,0
2026-03-06 21:35:13.001993,0
2026-03-06 21:35:13.028434,0
2026-03-06 21:35:13.10376,0
2026-03-06 21:35:13.130524,0
2026-03-06 21:35:13.205367,0
2026-03-06 21:35:13.232316,0
2026-03-06 21:35:13.30789,0
2026-03-06 21:35:13.334327,0
2026-03-06 21:35:13.409598,0
2026-03-06 21:35:13.436266,0
2026-03-06 21:35:13.511411,0
2026-03-06 21:35:13.538675,0
2026-03-06 21:35:13.613762,0
2026-03-06 21:35:13.640429,0
2026-03-06 21:35:13.715774,0
2026-03-06 21:35:13.742784,0
2026-03-06 21:35:13.817535,0
2026-03-06 21:35:13.844267,0
2026-03-06 21:35:13.919722,0
2026-03-06 21:35:13.946706,0
2026-03-06 21:35:14.021677,0
2026-03-06 21:35:14.048198,0
2026-03-06 21:35:14.123553,0
2026-03-06 21:35:14.150568,0
2026-03-06 21:35:14.225684,0
2026-03-06 21:35:14.252265,0
2026-03-06 21:35:14.327339,0
2026-03-06 21:35:14.354388,0
2026-03-06 21:35:14.42978,0
2026-03-06 21:35:14.456669,0
2026-03-06 21:35:14.531504,0
2026-03-06 21:35:14.558491,0
2026-03-06 21:35:14.633819,0
2026-03-06 21:35:14.660303,0
2026-03-06 21:35:14.736131,0
2026-03-06 21:35:14.762727,0
2026-03-06 21:35:14.837641,0
2026-03-06 21:35:14.864576,0
2026-03-06 21:35:14.939995,0
2026-03-06 21:35:14.966485,0
2026-03-06 21:35:15.041963,0
2026-03-06 21:35:15.068304,0
2026-03-06 21:35:15.143798,0
2026-03-06 21:35:15.170496,0
2026-03-06 21:35:15.245631,0
2026-03-06 21:35:15.272518,0
2026-03-06 21:35:15.347856,0
2026-03-06 21:35:15.374315,0
2026-03-06 21:35:15.450173,0
2026-03-06 21:35:15.476267,0
2026-03-06 21:35:15.552236,0
2026-03-06 21:35:15.578379,0
2026-03-06 21:35:15.653523,0
2026-03-06 21:35:15.680842,0
2026-03-06 21:35:15.755559,0
2026-03-06 21:35:15.782542,0
2026-03-06 21:35:15.857644,0
2026-03-06 21:35:15.884622,0
2026-03-06 21:35:15.960054,0
2026-03-06 21:35:15.986581,0
2026-03-06 21:35:16.062004,0
