time,ACT.GSE_High_Press_Vent.status
2026-03-06 21:36:44.495728,0
2026-03-06 21:36:44.524548,0
2026-03-06 21:36:44.597842,0
2026-03-06 21:36:44.624744,0
2026-03-06 21:36:44.699917,0
2026-03-06 21:36:44.726883,0
2026-03-06 21:36:44.802498,0
2026-03-06 21:36:44.829225,0
2026-03-06 21:36:44.909404,0
2026-03-06 21:36:44.93118,0
2026-03-06 21:36:45.005979,0
2026-03-06 21:36:45.033006,0
2026-03-06 21:36:45.108103,0
2026-03-06 21:36:45.134896,0
2026-03-06 21:36:45.209773,0
2026-03-06 21:36:45.237128,0
2026-03-06 21:36:45.31237,0
2026-03-06 21:36:45.338923,0
2026-03-06 21:36:45.41393,0
2026-03-06 21:36:45.441251,0
2026-03-06 21:36:45.515751,0
2026-03-06 21:36:45.542692,0
2026-03-06 21:36:45.617681,0
2026-03-06 21:36:45.645036,0
2026-03-06 21:36:45.720003,0
2026-03-06 21:36:45.747461,0
2026-03-06 21:36:45.822114,0
2026-03-06 21:36:45.848916,0
2026-03-06 21:36:45.924292,0
2026-03-06 21:36:45.951329,0
2026-03-06 21:36:46.025776,0
2026-03-06 21:36:46.0554,0
2026-03-06 21:36:46.128026,0
2026-03-06 21:36:46.155136,0
2026-03-06 21:36:46.230056,0
2026-03-06 21:36:46.257276,0
2026-03-06 21:36:46.331884,0
2026-03-06 21:36:46.359153,0
2026-03-06 21:36:46.434021,0
2026-03-06 21:36:46.460793,0
2026-03-06 21:36:46.535896,0
2026-03-06 21:36:46.563137,0
2026-03-06 21:36:46.637854,0
2026-03-06 21:36:46.664798,0
2026-03-06 21:36:46.739718,0
2026-03-06 21:36:46.767235,0
2026-03-06 21:36:46.841702,0
2026-03-06 21:36:46.868939,0
2026-03-06 21:36:46.943918,0
2026-03-06 21:36:46.971316,0
2026-03-06 21:36:47.045731,0
2026-03-06 21:36:47.07887,0
2026-03-06 21:36:47.147804,0
2026-03-06 21:36:47.174946,0
2026-03-06 21:36:47.249733,0
2026-03-06 21:36:47.277145,0
2026-03-06 21:36:47.351971,0
2026-03-06 21:36:47.379222,0
2026-03-06 21:36:47.453606,0
2026-03-06 21:36:47.48167,0
2026-03-06 21:36:47.555812,0
2026-03-06 21:36:47.583646,0
2026-03-06 21:36:47.65796,0
2026-03-06 21:36:47.68511,0
2026-03-06 21:36:47.759931,0
2026-03-06 21:36:47.78847,0
2026-03-06 21:36:47.861956,0
2026-03-06 21:36:47.889163,0
