time,TC_Cal.CH19.cal_status
2026-03-06 21:15:49.986577,0
2026-03-06 21:15:50.112932,0
2026-03-06 21:15:50.241278,0
2026-03-06 21:15:50.366755,0
2026-03-06 21:15:50.494318,0
2026-03-06 21:15:50.622098,0
2026-03-06 21:15:50.749916,0
2026-03-06 21:15:50.879657,0
2026-03-06 21:15:51.006817,0
2026-03-06 21:15:51.135478,0
2026-03-06 21:15:51.260832,0
2026-03-06 21:15:51.389495,0
2026-03-06 21:15:51.515444,0
2026-03-06 21:15:51.642686,0
2026-03-06 21:15:51.769718,0
2026-03-06 21:15:51.90236,0
2026-03-06 21:15:52.028922,0
2026-03-06 21:15:52.155264,0
2026-03-06 21:15:52.282969,0
2026-03-06 21:15:52.409059,0
2026-03-06 21:15:52.537851,0
2026-03-06 21:15:52.670837,0
2026-03-06 21:15:52.791888,0
2026-03-06 21:15:52.922304,0
2026-03-06 21:15:53.048554,0
2026-03-06 21:15:53.175066,0
2026-03-06 21:15:53.303509,0
2026-03-06 21:15:53.430317,0
2026-03-06 21:15:53.559976,0
2026-03-06 21:15:53.687699,0
2026-03-06 21:15:53.813241,0
2026-03-06 21:15:53.944758,0
2026-03-06 21:15:54.069431,0
2026-03-06 21:15:54.197097,0
2026-03-06 21:15:54.323856,0
2026-03-06 21:15:54.452904,0
2026-03-06 21:15:54.579173,0
2026-03-06 21:15:54.707134,0
2026-03-06 21:15:54.833155,0
2026-03-06 21:15:54.964875,0
2026-03-06 21:15:55.093424,0
2026-03-06 21:15:55.217412,0
2026-03-06 21:15:55.345034,0
2026-03-06 21:15:55.477766,0
2026-03-06 21:15:55.601894,0
2026-03-06 21:15:55.725993,0
2026-03-06 21:15:55.854018,0
2026-03-06 21:15:55.98531,0
2026-03-06 21:15:56.112059,0
2026-03-06 21:15:56.239829,0
2026-03-06 21:15:56.366481,0
2026-03-06 21:15:56.494029,0
2026-03-06 21:15:56.622586,0
2026-03-06 21:15:56.749204,0
2026-03-06 21:15:56.875768,0
