time,PT_Cal.Fuel_Upstream.raw_adc
2026-03-06 21:35:46.403816,259152236
2026-03-06 21:35:46.404104,259152236
2026-03-06 21:35:46.404584,259387545
2026-03-06 21:35:46.404885,259282364
2026-03-06 21:35:46.405247,258657345
2026-03-06 21:35:46.512957,259225728
2026-03-06 21:35:46.513719,258658693
2026-03-06 21:35:46.513827,259225728
2026-03-06 21:35:46.515651,258449005
2026-03-06 21:35:46.51631,258612844
2026-03-06 21:35:46.516954,258694428
2026-03-06 21:35:46.517767,259284387
2026-03-06 21:35:46.621967,258760503
2026-03-06 21:35:46.622314,259215614
2026-03-06 21:35:46.622321,258760503
2026-03-06 21:35:46.622566,258649928
2026-03-06 21:35:46.62323,258744996
2026-03-06 21:35:46.730852,259270902
2026-03-06 21:35:46.731194,259196736
2026-03-06 21:35:46.731629,259270902
2026-03-06 21:35:46.73186,258768594
2026-03-06 21:35:46.732373,258720049
2026-03-06 21:35:46.840412,259146842
2026-03-06 21:35:46.840856,258468557
2026-03-06 21:35:46.841315,258776011
2026-03-06 21:35:46.842426,259146842
2026-03-06 21:35:46.949066,258778033
2026-03-06 21:35:46.94936,258611496
2026-03-06 21:35:46.949597,258724769
2026-03-06 21:35:46.94963,258778033
2026-03-06 21:35:46.949836,259272925
2026-03-06 21:35:47.058239,258624307
2026-03-06 21:35:47.058623,258646556
2026-03-06 21:35:47.058783,258624307
2026-03-06 21:35:47.05899,258552838
2026-03-06 21:35:47.059411,258589247
2026-03-06 21:35:47.166721,258720724
2026-03-06 21:35:47.167047,258497550
2026-03-06 21:35:47.16736,258720724
2026-03-06 21:35:47.16737,258527891
2026-03-06 21:35:47.16793,258672178
2026-03-06 21:35:47.168344,258780731
2026-03-06 21:35:47.275527,258064689
2026-03-06 21:35:47.275632,258074128
2026-03-06 21:35:47.275691,258064689
2026-03-06 21:35:47.275851,258485414
2026-03-06 21:35:47.27596,258242688
2026-03-06 21:35:47.38474,258529240
2026-03-06 21:35:47.385089,258647231
2026-03-06 21:35:47.385305,258635094
2026-03-06 21:35:47.385428,258529240
2026-03-06 21:35:47.385852,258911533
2026-03-06 21:35:47.493691,259064585
2026-03-06 21:35:47.494003,258633073
2026-03-06 21:35:47.494331,259064585
2026-03-06 21:35:47.494884,258642511
2026-03-06 21:35:47.495072,258472603
2026-03-06 21:35:47.602565,258438892
2026-03-06 21:35:47.602917,258871079
2026-03-06 21:35:47.603187,258438892
2026-03-06 21:35:47.603227,258651951
2026-03-06 21:35:47.711533,258676223
2026-03-06 21:35:47.712139,259478568
2026-03-06 21:35:47.712236,258676223
2026-03-06 21:35:47.820651,258600709
2026-03-06 21:35:47.821039,259128637
2026-03-06 21:35:47.821335,258705215
2026-03-06 21:35:47.821807,258600709
2026-03-06 21:35:47.822075,259081441
2026-03-06 21:35:47.929448,258606102
2026-03-06 21:35:47.929511,258971540
2026-03-06 21:35:47.929748,258606102
2026-03-06 21:35:48.038919,259374735
2026-03-06 21:35:48.039334,258536656
2026-03-06 21:35:48.039934,259374735
2026-03-06 21:35:48.148364,258320899
2026-03-06 21:35:48.148696,258588572
2026-03-06 21:35:48.148995,258414618
2026-03-06 21:35:48.151462,258320899
2026-03-06 21:35:48.25673,259208871
2026-03-06 21:35:48.257331,259208871
2026-03-06 21:35:48.257418,258761177
2026-03-06 21:35:48.258035,258680268
2026-03-06 21:35:48.258686,259128637
2026-03-06 21:35:48.259426,258670155
2026-03-06 21:35:48.366172,258755784
2026-03-06 21:35:48.36646,258635769
2026-03-06 21:35:48.367416,258755784
2026-03-06 21:35:48.367503,258765897
2026-03-06 21:35:48.367624,258664761
2026-03-06 21:35:48.367728,258680943
2026-03-06 21:35:48.475154,258726791
2026-03-06 21:35:48.475423,258726791
2026-03-06 21:35:48.475538,258598012
2026-03-06 21:35:48.476084,258362028
2026-03-06 21:35:48.476605,258746344
2026-03-06 21:35:48.583468,258353938
2026-03-06 21:35:48.583672,259169092
2026-03-06 21:35:48.583822,258531936
2026-03-06 21:35:48.583972,258540702
2026-03-06 21:35:48.584143,258353938
2026-03-06 21:35:48.692623,259287757
2026-03-06 21:35:48.69286,259287757
2026-03-06 21:35:48.693528,259239887
2026-03-06 21:35:48.694032,258761177
2026-03-06 21:35:48.802188,258684988
2026-03-06 21:35:48.802577,258633073
2026-03-06 21:35:48.802738,258684988
2026-03-06 21:35:48.802907,258376186
2026-03-06 21:35:48.911016,258282468
2026-03-06 21:35:48.911405,258663413
2026-03-06 21:35:48.911648,258773314
2026-03-06 21:35:48.911705,258282468
2026-03-06 21:35:48.91202,259209546
2026-03-06 21:35:48.912514,258709260
2026-03-06 21:35:49.019653,258781404
2026-03-06 21:35:49.019783,258781404
2026-03-06 21:35:49.019984,258655321
2026-03-06 21:35:49.128841,259304614
