time,PT.GN2_Regulated.status
2026-03-06 21:29:43.20654,0
2026-03-06 21:29:43.206591,0
2026-03-06 21:29:43.206612,0
2026-03-06 21:29:43.206636,0
2026-03-06 21:29:43.206675,0
2026-03-06 21:29:43.206696,0
2026-03-06 21:29:43.20673,0
2026-03-06 21:29:43.31548,0
2026-03-06 21:29:43.315555,0
2026-03-06 21:29:43.315609,0
2026-03-06 21:29:43.315668,0
2026-03-06 21:29:43.315722,0
2026-03-06 21:29:43.315773,0
2026-03-06 21:29:43.315795,0
2026-03-06 21:29:43.315826,0
2026-03-06 21:29:43.315843,0
2026-03-06 21:29:43.424724,0
2026-03-06 21:29:43.42483,0
2026-03-06 21:29:43.424891,0
2026-03-06 21:29:43.424951,0
2026-03-06 21:29:43.424997,0
2026-03-06 21:29:43.425027,0
2026-03-06 21:29:43.425079,0
2026-03-06 21:29:43.425111,0
2026-03-06 21:29:43.425132,0
2026-03-06 21:29:43.533142,0
2026-03-06 21:29:43.533219,0
2026-03-06 21:29:43.533248,0
2026-03-06 21:29:43.533271,0
2026-03-06 21:29:43.533318,0
2026-03-06 21:29:43.533375,0
2026-03-06 21:29:43.533423,0
2026-03-06 21:29:43.533456,0
2026-03-06 21:29:43.53351,0
2026-03-06 21:29:43.642664,0
2026-03-06 21:29:43.642745,0
2026-03-06 21:29:43.642804,0
2026-03-06 21:29:43.642846,0
2026-03-06 21:29:43.642886,0
2026-03-06 21:29:43.642943,0
2026-03-06 21:29:43.64298,0
2026-03-06 21:29:43.643021,0
2026-03-06 21:29:43.643052,0
2026-03-06 21:29:43.751502,0
2026-03-06 21:29:43.751544,0
2026-03-06 21:29:43.751566,0
2026-03-06 21:29:43.751587,0
2026-03-06 21:29:43.751598,0
2026-03-06 21:29:43.751618,0
2026-03-06 21:29:43.751637,0
2026-03-06 21:29:43.751647,0
2026-03-06 21:29:43.751659,0
2026-03-06 21:29:43.860333,0
2026-03-06 21:29:43.860412,0
2026-03-06 21:29:43.860483,0
2026-03-06 21:29:43.860534,0
2026-03-06 21:29:43.860571,0
2026-03-06 21:29:43.860598,0
2026-03-06 21:29:43.860629,0
2026-03-06 21:29:43.860669,0
2026-03-06 21:29:43.860712,0
2026-03-06 21:29:43.968989,0
2026-03-06 21:29:43.969054,0
2026-03-06 21:29:43.969105,0
2026-03-06 21:29:43.969148,0
2026-03-06 21:29:43.96918,0
2026-03-06 21:29:43.96923,0
2026-03-06 21:29:43.969283,0
2026-03-06 21:29:43.969318,0
2026-03-06 21:29:43.969357,0
2026-03-06 21:29:44.077906,0
2026-03-06 21:29:44.077977,0
2026-03-06 21:29:44.078035,0
2026-03-06 21:29:44.078062,0
2026-03-06 21:29:44.078094,0
2026-03-06 21:29:44.078115,0
2026-03-06 21:29:44.07814,0
2026-03-06 21:29:44.078163,0
2026-03-06 21:29:44.078191,0
2026-03-06 21:29:44.18747,0
2026-03-06 21:29:44.187532,0
2026-03-06 21:29:44.187581,0
2026-03-06 21:29:44.187614,0
2026-03-06 21:29:44.187648,0
2026-03-06 21:29:44.187684,0
2026-03-06 21:29:44.187713,0
2026-03-06 21:29:44.187755,0
2026-03-06 21:29:44.187783,0
2026-03-06 21:29:44.295971,0
2026-03-06 21:29:44.296049,0
2026-03-06 21:29:44.296116,0
2026-03-06 21:29:44.296169,0
2026-03-06 21:29:44.296191,0
2026-03-06 21:29:44.296213,0
2026-03-06 21:29:44.296236,0
2026-03-06 21:29:44.296265,0
2026-03-06 21:29:44.2963,0
2026-03-06 21:29:44.404993,0
2026-03-06 21:29:44.405088,0
2026-03-06 21:29:44.40518,0
2026-03-06 21:29:44.405265,0
2026-03-06 21:29:44.405344,0
2026-03-06 21:29:44.40539,0
2026-03-06 21:29:44.405456,0
2026-03-06 21:29:44.405487,0
2026-03-06 21:29:44.405579,0
2026-03-06 21:29:44.5143,0
2026-03-06 21:29:44.514374,0
2026-03-06 21:29:44.514428,0
2026-03-06 21:29:44.514482,0
2026-03-06 21:29:44.514539,0
2026-03-06 21:29:44.514591,0
2026-03-06 21:29:44.514623,0
2026-03-06 21:29:44.514638,0
2026-03-06 21:29:44.514668,0
2026-03-06 21:29:44.623055,0
2026-03-06 21:29:44.623125,0
2026-03-06 21:29:44.623183,0
2026-03-06 21:29:44.623236,0
2026-03-06 21:29:44.62328,0
2026-03-06 21:29:44.623314,0
2026-03-06 21:29:44.623335,0
2026-03-06 21:29:44.623357,0
2026-03-06 21:29:44.623401,0
2026-03-06 21:29:44.732096,0
2026-03-06 21:29:44.732226,0
2026-03-06 21:29:44.732271,0
2026-03-06 21:29:44.732301,0
2026-03-06 21:29:44.73232,0
2026-03-06 21:29:44.732343,0
2026-03-06 21:29:44.732366,0
2026-03-06 21:29:44.732381,0
2026-03-06 21:29:44.732404,0
2026-03-06 21:29:44.841104,0
2026-03-06 21:29:44.841208,0
2026-03-06 21:29:44.841257,0
2026-03-06 21:29:44.841315,0
2026-03-06 21:29:44.84133,0
2026-03-06 21:29:44.841353,0
2026-03-06 21:29:44.841375,0
2026-03-06 21:29:44.841398,0
2026-03-06 21:29:44.841416,0
2026-03-06 21:29:44.950401,0
2026-03-06 21:29:44.950471,0
2026-03-06 21:29:44.950529,0
2026-03-06 21:29:44.950572,0
2026-03-06 21:29:44.950594,0
2026-03-06 21:29:44.950611,0
2026-03-06 21:29:44.950632,0
2026-03-06 21:29:44.950657,0
2026-03-06 21:29:44.950677,0
2026-03-06 21:29:45.059213,0
2026-03-06 21:29:45.059256,0
2026-03-06 21:29:45.059278,0
2026-03-06 21:29:45.059304,0
2026-03-06 21:29:45.059316,0
2026-03-06 21:29:45.059338,0
