time,ACT.GSE_LOX_Fill_Vent.status
2026-03-06 21:29:29.502111,0
2026-03-06 21:29:29.591605,0
2026-03-06 21:29:29.604049,0
2026-03-06 21:29:29.693667,0
2026-03-06 21:29:29.706371,0
2026-03-06 21:29:29.795687,0
2026-03-06 21:29:29.808156,0
2026-03-06 21:29:29.897597,0
2026-03-06 21:29:29.910106,0
2026-03-06 21:29:29.999344,0
2026-03-06 21:29:30.012044,0
2026-03-06 21:29:30.101328,0
2026-03-06 21:29:30.114414,0
2026-03-06 21:29:30.203615,0
2026-03-06 21:29:30.215995,0
2026-03-06 21:29:30.30517,0
2026-03-06 21:29:30.318059,0
2026-03-06 21:29:30.40796,0
2026-03-06 21:29:30.420282,0
2026-03-06 21:29:30.509482,0
2026-03-06 21:29:30.522276,0
2026-03-06 21:29:30.611492,0
2026-03-06 21:29:30.624118,0
2026-03-06 21:29:30.713528,0
2026-03-06 21:29:30.726071,0
2026-03-06 21:29:30.815198,0
2026-03-06 21:29:30.828074,0
2026-03-06 21:29:30.917406,0
2026-03-06 21:29:30.930065,0
2026-03-06 21:29:31.019228,0
2026-03-06 21:29:31.031883,0
2026-03-06 21:29:31.12171,0
2026-03-06 21:29:31.134315,0
2026-03-06 21:29:31.223411,0
2026-03-06 21:29:31.236033,0
2026-03-06 21:29:31.325432,0
2026-03-06 21:29:31.338006,0
2026-03-06 21:29:31.427254,0
2026-03-06 21:29:31.440044,0
2026-03-06 21:29:31.529665,0
2026-03-06 21:29:31.542099,0
2026-03-06 21:29:31.631406,0
2026-03-06 21:29:31.643884,0
2026-03-06 21:29:31.733622,0
2026-03-06 21:29:31.746141,0
2026-03-06 21:29:31.835466,0
2026-03-06 21:29:31.848209,0
2026-03-06 21:29:31.937229,0
2026-03-06 21:29:31.950345,0
2026-03-06 21:29:32.03963,0
2026-03-06 21:29:32.052141,0
2026-03-06 21:29:32.141332,0
2026-03-06 21:29:32.15383,0
2026-03-06 21:29:32.24352,0
2026-03-06 21:29:32.25599,0
2026-03-06 21:29:32.345351,0
2026-03-06 21:29:32.357932,0
2026-03-06 21:29:32.447416,0
2026-03-06 21:29:32.460385,0
2026-03-06 21:29:32.549429,0
2026-03-06 21:29:32.562203,0
2026-03-06 21:29:32.65137,0
2026-03-06 21:29:32.664495,0
2026-03-06 21:29:32.753341,0
2026-03-06 21:29:32.766292,0
2026-03-06 21:29:32.855549,0
2026-03-06 21:29:32.868052,0
2026-03-06 21:29:32.957554,0
2026-03-06 21:29:32.969936,0
2026-03-06 21:29:33.059445,0
2026-03-06 21:29:33.071827,0
2026-03-06 21:29:33.161501,0
2026-03-06 21:29:33.174137,0
2026-03-06 21:29:33.263394,0
2026-03-06 21:29:33.276246,0
2026-03-06 21:29:33.365228,0
2026-03-06 21:29:33.378289,0
2026-03-06 21:29:33.467431,0
2026-03-06 21:29:33.480388,0
2026-03-06 21:29:33.569154,0
2026-03-06 21:29:33.58207,0
2026-03-06 21:29:33.671299,0
2026-03-06 21:29:33.683959,0
2026-03-06 21:29:33.773464,0
2026-03-06 21:29:33.78604,0
2026-03-06 21:29:33.875727,0
2026-03-06 21:29:33.8871,0
2026-03-06 21:29:33.977424,0
2026-03-06 21:29:33.988913,0
2026-03-06 21:29:34.079413,0
2026-03-06 21:29:34.091127,0
2026-03-06 21:29:34.181421,0
2026-03-06 21:29:34.193125,0
2026-03-06 21:29:34.283521,0
2026-03-06 21:29:34.294917,0
2026-03-06 21:29:34.385465,0
2026-03-06 21:29:34.396906,0
2026-03-06 21:29:34.487197,0
2026-03-06 21:29:34.499118,0
2026-03-06 21:29:34.589536,0
2026-03-06 21:29:34.601571,0
2026-03-06 21:29:34.691628,0
2026-03-06 21:29:34.7035,0
2026-03-06 21:29:34.793259,0
2026-03-06 21:29:34.805135,0
2026-03-06 21:29:34.895465,0
2026-03-06 21:29:34.907186,0
2026-03-06 21:29:34.997841,0
2026-03-06 21:29:35.00961,0
2026-03-06 21:29:35.099531,0
2026-03-06 21:29:35.11113,0
2026-03-06 21:29:35.20145,0
2026-03-06 21:29:35.213405,0
2026-03-06 21:29:35.303515,0
2026-03-06 21:29:35.315047,0
2026-03-06 21:29:35.40552,0
2026-03-06 21:29:35.417344,0
2026-03-06 21:29:35.507365,0
2026-03-06 21:29:35.519229,0
2026-03-06 21:29:35.609633,0
2026-03-06 21:29:35.620983,0
2026-03-06 21:29:35.711384,0
2026-03-06 21:29:35.722375,0
2026-03-06 21:29:35.81368,0
2026-03-06 21:29:35.823962,0
2026-03-06 21:29:35.915386,0
2026-03-06 21:29:35.926194,0
2026-03-06 21:29:36.017175,0
2026-03-06 21:29:36.028245,0
2026-03-06 21:29:36.119711,0
2026-03-06 21:29:36.130338,0
2026-03-06 21:29:36.22178,0
2026-03-06 21:29:36.232236,0
2026-03-06 21:29:36.323655,0
2026-03-06 21:29:36.334117,0
2026-03-06 21:29:36.425266,0
2026-03-06 21:29:36.436346,0
2026-03-06 21:29:36.527686,0
2026-03-06 21:29:36.537892,0
2026-03-06 21:29:36.629675,0
2026-03-06 21:29:36.640138,0
2026-03-06 21:29:36.731889,0
2026-03-06 21:29:36.74219,0
2026-03-06 21:29:36.833535,0
2026-03-06 21:29:36.84445,0
2026-03-06 21:29:36.935292,0
2026-03-06 21:29:36.946501,0
2026-03-06 21:29:37.037437,0
2026-03-06 21:29:37.048387,0
2026-03-06 21:29:37.139772,0
2026-03-06 21:29:37.150032,0
2026-03-06 21:29:37.241772,0
2026-03-06 21:29:37.252003,0
2026-03-06 21:29:37.343695,0
2026-03-06 21:29:37.354094,0
2026-03-06 21:29:37.445626,0
2026-03-06 21:29:37.456437,0
2026-03-06 21:29:37.547678,0
2026-03-06 21:29:37.557938,0
2026-03-06 21:29:37.649592,0
2026-03-06 21:29:37.659945,0
2026-03-06 21:29:37.751308,0
2026-03-06 21:29:37.761979,0
2026-03-06 21:29:37.85374,0
2026-03-06 21:29:37.863901,0
2026-03-06 21:29:37.955349,0
2026-03-06 21:29:37.966112,0
