time,PT_Cal.Fuel_Upstream.pressure_psi
2026-03-06 21:35:02.803484,0.25922167
2026-03-06 21:35:02.803712,7.4474707
2026-03-06 21:35:02.804209,7.435317
2026-03-06 21:35:02.912291,7.452788
2026-03-06 21:35:02.91255,7.3908806
2026-03-06 21:35:02.91279,7.5059586
2026-03-06 21:35:02.912974,0.2591839
2026-03-06 21:35:02.913113,7.8959904
2026-03-06 21:35:03.021572,7.5477357
2026-03-06 21:35:03.021661,0.25935248
2026-03-06 21:35:03.02194,7.873964
2026-03-06 21:35:03.022171,7.2803583
2026-03-06 21:35:03.02295,7.4284806
2026-03-06 21:35:03.130519,7.473296
2026-03-06 21:35:03.130819,0.25922033
2026-03-06 21:35:03.13086,7.5124145
2026-03-06 21:35:03.13118,7.4550667
2026-03-06 21:35:03.13153,7.5378604
2026-03-06 21:35:03.132122,7.5184917
2026-03-06 21:35:03.23936,7.455446
2026-03-06 21:35:03.239704,7.457725
2026-03-06 21:35:03.240025,7.433038
2026-03-06 21:35:03.240083,0.25918865
2026-03-06 21:35:03.240618,7.5906515
2026-03-06 21:35:03.241081,7.4877286
2026-03-06 21:35:03.348545,7.1952806
2026-03-06 21:35:03.34879,7.5511537
2026-03-06 21:35:03.348992,7.4687386
2026-03-06 21:35:03.349165,0.2587268
2026-03-06 21:35:03.349702,7.4440517
2026-03-06 21:35:03.350046,7.423164
2026-03-06 21:35:03.456984,7.407212
2026-03-06 21:35:03.457188,0.25910303
2026-03-06 21:35:03.457695,7.4394946
2026-03-06 21:35:03.458335,7.904345
2026-03-06 21:35:03.566526,7.559509
2026-03-06 21:35:03.566871,7.4839306
2026-03-06 21:35:03.567133,7.2841554
2026-03-06 21:35:03.567309,0.2593734
2026-03-06 21:35:03.567452,7.5139337
2026-03-06 21:35:03.675544,7.453167
2026-03-06 21:35:03.675841,7.52039
2026-03-06 21:35:03.676156,7.416327
2026-03-06 21:35:03.676282,0.2591846
2026-03-06 21:35:03.677043,7.4782343
2026-03-06 21:35:03.677479,7.1379285
2026-03-06 21:35:03.784711,7.4964633
2026-03-06 21:35:03.784898,0.25926146
2026-03-06 21:35:03.785043,7.531404
2026-03-06 21:35:03.785492,7.515453
2026-03-06 21:35:03.786273,7.445571
2026-03-06 21:35:03.893454,7.540519
2026-03-06 21:35:03.893915,0.25933966
2026-03-06 21:35:03.894147,7.4877286
2026-03-06 21:35:03.895095,7.4337983
2026-03-06 21:35:04.002598,7.4653206
2026-03-06 21:35:04.002992,7.370372
2026-03-06 21:35:04.003222,0.25920618
2026-03-06 21:35:04.003737,7.487349
2026-03-06 21:35:04.111657,7.4117694
2026-03-06 21:35:04.111898,6.4504185
2026-03-06 21:35:04.112115,7.4729166
2026-03-06 21:35:04.11232,0.2591111
2026-03-06 21:35:04.112379,7.4262023
2026-03-06 21:35:04.11292,7.826113
2026-03-06 21:35:04.220279,7.7585135
2026-03-06 21:35:04.22062,7.767248
2026-03-06 21:35:04.220989,0.25972667
2026-03-06 21:35:04.221642,7.622553
2026-03-06 21:35:04.222659,7.621034
2026-03-06 21:35:04.329801,7.5781183
2026-03-06 21:35:04.329978,0.25940642
2026-03-06 21:35:04.330128,7.371131
2026-03-06 21:35:04.330676,7.856495
2026-03-06 21:35:04.331665,7.749779
2026-03-06 21:35:04.438234,6.2585835
2026-03-06 21:35:04.438488,7.481652
2026-03-06 21:35:04.43871,7.3388476
2026-03-06 21:35:04.438845,0.25706413
2026-03-06 21:35:04.439109,7.4315186
2026-03-06 21:35:04.439475,7.5036798
2026-03-06 21:35:04.547602,7.4751954
2026-03-06 21:35:04.547918,7.4148083
2026-03-06 21:35:04.548208,7.4744353
2026-03-06 21:35:04.548379,0.2592237
2026-03-06 21:35:04.548734,7.448989
2026-03-06 21:35:04.656452,7.460383
2026-03-06 21:35:04.656769,7.554191
2026-03-06 21:35:04.657035,7.4805126
2026-03-06 21:35:04.657107,0.2591974
2026-03-06 21:35:04.765403,7.42924
2026-03-06 21:35:04.765642,7.477094
2026-03-06 21:35:04.765888,7.771046
2026-03-06 21:35:04.766039,0.25914213
2026-03-06 21:35:04.766257,7.9343457
2026-03-06 21:35:04.87424,7.4550667
2026-03-06 21:35:04.874397,7.384804
2026-03-06 21:35:04.874634,0.25918797
2026-03-06 21:35:04.87488,7.4793725
2026-03-06 21:35:04.983316,7.725473
2026-03-06 21:35:04.983496,0.25966802
2026-03-06 21:35:04.983528,7.4193654
2026-03-06 21:35:04.983646,7.836746
2026-03-06 21:35:05.091965,7.457725
2026-03-06 21:35:05.092156,7.6081214
2026-03-06 21:35:05.092328,7.4687386
2026-03-06 21:35:05.092396,7.4702578
2026-03-06 21:35:05.092503,0.2591927
2026-03-06 21:35:05.201694,7.4075913
2026-03-06 21:35:05.201926,7.53976
2026-03-06 21:35:05.202033,7.8056054
2026-03-06 21:35:05.202258,7.7759833
2026-03-06 21:35:05.202469,0.2591037
2026-03-06 21:35:05.310573,7.394299
2026-03-06 21:35:05.310945,7.782819
2026-03-06 21:35:05.311113,0.25908008
2026-03-06 21:35:05.311359,7.883458
2026-03-06 21:35:05.312004,7.6183753
2026-03-06 21:35:05.419785,7.4801326
2026-03-06 21:35:05.420057,7.493425
2026-03-06 21:35:05.420146,0.25923246
2026-03-06 21:35:05.420414,7.5386205
2026-03-06 21:35:05.420789,7.455826
2026-03-06 21:35:05.528589,7.5724216
2026-03-06 21:35:05.528797,0.2593963
2026-03-06 21:35:05.52892,7.4375954
2026-03-06 21:35:05.529257,7.377967
2026-03-06 21:35:05.529596,7.791174
2026-03-06 21:35:05.637314,7.4960837
2026-03-06 21:35:05.637572,0.25926077
2026-03-06 21:35:05.637659,7.469878
2026-03-06 21:35:05.638369,7.4687386
2026-03-06 21:35:05.638695,7.813961
2026-03-06 21:35:05.746295,7.040315
2026-03-06 21:35:05.746424,7.519631
2026-03-06 21:35:05.746572,7.407212
2026-03-06 21:35:05.746708,7.5033
2026-03-06 21:35:05.746819,0.2584517
2026-03-06 21:35:05.746862,7.459244
2026-03-06 21:35:05.747002,7.852317
2026-03-06 21:35:05.855749,7.7475
2026-03-06 21:35:05.856142,7.7706666
2026-03-06 21:35:05.856748,7.4508886
2026-03-06 21:35:05.857133,0.25970712
2026-03-06 21:35:05.857522,7.3585978
2026-03-06 21:35:05.966076,7.835987
2026-03-06 21:35:05.966499,0.25986424
2026-03-06 21:35:05.966909,7.8071246
2026-03-06 21:35:05.967431,7.7991495
2026-03-06 21:35:05.967944,7.7592735
2026-03-06 21:35:06.073288,7.4740562
2026-03-06 21:35:06.073942,7.779781
2026-03-06 21:35:06.073993,0.25922167
2026-03-06 21:35:06.074699,7.867508
2026-03-06 21:35:06.182416,7.7030663
2026-03-06 21:35:06.182871,7.525327
2026-03-06 21:35:06.182972,0.25962824
2026-03-06 21:35:06.183832,7.7721853
2026-03-06 21:35:06.291139,7.751678
2026-03-06 21:35:06.291256,7.769907
2026-03-06 21:35:06.291327,6.5013194
2026-03-06 21:35:06.291388,7.327074
2026-03-06 21:35:06.291449,7.619135
2026-03-06 21:35:06.291725,0.25971454
2026-03-06 21:35:06.400376,7.4808917
2026-03-06 21:35:06.400718,7.485829
2026-03-06 21:35:06.400928,7.5728016
2026-03-06 21:35:06.401034,0.25923383
2026-03-06 21:35:06.509471,7.498362
2026-03-06 21:35:06.509817,7.4911466
2026-03-06 21:35:06.510128,7.469878
2026-03-06 21:35:06.510408,7.404933
2026-03-06 21:35:06.510525,0.25926483
2026-03-06 21:35:06.618632,7.385184
2026-03-06 21:35:06.618861,0.2590639
2026-03-06 21:35:06.618891,7.500262
2026-03-06 21:35:06.61904,7.4311395
2026-03-06 21:35:06.619484,7.4235435
2026-03-06 21:35:06.727726,7.461902
2026-03-06 21:35:06.728066,7.371511
2026-03-06 21:35:06.728381,7.4520273
2026-03-06 21:35:06.728401,0.2592001
2026-03-06 21:35:06.728669,7.467979
2026-03-06 21:35:06.836843,7.55723
2026-03-06 21:35:06.837137,7.433418
2026-03-06 21:35:06.837386,7.5469756
2026-03-06 21:35:06.837394,0.25936934
2026-03-06 21:35:06.837646,7.538241
2026-03-06 21:35:06.945358,7.5390005
2026-03-06 21:35:06.945641,6.253265
2026-03-06 21:35:06.945859,7.462282
2026-03-06 21:35:06.946068,7.494565
2026-03-06 21:35:06.946197,0.25933698
2026-03-06 21:35:07.054607,7.458864
2026-03-06 21:35:07.054947,7.441014
2026-03-06 21:35:07.055191,7.5317845
2026-03-06 21:35:07.05532,0.2591947
2026-03-06 21:35:07.055525,7.5393796
2026-03-06 21:35:07.163186,7.4748154
2026-03-06 21:35:07.163538,7.4759545
2026-03-06 21:35:07.16375,7.3726506
2026-03-06 21:35:07.163937,0.25922304
2026-03-06 21:35:07.164246,7.494185
2026-03-06 21:35:07.272611,6.4724503
2026-03-06 21:35:07.272974,7.4717765
2026-03-06 21:35:07.27319,7.7691474
2026-03-06 21:35:07.273389,7.497983
2026-03-06 21:35:07.27339,0.25744373
2026-03-06 21:35:07.381297,7.4224033
2026-03-06 21:35:07.381649,7.4508886
2026-03-06 21:35:07.381905,0.25912997
2026-03-06 21:35:07.381922,7.4478507
2026-03-06 21:35:07.382535,7.5207705
2026-03-06 21:35:07.382961,7.543178
2026-03-06 21:35:07.490559,7.602804
2026-03-06 21:35:07.49082,7.536342
2026-03-06 21:35:07.491014,7.0555077
2026-03-06 21:35:07.491389,7.523429
2026-03-06 21:35:07.491811,0.25945026
2026-03-06 21:35:07.491832,7.566345
2026-03-06 21:35:07.599369,7.4740562
2026-03-06 21:35:07.599738,0.25922167
2026-03-06 21:35:07.600113,7.1971793
2026-03-06 21:35:07.600536,7.445571
2026-03-06 21:35:07.601138,6.9932165
2026-03-06 21:35:07.601534,7.1572995
2026-03-06 21:35:07.6024,7.4543066
2026-03-06 21:35:07.708292,7.507858
2026-03-06 21:35:07.708669,7.5336833
2026-03-06 21:35:07.708957,0.2592817
2026-03-06 21:35:07.709021,7.4789934
2026-03-06 21:35:07.709574,7.4220243
