time,ACT.Fuel_Fill_Vent.status
2026-03-06 21:16:47.74772,0
2026-03-06 21:16:47.79137,0
2026-03-06 21:16:47.849753,0
2026-03-06 21:16:47.893835,0
2026-03-06 21:16:47.951152,0
2026-03-06 21:16:47.995509,0
2026-03-06 21:16:48.053306,0
2026-03-06 21:16:48.097602,0
2026-03-06 21:16:48.155659,0
2026-03-06 21:16:48.19946,0
2026-03-06 21:16:48.257263,0
2026-03-06 21:16:48.301797,0
2026-03-06 21:16:48.359322,0
2026-03-06 21:16:48.403741,0
2026-03-06 21:16:48.461372,0
2026-03-06 21:16:48.505478,0
2026-03-06 21:16:48.563179,0
2026-03-06 21:16:48.607812,0
2026-03-06 21:16:48.665483,0
2026-03-06 21:16:48.709692,0
2026-03-06 21:16:48.76728,0
2026-03-06 21:16:48.811894,0
2026-03-06 21:16:48.869373,0
2026-03-06 21:16:48.913215,0
2026-03-06 21:16:48.971977,0
2026-03-06 21:16:49.015813,0
2026-03-06 21:16:49.073539,0
2026-03-06 21:16:49.117431,0
2026-03-06 21:16:49.175599,0
2026-03-06 21:16:49.219748,0
2026-03-06 21:16:49.277461,0
2026-03-06 21:16:49.321635,0
2026-03-06 21:16:49.379409,0
2026-03-06 21:16:49.423249,0
2026-03-06 21:16:49.481293,0
2026-03-06 21:16:49.525407,0
2026-03-06 21:16:49.583091,0
2026-03-06 21:16:49.627273,0
2026-03-06 21:16:49.685111,0
2026-03-06 21:16:49.729384,0
2026-03-06 21:16:49.787506,0
2026-03-06 21:16:49.831295,0
2026-03-06 21:16:49.88917,0
2026-03-06 21:16:49.933765,0
2026-03-06 21:16:49.991364,0
2026-03-06 21:16:50.036486,0
2026-03-06 21:16:50.093403,0
2026-03-06 21:16:50.137242,0
2026-03-06 21:16:50.195247,0
2026-03-06 21:16:50.239591,0
2026-03-06 21:16:50.297699,0
2026-03-06 21:16:50.341199,0
2026-03-06 21:16:50.399288,0
2026-03-06 21:16:50.443543,0
2026-03-06 21:16:50.501262,0
2026-03-06 21:16:50.545733,0
2026-03-06 21:16:50.603534,0
2026-03-06 21:16:50.647798,0
2026-03-06 21:16:50.705319,0
2026-03-06 21:16:50.749511,0
2026-03-06 21:16:50.807035,0
2026-03-06 21:16:50.851242,0
2026-03-06 21:16:50.909436,0
2026-03-06 21:16:50.953406,0
2026-03-06 21:16:51.011636,0
2026-03-06 21:16:51.055326,0
2026-03-06 21:16:51.113761,0
2026-03-06 21:16:51.157684,0
2026-03-06 21:16:51.215241,0
2026-03-06 21:16:51.259479,0
2026-03-06 21:16:51.31724,0
2026-03-06 21:16:51.361755,0
2026-03-06 21:16:51.41953,0
2026-03-06 21:16:51.463933,0
2026-03-06 21:16:51.521364,0
2026-03-06 21:16:51.565966,0
2026-03-06 21:16:51.623334,0
2026-03-06 21:16:51.667509,0
2026-03-06 21:16:51.725461,0
2026-03-06 21:16:51.769774,0
2026-03-06 21:16:51.827361,0
2026-03-06 21:16:51.871369,0
2026-03-06 21:16:51.929404,0
2026-03-06 21:16:51.973552,0
2026-03-06 21:16:52.031214,0
2026-03-06 21:16:52.075553,0
2026-03-06 21:16:52.133343,0
2026-03-06 21:16:52.177346,0
2026-03-06 21:16:52.235584,0
2026-03-06 21:16:52.279396,0
2026-03-06 21:16:52.337189,0
2026-03-06 21:16:52.381697,0
2026-03-06 21:16:52.439708,0
2026-03-06 21:16:52.483497,0
2026-03-06 21:16:52.541479,0
2026-03-06 21:16:52.585555,0
2026-03-06 21:16:52.643282,0
2026-03-06 21:16:52.687314,0
2026-03-06 21:16:52.745508,0
2026-03-06 21:16:52.789233,0
2026-03-06 21:16:52.847093,0
2026-03-06 21:16:52.891549,0
2026-03-06 21:16:52.949377,0
2026-03-06 21:16:52.993272,0
2026-03-06 21:16:53.051434,0
2026-03-06 21:16:53.09577,0
2026-03-06 21:16:53.154193,0
2026-03-06 21:16:53.197879,0
2026-03-06 21:16:53.255654,0
2026-03-06 21:16:53.299878,0
2026-03-06 21:16:53.357316,0
2026-03-06 21:16:53.401901,0
2026-03-06 21:16:53.459598,0
2026-03-06 21:16:53.503334,0
2026-03-06 21:16:53.561656,0
