time,ACT.GSE_High_Press_Vent.actuator_state
2026-03-06 21:21:43.491151,0
2026-03-06 21:21:43.550611,1
2026-03-06 21:21:43.593116,0
2026-03-06 21:21:43.65215,1
2026-03-06 21:21:43.694961,0
2026-03-06 21:21:43.754519,1
2026-03-06 21:21:43.797276,0
2026-03-06 21:21:43.856467,1
2026-03-06 21:21:43.898792,0
2026-03-06 21:21:43.958496,1
2026-03-06 21:21:44.00129,0
2026-03-06 21:21:44.060387,1
2026-03-06 21:21:44.103124,0
2026-03-06 21:21:44.162453,1
2026-03-06 21:21:44.204997,0
2026-03-06 21:21:44.264128,1
2026-03-06 21:21:44.307316,0
2026-03-06 21:21:44.36645,1
2026-03-06 21:21:44.409046,0
2026-03-06 21:21:44.468432,1
2026-03-06 21:21:44.511204,0
2026-03-06 21:21:44.570163,1
2026-03-06 21:21:44.613226,0
2026-03-06 21:21:44.672301,1
2026-03-06 21:21:44.715175,0
2026-03-06 21:21:44.774443,1
2026-03-06 21:21:44.81725,0
2026-03-06 21:21:44.876007,1
2026-03-06 21:21:44.91904,0
2026-03-06 21:21:44.978258,1
2026-03-06 21:21:45.020843,0
2026-03-06 21:21:45.080586,1
2026-03-06 21:21:45.12304,0
2026-03-06 21:21:45.182795,1
2026-03-06 21:21:45.225475,0
2026-03-06 21:21:45.284394,1
2026-03-06 21:21:45.327305,0
2026-03-06 21:21:45.386482,1
2026-03-06 21:21:45.429369,0
2026-03-06 21:21:45.488501,1
2026-03-06 21:21:45.531257,0
2026-03-06 21:21:45.590481,1
2026-03-06 21:21:45.633106,0
2026-03-06 21:21:45.692102,1
2026-03-06 21:21:45.73541,0
2026-03-06 21:21:45.794404,1
2026-03-06 21:21:45.837436,0
2026-03-06 21:21:45.896554,1
2026-03-06 21:21:45.939131,0
2026-03-06 21:21:45.997973,1
2026-03-06 21:21:46.041515,0
2026-03-06 21:21:46.100618,1
2026-03-06 21:21:46.14314,0
2026-03-06 21:21:46.202261,1
2026-03-06 21:21:46.245189,0
2026-03-06 21:21:46.304515,1
2026-03-06 21:21:46.347345,0
2026-03-06 21:21:46.406128,1
2026-03-06 21:21:46.448985,0
2026-03-06 21:21:46.508569,1
2026-03-06 21:21:46.551282,0
2026-03-06 21:21:46.610185,1
2026-03-06 21:21:46.652917,0
2026-03-06 21:21:46.712238,1
2026-03-06 21:21:46.755206,0
2026-03-06 21:21:46.814606,1
2026-03-06 21:21:46.85727,0
2026-03-06 21:21:46.916273,1
2026-03-06 21:21:46.959494,0
2026-03-06 21:21:47.018236,1
2026-03-06 21:21:47.061461,0
2026-03-06 21:21:47.120542,1
2026-03-06 21:21:47.163477,0
2026-03-06 21:21:47.222209,1
2026-03-06 21:21:47.265508,0
2026-03-06 21:21:47.324128,1
2026-03-06 21:21:47.367342,0
2026-03-06 21:21:47.426499,1
2026-03-06 21:21:47.469059,0
2026-03-06 21:21:47.528193,1
2026-03-06 21:21:47.571006,0
2026-03-06 21:21:47.630414,1
2026-03-06 21:21:47.672934,0
2026-03-06 21:21:47.732352,1
2026-03-06 21:21:47.774777,0
2026-03-06 21:21:47.834525,1
2026-03-06 21:21:47.877067,0
2026-03-06 21:21:47.936465,1
2026-03-06 21:21:47.978881,0
2026-03-06 21:21:48.03814,1
2026-03-06 21:21:48.080994,0
2026-03-06 21:21:48.140059,1
2026-03-06 21:21:48.183254,0
2026-03-06 21:21:48.242296,1
2026-03-06 21:21:48.285613,0
2026-03-06 21:21:48.344533,1
2026-03-06 21:21:48.387071,0
2026-03-06 21:21:48.446178,1
2026-03-06 21:21:48.489162,0
2026-03-06 21:21:48.548353,1
2026-03-06 21:21:48.591197,0
2026-03-06 21:21:48.650716,1
2026-03-06 21:21:48.693069,0
2026-03-06 21:21:48.752626,1
2026-03-06 21:21:48.795062,0
2026-03-06 21:21:48.85412,1
2026-03-06 21:21:48.897092,0
2026-03-06 21:21:48.956243,1
2026-03-06 21:21:48.998833,0
2026-03-06 21:21:49.05819,1
2026-03-06 21:21:49.101223,0
2026-03-06 21:21:49.160395,1
2026-03-06 21:21:49.203437,0
2026-03-06 21:21:49.262293,1
2026-03-06 21:21:49.305205,0
2026-03-06 21:21:49.364607,1
2026-03-06 21:21:49.406997,0
2026-03-06 21:21:49.466574,1
2026-03-06 21:21:49.509433,0
2026-03-06 21:21:49.568425,1
2026-03-06 21:21:49.611275,0
2026-03-06 21:21:49.67031,1
2026-03-06 21:21:49.713072,0
2026-03-06 21:21:49.772812,1
2026-03-06 21:21:49.815224,0
2026-03-06 21:21:49.874492,1
2026-03-06 21:21:49.916984,0
2026-03-06 21:21:49.976475,1
2026-03-06 21:21:50.019237,0
2026-03-06 21:21:50.078227,1
2026-03-06 21:21:50.121241,0
2026-03-06 21:21:50.18035,1
2026-03-06 21:21:50.223335,0
2026-03-06 21:21:50.282447,1
2026-03-06 21:21:50.325503,0
2026-03-06 21:21:50.384322,1
2026-03-06 21:21:50.427386,0
2026-03-06 21:21:50.486288,1
2026-03-06 21:21:50.529146,0
2026-03-06 21:21:50.588584,1
2026-03-06 21:21:50.631423,0
2026-03-06 21:21:50.690603,1
2026-03-06 21:21:50.7333,0
2026-03-06 21:21:50.792136,1
2026-03-06 21:21:50.835079,0
2026-03-06 21:21:50.894765,1
2026-03-06 21:21:50.937425,0
2026-03-06 21:21:50.996285,1
2026-03-06 21:21:51.039596,0
2026-03-06 21:21:51.098657,1
2026-03-06 21:21:51.140918,0
2026-03-06 21:21:51.200418,1
2026-03-06 21:21:51.243232,0
2026-03-06 21:21:51.302298,1
2026-03-06 21:21:51.345453,0
2026-03-06 21:21:51.404365,1
2026-03-06 21:21:51.447251,0
2026-03-06 21:21:51.506081,1
2026-03-06 21:21:51.549175,0
2026-03-06 21:21:51.608684,1
2026-03-06 21:21:51.651595,0
2026-03-06 21:21:51.710681,1
2026-03-06 21:21:51.754379,0
2026-03-06 21:21:51.812428,1
2026-03-06 21:21:51.855044,0
2026-03-06 21:21:51.914796,1
2026-03-06 21:21:51.957346,0
2026-03-06 21:21:52.016678,1
2026-03-06 21:21:52.059057,0
2026-03-06 21:21:52.118392,1
2026-03-06 21:21:52.1613,0
2026-03-06 21:21:52.220429,1
2026-03-06 21:21:52.26341,0
2026-03-06 21:21:52.322435,1
2026-03-06 21:21:52.365006,0
2026-03-06 21:21:52.424559,1
2026-03-06 21:21:52.46753,0
2026-03-06 21:21:52.526772,1
2026-03-06 21:21:52.569606,0
2026-03-06 21:21:52.62858,1
2026-03-06 21:21:52.671166,0
2026-03-06 21:21:52.730664,1
2026-03-06 21:21:52.773298,0
2026-03-06 21:21:52.832777,1
2026-03-06 21:21:52.875363,0
2026-03-06 21:21:52.934689,1
2026-03-06 21:21:52.977324,0
2026-03-06 21:21:53.036347,1
2026-03-06 21:21:53.079194,0
2026-03-06 21:21:53.138464,1
2026-03-06 21:21:53.181586,0
2026-03-06 21:21:53.24048,1
2026-03-06 21:21:53.283502,0
2026-03-06 21:21:53.342545,1
2026-03-06 21:21:53.38551,0
2026-03-06 21:21:53.44484,1
2026-03-06 21:21:53.487365,0
2026-03-06 21:21:53.546431,1
2026-03-06 21:21:53.589291,0
2026-03-06 21:21:53.648628,1
2026-03-06 21:21:53.691388,0
2026-03-06 21:21:53.750385,1
2026-03-06 21:21:53.793142,0
2026-03-06 21:21:53.852629,1
2026-03-06 21:21:53.895147,0
2026-03-06 21:21:53.954308,1
2026-03-06 21:21:53.997107,0
2026-03-06 21:21:54.056503,1
2026-03-06 21:21:54.099194,0
2026-03-06 21:21:54.15886,1
2026-03-06 21:21:54.200897,0
2026-03-06 21:21:54.260353,1
2026-03-06 21:21:54.303256,0
2026-03-06 21:21:54.362607,1
2026-03-06 21:21:54.405168,0
2026-03-06 21:21:54.464545,1
2026-03-06 21:21:54.506884,0
2026-03-06 21:21:54.566654,1
2026-03-06 21:21:54.609329,0
2026-03-06 21:21:54.66837,1
2026-03-06 21:21:54.711095,0
2026-03-06 21:21:54.770405,1
2026-03-06 21:21:54.813147,0
2026-03-06 21:21:54.872543,1
2026-03-06 21:21:54.914986,0
2026-03-06 21:21:54.97433,1
2026-03-06 21:21:55.016872,0
2026-03-06 21:21:55.076566,1
2026-03-06 21:21:55.119215,0
2026-03-06 21:21:55.178808,1
2026-03-06 21:21:55.220883,0
2026-03-06 21:21:55.280622,1
2026-03-06 21:21:55.322955,0
2026-03-06 21:21:55.382469,1
2026-03-06 21:21:55.425204,0
2026-03-06 21:21:55.484132,1
2026-03-06 21:21:55.527571,0
2026-03-06 21:21:55.586177,1
2026-03-06 21:21:55.6291,0
2026-03-06 21:21:55.688563,1
2026-03-06 21:21:55.731544,0
2026-03-06 21:21:55.790739,1
2026-03-06 21:21:55.833292,0
2026-03-06 21:21:55.892624,1
2026-03-06 21:21:55.93564,0
2026-03-06 21:21:55.994235,1
2026-03-06 21:21:56.036973,0
2026-03-06 21:21:56.09603,1
2026-03-06 21:21:56.13935,0
2026-03-06 21:21:56.198444,1
2026-03-06 21:21:56.241035,0
2026-03-06 21:21:56.300374,1
2026-03-06 21:21:56.343046,0
2026-03-06 21:21:56.402238,1
2026-03-06 21:21:56.445177,0
2026-03-06 21:21:56.50408,1
2026-03-06 21:21:56.547123,0
2026-03-06 21:21:56.606351,1
2026-03-06 21:21:56.649467,0
2026-03-06 21:21:56.708389,1
2026-03-06 21:21:56.751522,0
2026-03-06 21:21:56.810492,1
2026-03-06 21:21:56.853116,0
2026-03-06 21:21:56.912177,1
2026-03-06 21:21:56.955368,0
2026-03-06 21:21:57.01407,1
2026-03-06 21:21:57.057387,0
2026-03-06 21:21:57.116572,1
2026-03-06 21:21:57.1594,0
2026-03-06 21:21:57.218277,1
2026-03-06 21:21:57.261661,0
2026-03-06 21:21:57.320299,1
2026-03-06 21:21:57.363271,0
2026-03-06 21:21:57.422652,1
2026-03-06 21:21:57.465745,0
2026-03-06 21:21:57.524484,1
2026-03-06 21:21:57.567472,0
2026-03-06 21:21:57.626243,1
2026-03-06 21:21:57.669278,0
2026-03-06 21:21:57.728341,1
2026-03-06 21:21:57.771276,0
2026-03-06 21:21:57.830115,1
2026-03-06 21:21:57.87328,0
2026-03-06 21:21:57.932594,1
2026-03-06 21:21:57.975099,0
2026-03-06 21:21:58.034603,1
2026-03-06 21:21:58.077279,0
2026-03-06 21:21:58.136522,1
2026-03-06 21:21:58.179053,0
2026-03-06 21:21:58.238392,1
2026-03-06 21:21:58.281373,0
2026-03-06 21:21:58.340685,1
2026-03-06 21:21:58.383081,0
2026-03-06 21:21:58.442239,1
2026-03-06 21:21:58.484982,0
2026-03-06 21:21:58.5449,1
2026-03-06 21:21:58.587156,0
2026-03-06 21:21:58.646698,1
2026-03-06 21:21:58.688943,0
2026-03-06 21:21:58.748794,1
2026-03-06 21:21:58.791246,0
2026-03-06 21:21:58.850569,1
2026-03-06 21:21:58.893063,0
2026-03-06 21:21:58.95208,1
2026-03-06 21:21:58.994936,0
2026-03-06 21:21:59.054458,1
2026-03-06 21:21:59.096961,0
2026-03-06 21:21:59.156291,1
2026-03-06 21:21:59.199355,0
2026-03-06 21:21:59.258545,1
2026-03-06 21:21:59.301084,0
2026-03-06 21:21:59.36044,1
2026-03-06 21:21:59.402885,0
2026-03-06 21:21:59.462273,1
2026-03-06 21:21:59.505508,0
2026-03-06 21:21:59.564671,1
