time,ACT.GSE_High_Press_Control.timestamp_ns
2026-03-06 21:17:06.661643,1772831826661385530
2026-03-06 21:17:06.66167,1772831826661385530
2026-03-06 21:17:06.719456,1772831826719197610
2026-03-06 21:17:06.719489,1772831826719197610
2026-03-06 21:17:06.763545,1772831826763379053
2026-03-06 21:17:06.763554,1772831826763379053
2026-03-06 21:17:06.821662,1772831826821471292
2026-03-06 21:17:06.821686,1772831826821471292
2026-03-06 21:17:06.865883,1772831826865678447
2026-03-06 21:17:06.86591,1772831826865678447
2026-03-06 21:17:06.923622,1772831826923457173
2026-03-06 21:17:06.923635,1772831826923457173
2026-03-06 21:17:06.967481,1772831826967252257
2026-03-06 21:17:06.967496,1772831826967252257
2026-03-06 21:17:07.025863,1772831827025640947
2026-03-06 21:17:07.025877,1772831827025640947
2026-03-06 21:17:07.069635,1772831827069414652
2026-03-06 21:17:07.069654,1772831827069414652
2026-03-06 21:17:07.127382,1772831827127155170
2026-03-06 21:17:07.127393,1772831827127155170
2026-03-06 21:17:07.171731,1772831827171423173
2026-03-06 21:17:07.171757,1772831827171423173
2026-03-06 21:17:07.229792,1772831827229611673
2026-03-06 21:17:07.229812,1772831827229611673
2026-03-06 21:17:07.273935,1772831827273682796
2026-03-06 21:17:07.274002,1772831827273682796
2026-03-06 21:17:07.331821,1772831827331494823
2026-03-06 21:17:07.331855,1772831827331494823
2026-03-06 21:17:07.376007,1772831827375667998
2026-03-06 21:17:07.37604,1772831827375667998
2026-03-06 21:17:07.433308,1772831827433227939
2026-03-06 21:17:07.433327,1772831827433227939
2026-03-06 21:17:07.478205,1772831827477778889
2026-03-06 21:17:07.478237,1772831827477778889
2026-03-06 21:17:07.535447,1772831827535255183
2026-03-06 21:17:07.535463,1772831827535255183
2026-03-06 21:17:07.579673,1772831827579454921
2026-03-06 21:17:07.579697,1772831827579454921
2026-03-06 21:17:07.637701,1772831827637375689
2026-03-06 21:17:07.637735,1772831827637375689
2026-03-06 21:17:07.681684,1772831827681511028
2026-03-06 21:17:07.681706,1772831827681511028
2026-03-06 21:17:07.739607,1772831827739354773
2026-03-06 21:17:07.739642,1772831827739354773
2026-03-06 21:17:07.783699,1772831827783404112
2026-03-06 21:17:07.783756,1772831827783404112
2026-03-06 21:17:07.841458,1772831827841241694
2026-03-06 21:17:07.841484,1772831827841241694
2026-03-06 21:17:07.885425,1772831827885210447
2026-03-06 21:17:07.885456,1772831827885210447
2026-03-06 21:17:07.943801,1772831827943471725
2026-03-06 21:17:07.943838,1772831827943471725
2026-03-06 21:17:07.987671,1772831827987366139
2026-03-06 21:17:07.987712,1772831827987366139
2026-03-06 21:17:08.045541,1772831828045314666
2026-03-06 21:17:08.045563,1772831828045314666
2026-03-06 21:17:08.089693,1772831828089408646
2026-03-06 21:17:08.089726,1772831828089408646
2026-03-06 21:17:08.147483,1772831828147183202
2026-03-06 21:17:08.147517,1772831828147183202
