time,PT_Cal.GSE_High.cal_status
2026-03-06 21:15:37.784449,1
2026-03-06 21:15:37.78452,1
2026-03-06 21:15:37.785005,1
2026-03-06 21:15:37.785066,1
2026-03-06 21:15:37.884082,1
2026-03-06 21:15:37.884132,1
2026-03-06 21:15:37.884153,1
2026-03-06 21:15:37.884193,1
2026-03-06 21:15:37.884264,1
2026-03-06 21:15:37.884443,1
2026-03-06 21:15:37.884523,0
2026-03-06 21:15:37.884574,1
2026-03-06 21:15:37.985367,1
2026-03-06 21:15:37.985426,1
2026-03-06 21:15:37.98544,0
2026-03-06 21:15:37.985441,1
2026-03-06 21:15:37.985509,1
2026-03-06 21:15:37.985545,1
2026-03-06 21:15:37.985601,1
2026-03-06 21:15:37.985675,1
2026-03-06 21:15:37.985745,1
2026-03-06 21:15:38.085122,1
2026-03-06 21:15:38.085209,1
2026-03-06 21:15:38.085271,1
2026-03-06 21:15:38.085346,1
2026-03-06 21:15:38.085405,1
2026-03-06 21:15:38.085482,1
2026-03-06 21:15:38.085578,1
2026-03-06 21:15:38.085602,0
2026-03-06 21:15:38.085667,1
2026-03-06 21:15:38.185255,1
2026-03-06 21:15:38.185317,1
2026-03-06 21:15:38.185343,1
2026-03-06 21:15:38.185386,1
2026-03-06 21:15:38.185435,1
2026-03-06 21:15:38.185476,1
2026-03-06 21:15:38.185515,1
2026-03-06 21:15:38.185567,1
2026-03-06 21:15:38.185613,1
2026-03-06 21:15:38.185662,0
2026-03-06 21:15:38.28927,1
2026-03-06 21:15:38.289332,1
2026-03-06 21:15:38.289346,1
2026-03-06 21:15:38.289375,1
2026-03-06 21:15:38.289425,1
2026-03-06 21:15:38.289478,1
2026-03-06 21:15:38.289536,1
2026-03-06 21:15:38.289614,1
2026-03-06 21:15:38.289832,0
2026-03-06 21:15:38.38949,1
2026-03-06 21:15:38.389561,1
2026-03-06 21:15:38.389576,1
2026-03-06 21:15:38.389602,1
2026-03-06 21:15:38.389613,1
2026-03-06 21:15:38.38964,1
