time,ACT.GN2_Vent.sample_ts_ms
2026-03-06 21:19:54.715251,11216156
2026-03-06 21:19:54.758458,11216238
2026-03-06 21:19:54.817495,11216258
2026-03-06 21:19:54.860566,11216340
2026-03-06 21:19:54.919071,11216360
2026-03-06 21:19:54.962585,11216442
2026-03-06 21:19:55.021375,11216462
2026-03-06 21:19:55.065066,11216544
2026-03-06 21:19:55.123249,11216564
2026-03-06 21:19:55.166807,11216646
2026-03-06 21:19:55.225571,11216666
2026-03-06 21:19:55.268675,11216748
2026-03-06 21:19:55.327107,11216768
2026-03-06 21:19:55.370818,11216850
2026-03-06 21:19:55.42921,11216870
2026-03-06 21:19:55.472505,11216952
2026-03-06 21:19:55.531474,11216972
2026-03-06 21:19:55.57452,11217054
2026-03-06 21:19:55.633276,11217074
2026-03-06 21:19:55.676744,11217156
2026-03-06 21:19:55.735539,11217176
2026-03-06 21:19:55.778571,11217258
2026-03-06 21:19:55.83737,11217278
2026-03-06 21:19:55.880717,11217360
2026-03-06 21:19:55.939282,11217380
2026-03-06 21:19:55.982657,11217462
2026-03-06 21:19:56.041474,11217482
2026-03-06 21:19:56.084851,11217564
2026-03-06 21:19:56.143541,11217584
2026-03-06 21:19:56.186601,11217666
2026-03-06 21:19:56.245214,11217686
2026-03-06 21:19:56.28881,11217768
2026-03-06 21:19:56.347359,11217788
2026-03-06 21:19:56.390733,11217870
2026-03-06 21:19:56.44936,11217890
2026-03-06 21:19:56.49236,11217972
2026-03-06 21:19:56.551577,11217992
2026-03-06 21:19:56.594839,11218074
2026-03-06 21:19:56.653274,11218094
2026-03-06 21:19:56.696688,11218176
2026-03-06 21:19:56.755368,11218196
2026-03-06 21:19:56.798489,11218278
2026-03-06 21:19:56.857135,11218298
2026-03-06 21:19:56.900736,11218380
2026-03-06 21:19:56.959601,11218400
2026-03-06 21:19:57.002576,11218482
2026-03-06 21:19:57.061521,11218502
2026-03-06 21:19:57.104736,11218584
2026-03-06 21:19:57.163494,11218604
2026-03-06 21:19:57.207143,11218686
2026-03-06 21:19:57.265408,11218706
2026-03-06 21:19:57.308477,11218788
2026-03-06 21:19:57.367691,11218808
2026-03-06 21:19:57.410661,11218890
2026-03-06 21:19:57.469533,11218910
2026-03-06 21:19:57.512421,11218992
2026-03-06 21:19:57.570979,11219012
2026-03-06 21:19:57.614848,11219094
2026-03-06 21:19:57.673287,11219114
2026-03-06 21:19:57.716735,11219196
2026-03-06 21:19:57.775329,11219216
2026-03-06 21:19:57.81883,11219298
2026-03-06 21:19:57.877665,11219318
2026-03-06 21:19:57.920866,11219400
2026-03-06 21:19:57.979564,11219420
2026-03-06 21:19:58.022441,11219502
2026-03-06 21:19:58.081099,11219522
2026-03-06 21:19:58.124965,11219604
2026-03-06 21:19:58.18321,11219624
2026-03-06 21:19:58.226887,11219706
2026-03-06 21:19:58.285497,11219726
2026-03-06 21:19:58.328993,11219808
2026-03-06 21:19:58.387263,11219828
2026-03-06 21:19:58.430421,11219910
2026-03-06 21:19:58.489227,11219930
2026-03-06 21:19:58.532456,11220012
2026-03-06 21:19:58.591446,11220032
2026-03-06 21:19:58.634735,11220114
2026-03-06 21:19:58.693627,11220134
2026-03-06 21:19:58.736834,11220216
2026-03-06 21:19:58.795516,11220236
2026-03-06 21:19:58.838823,11220318
2026-03-06 21:19:58.897653,11220338
2026-03-06 21:19:58.940373,11220420
2026-03-06 21:19:58.999607,11220440
2026-03-06 21:19:59.042542,11220522
2026-03-06 21:19:59.101277,11220542
2026-03-06 21:19:59.144946,11220624
2026-03-06 21:19:59.203161,11220644
2026-03-06 21:19:59.246376,11220726
2026-03-06 21:19:59.305573,11220746
2026-03-06 21:19:59.348477,11220828
2026-03-06 21:19:59.407702,11220848
2026-03-06 21:19:59.450505,11220930
2026-03-06 21:19:59.509652,11220950
2026-03-06 21:19:59.55255,11221032
2026-03-06 21:19:59.611557,11221052
2026-03-06 21:19:59.654663,11221134
2026-03-06 21:19:59.7137,11221154
2026-03-06 21:19:59.75693,11221236
2026-03-06 21:19:59.815241,11221256
2026-03-06 21:19:59.858309,11221338
2026-03-06 21:19:59.917636,11221358
2026-03-06 21:19:59.960756,11221440
2026-03-06 21:20:00.01921,11221460
2026-03-06 21:20:00.063084,11221542
