time,PT_Cal.Ox_Upstream.raw_adc
2026-03-06 21:26:21.772824,220564207
2026-03-06 21:26:21.772931,220506897
2026-03-06 21:26:21.773164,220662647
2026-03-06 21:26:21.881889,220188656
2026-03-06 21:26:21.881969,220985607
2026-03-06 21:26:21.88204,220404413
2026-03-06 21:26:21.882129,220580389
2026-03-06 21:26:21.882244,220528473
2026-03-06 21:26:21.882728,220188656
2026-03-06 21:26:21.990927,219972900
2026-03-06 21:26:21.990982,220040998
2026-03-06 21:26:21.991115,220015377
2026-03-06 21:26:21.99127,219869067
2026-03-06 21:26:21.991447,220529822
2026-03-06 21:26:21.991633,220561511
2026-03-06 21:26:21.991797,219972900
2026-03-06 21:26:21.991838,220437451
2026-03-06 21:26:21.992267,220562185
2026-03-06 21:26:22.099723,220471163
2026-03-06 21:26:22.099781,220630283
2026-03-06 21:26:22.099861,220548025
2026-03-06 21:26:22.099967,220391602
2026-03-06 21:26:22.100058,220506897
2026-03-06 21:26:22.100108,220471163
2026-03-06 21:26:22.20891,220559487
2026-03-06 21:26:22.209022,220563534
2026-03-06 21:26:22.209172,220514313
2026-03-06 21:26:22.209374,220644442
2026-03-06 21:26:22.209464,220585783
2026-03-06 21:26:22.209582,220559487
2026-03-06 21:26:22.209631,219910196
2026-03-06 21:26:22.20988,220645790
2026-03-06 21:26:22.317514,220461049
2026-03-06 21:26:22.317598,220428011
2026-03-06 21:26:22.317634,220537912
2026-03-06 21:26:22.317693,220658601
2026-03-06 21:26:22.317761,220752994
2026-03-06 21:26:22.317847,220461049
2026-03-06 21:26:22.317858,219768606
2026-03-06 21:26:22.426682,219773326
2026-03-06 21:26:22.42702,220476556
2026-03-06 21:26:22.427051,219773326
2026-03-06 21:26:22.427089,220496110
2026-03-06 21:26:22.427174,219865696
2026-03-06 21:26:22.427419,219985037
2026-03-06 21:26:22.535716,220434079
2026-03-06 21:26:22.53582,220140786
2026-03-06 21:26:22.535884,219841424
2026-03-06 21:26:22.535939,220369353
2026-03-06 21:26:22.535995,219937165
2026-03-06 21:26:22.536056,219976272
2026-03-06 21:26:22.536117,220766479
2026-03-06 21:26:22.536189,220434079
2026-03-06 21:26:22.645103,220624215
2026-03-06 21:26:22.645197,219989082
2026-03-06 21:26:22.645261,220585783
2026-03-06 21:26:22.645325,220594548
2026-03-06 21:26:22.645386,220046393
2026-03-06 21:26:22.645446,219990430
2026-03-06 21:26:22.645506,219648591
2026-03-06 21:26:22.645553,220624215
2026-03-06 21:26:22.645575,220539260
2026-03-06 21:26:22.753721,220277656
2026-03-06 21:26:22.75393,220479253
2026-03-06 21:26:22.754013,220467118
2026-03-06 21:26:22.75413,220729396
2026-03-06 21:26:22.754322,220277656
2026-03-06 21:26:22.754337,220479928
2026-03-06 21:26:22.754487,220334293
2026-03-06 21:26:22.754804,220354520
2026-03-06 21:26:22.862855,219918961
2026-03-06 21:26:22.862906,219828613
2026-03-06 21:26:22.863051,219941885
2026-03-06 21:26:22.863211,219940537
2026-03-06 21:26:22.864192,219918961
2026-03-06 21:26:22.971989,220614776
2026-03-06 21:26:22.972109,220395648
2026-03-06 21:26:22.972245,220348451
2026-03-06 21:26:22.972304,220614776
2026-03-06 21:26:23.080592,220629608
2026-03-06 21:26:23.080632,220606011
2026-03-06 21:26:23.080679,220514988
2026-03-06 21:26:23.08076,220517011
2026-03-06 21:26:23.080866,220515662
2026-03-06 21:26:23.081,220629608
2026-03-06 21:26:23.189406,220337663
2026-03-06 21:26:23.189554,220523079
2026-03-06 21:26:23.189589,220337663
2026-03-06 21:26:23.189741,220433406
2026-03-06 21:26:23.189858,219939863
2026-03-06 21:26:23.189953,220640396
2026-03-06 21:26:23.190294,219946605
2026-03-06 21:26:23.190486,219901431
2026-03-06 21:26:23.298653,220030884
2026-03-06 21:26:23.298701,220639048
2026-03-06 21:26:23.298751,219885924
2026-03-06 21:26:23.298826,220593199
2026-03-06 21:26:23.298894,220490716
2026-03-06 21:26:23.298971,220585109
2026-03-06 21:26:23.299143,220030884
2026-03-06 21:26:23.407489,220477231
2026-03-06 21:26:23.40793,220473859
