time,BOARD.HB_12.board_state
2026-03-06 21:23:58.630338,2
2026-03-06 21:23:59.630598,2
2026-03-06 21:24:00.639684,2
2026-03-06 21:24:01.6484,2
2026-03-06 21:24:02.648419,2
2026-03-06 21:24:03.648345,2
2026-03-06 21:24:04.648047,2
2026-03-06 21:24:05.648484,2
2026-03-06 21:24:06.657751,2
2026-03-06 21:24:07.666529,2
2026-03-06 21:24:08.66636,2
2026-03-06 21:24:09.666476,2
2026-03-06 21:24:10.666121,2
2026-03-06 21:24:11.666419,2
2026-03-06 21:24:12.675684,2
2026-03-06 21:24:13.684132,2
2026-03-06 21:24:14.684486,2
2026-03-06 21:24:15.684395,2
2026-03-06 21:24:16.684517,2
2026-03-06 21:24:17.684617,2
2026-03-06 21:24:18.694023,2
2026-03-06 21:24:19.702867,2
2026-03-06 21:24:20.702247,2
2026-03-06 21:24:21.702386,2
2026-03-06 21:24:22.702673,2
2026-03-06 21:24:23.702396,2
2026-03-06 21:24:24.712254,2
2026-03-06 21:24:25.720476,2
2026-03-06 21:24:26.720761,2
2026-03-06 21:24:27.720444,2
2026-03-06 21:24:28.720566,2
2026-03-06 21:24:29.720533,2
2026-03-06 21:24:30.73047,2
2026-03-06 21:24:31.738465,2
2026-03-06 21:24:32.738774,2
2026-03-06 21:24:33.738866,2
2026-03-06 21:24:34.73872,2
2026-03-06 21:24:35.738478,2
2026-03-06 21:24:36.748197,2
2026-03-06 21:24:37.756485,2
2026-03-06 21:24:38.756755,2
2026-03-06 21:24:39.756457,2
2026-03-06 21:24:40.756591,2
2026-03-06 21:24:41.756385,2
2026-03-06 21:24:42.76624,2
2026-03-06 21:24:43.774493,2
2026-03-06 21:24:44.774484,2
2026-03-06 21:24:45.774398,2
2026-03-06 21:24:46.774687,2
2026-03-06 21:24:47.774782,2
2026-03-06 21:24:48.783999,2
2026-03-06 21:24:49.792784,2
2026-03-06 21:24:50.792952,2
2026-03-06 21:24:51.792513,2
2026-03-06 21:24:52.792964,2
2026-03-06 21:24:53.792754,2
2026-03-06 21:24:54.802256,2
2026-03-06 21:24:55.810419,2
2026-03-06 21:24:56.810443,2
2026-03-06 21:24:57.810971,2
2026-03-06 21:24:58.810595,2
2026-03-06 21:24:59.810936,2
2026-03-06 21:25:00.820106,2
2026-03-06 21:25:01.829038,2
2026-03-06 21:25:02.828622,2
2026-03-06 21:25:03.828831,2
2026-03-06 21:25:04.829006,2
2026-03-06 21:25:05.82893,2
2026-03-06 21:25:06.838213,2
2026-03-06 21:25:07.846842,2
2026-03-06 21:25:08.846507,2
2026-03-06 21:25:09.846761,2
2026-03-06 21:25:10.846896,2
2026-03-06 21:25:11.846961,2
2026-03-06 21:25:12.856458,2
2026-03-06 21:25:13.864797,2
2026-03-06 21:25:14.865064,2
2026-03-06 21:25:15.864939,2
2026-03-06 21:25:16.86484,2
2026-03-06 21:25:17.86504,2
2026-03-06 21:25:18.874328,2
2026-03-06 21:25:19.883047,2
2026-03-06 21:25:20.883273,2
2026-03-06 21:25:21.883134,2
2026-03-06 21:25:22.88322,2
2026-03-06 21:25:23.883063,2
2026-03-06 21:25:24.892531,2
2026-03-06 21:25:25.900739,2
2026-03-06 21:25:26.900792,2
2026-03-06 21:25:27.900882,2
2026-03-06 21:25:28.900818,2
2026-03-06 21:25:29.900855,2
2026-03-06 21:25:30.910353,2
2026-03-06 21:25:31.918932,2
2026-03-06 21:25:32.918873,2
2026-03-06 21:25:33.919182,2
2026-03-06 21:25:34.918988,2
2026-03-06 21:25:35.918895,2
2026-03-06 21:25:36.928778,2
2026-03-06 21:25:37.936681,2
2026-03-06 21:25:38.936823,2
2026-03-06 21:25:39.937011,2
2026-03-06 21:25:40.937189,2
2026-03-06 21:25:41.936994,2
2026-03-06 21:25:42.946675,2
2026-03-06 21:25:43.955163,2
2026-03-06 21:25:44.95528,2
2026-03-06 21:25:45.954988,2
2026-03-06 21:25:46.955322,2
2026-03-06 21:25:47.955203,2
2026-03-06 21:25:48.964328,2
2026-03-06 21:25:49.973287,2
2026-03-06 21:25:50.97311,2
2026-03-06 21:25:51.973011,2
2026-03-06 21:25:52.973338,2
2026-03-06 21:25:53.973377,2
2026-03-06 21:25:54.982563,2
2026-03-06 21:25:55.991054,2
2026-03-06 21:25:56.991246,2
2026-03-06 21:25:57.991191,2
2026-03-06 21:25:58.99163,2
2026-03-06 21:25:59.991157,2
2026-03-06 21:26:01.000638,2
2026-03-06 21:26:02.009063,2
2026-03-06 21:26:03.009079,2
2026-03-06 21:26:04.009138,2
2026-03-06 21:26:05.009229,2
2026-03-06 21:26:06.009216,2
2026-03-06 21:26:07.018655,2
2026-03-06 21:26:08.026973,2
2026-03-06 21:26:09.027005,2
2026-03-06 21:26:10.027201,2
2026-03-06 21:26:11.027081,2
2026-03-06 21:26:12.02733,2
2026-03-06 21:26:13.036698,2
2026-03-06 21:26:14.045199,2
2026-03-06 21:26:15.045301,2
2026-03-06 21:26:16.045017,2
2026-03-06 21:26:17.045226,2
2026-03-06 21:26:18.045558,2
2026-03-06 21:26:19.054872,2
2026-03-06 21:26:20.063202,2
2026-03-06 21:26:21.063019,2
2026-03-06 21:26:22.063526,2
2026-03-06 21:26:23.063451,2
2026-03-06 21:26:24.063473,2
2026-03-06 21:26:25.072979,2
2026-03-06 21:26:26.081657,2
2026-03-06 21:26:27.081244,2
2026-03-06 21:26:28.081575,2
2026-03-06 21:26:29.081319,2
2026-03-06 21:26:30.081407,2
2026-03-06 21:26:31.091169,2
2026-03-06 21:26:32.099177,2
2026-03-06 21:26:33.099175,2
2026-03-06 21:26:34.099463,2
2026-03-06 21:26:35.099534,2
2026-03-06 21:26:36.099616,2
2026-03-06 21:26:37.108927,2
2026-03-06 21:26:38.117478,2
2026-03-06 21:26:39.117648,2
2026-03-06 21:26:40.117541,2
2026-03-06 21:26:41.117555,2
2026-03-06 21:26:42.117525,2
2026-03-06 21:26:43.127191,2
2026-03-06 21:26:44.135341,2
2026-03-06 21:26:45.135335,2
2026-03-06 21:26:46.1353,2
2026-03-06 21:26:47.13538,2
2026-03-06 21:26:48.13549,2
2026-03-06 21:26:49.145342,2
2026-03-06 21:26:50.153293,2
2026-03-06 21:26:51.15318,2
2026-03-06 21:26:52.153558,2
2026-03-06 21:26:53.153443,2
2026-03-06 21:26:54.15358,2
2026-03-06 21:26:55.162983,2
2026-03-06 21:26:56.171388,2
2026-03-06 21:26:57.17155,2
2026-03-06 21:26:58.171828,2
2026-03-06 21:26:59.171735,2
2026-03-06 21:27:00.171541,2
2026-03-06 21:27:01.181045,2
2026-03-06 21:27:02.189357,2
2026-03-06 21:27:03.189584,2
2026-03-06 21:27:04.189177,2
2026-03-06 21:27:05.189384,2
2026-03-06 21:27:06.189694,2
2026-03-06 21:27:07.19911,2
2026-03-06 21:27:08.207585,2
2026-03-06 21:27:09.207399,2
2026-03-06 21:27:10.207916,2
2026-03-06 21:27:11.2075,2
2026-03-06 21:27:12.207437,2
2026-03-06 21:27:13.217046,2
2026-03-06 21:27:14.225541,2
2026-03-06 21:27:15.225649,2
