time,ACT.GSE_High_Press_Vent.sample_ts_ms
2026-03-06 21:34:47.630292,12109065
2026-03-06 21:34:47.706831,12109183
2026-03-06 21:34:47.7327,12109167
2026-03-06 21:34:47.807835,12109285
2026-03-06 21:34:47.834519,12109269
2026-03-06 21:34:47.909926,12109387
2026-03-06 21:34:47.936647,12109371
2026-03-06 21:34:48.011584,12109489
2026-03-06 21:34:48.038532,12109473
2026-03-06 21:34:48.113503,12109591
2026-03-06 21:34:48.140129,12109575
2026-03-06 21:34:48.215767,12109693
2026-03-06 21:34:48.242255,12109677
2026-03-06 21:34:48.317815,12109795
2026-03-06 21:34:48.344386,12109779
2026-03-06 21:34:48.419523,12109897
2026-03-06 21:34:48.446748,12109881
2026-03-06 21:34:48.521893,12109999
2026-03-06 21:34:48.548182,12109983
2026-03-06 21:34:48.624055,12110101
2026-03-06 21:34:48.650421,12110085
2026-03-06 21:34:48.72569,12110203
2026-03-06 21:34:48.752372,12110187
2026-03-06 21:34:48.827831,12110305
2026-03-06 21:34:48.854227,12110289
2026-03-06 21:34:48.929549,12110407
2026-03-06 21:34:48.956659,12110391
2026-03-06 21:34:49.032015,12110509
2026-03-06 21:34:49.058468,12110493
2026-03-06 21:34:49.13357,12110611
2026-03-06 21:34:49.161258,12110595
2026-03-06 21:34:49.236033,12110713
2026-03-06 21:34:49.262116,12110697
2026-03-06 21:34:49.337638,12110815
2026-03-06 21:34:49.364517,12110799
2026-03-06 21:34:49.439981,12110917
2026-03-06 21:34:49.466448,12110901
2026-03-06 21:34:49.542271,12111019
2026-03-06 21:34:49.568552,12111003
2026-03-06 21:34:49.643899,12111121
2026-03-06 21:34:49.67045,12111105
2026-03-06 21:34:49.745614,12111223
2026-03-06 21:34:49.772178,12111207
2026-03-06 21:34:49.847726,12111325
2026-03-06 21:34:49.874604,12111309
2026-03-06 21:34:49.949854,12111427
2026-03-06 21:34:49.976859,12111411
2026-03-06 21:34:50.051671,12111529
2026-03-06 21:34:50.078518,12111513
2026-03-06 21:34:50.153599,12111631
2026-03-06 21:34:50.180089,12111615
2026-03-06 21:34:50.255886,12111733
2026-03-06 21:34:50.282669,12111717
2026-03-06 21:34:50.358148,12111835
2026-03-06 21:34:50.384372,12111819
2026-03-06 21:34:50.460031,12111937
2026-03-06 21:34:50.487398,12111921
2026-03-06 21:34:50.5616,12112039
2026-03-06 21:34:50.588269,12112023
2026-03-06 21:34:50.66392,12112141
2026-03-06 21:34:50.690391,12112125
2026-03-06 21:34:50.765986,12112243
2026-03-06 21:34:50.792306,12112227
2026-03-06 21:34:50.868099,12112345
2026-03-06 21:34:50.894154,12112329
2026-03-06 21:34:50.969896,12112447
2026-03-06 21:34:50.996639,12112431
2026-03-06 21:34:51.071382,12112549
2026-03-06 21:34:51.098742,12112533
2026-03-06 21:34:51.17419,12112651
2026-03-06 21:34:51.20048,12112635
2026-03-06 21:34:51.275783,12112753
2026-03-06 21:34:51.302719,12112737
2026-03-06 21:34:51.377539,12112855
2026-03-06 21:34:51.404611,12112839
2026-03-06 21:34:51.480103,12112957
2026-03-06 21:34:51.506299,12112941
2026-03-06 21:34:51.581969,12113059
2026-03-06 21:34:51.608444,12113043
2026-03-06 21:34:51.683805,12113161
2026-03-06 21:34:51.710452,12113145
2026-03-06 21:34:51.785821,12113263
2026-03-06 21:34:51.812191,12113247
2026-03-06 21:34:51.887585,12113365
2026-03-06 21:34:51.914452,12113349
2026-03-06 21:34:51.98952,12113467
2026-03-06 21:34:52.016136,12113451
2026-03-06 21:34:52.09233,12113569
2026-03-06 21:34:52.118101,12113553
2026-03-06 21:34:52.194056,12113671
2026-03-06 21:34:52.220455,12113655
2026-03-06 21:34:52.295918,12113773
2026-03-06 21:34:52.32212,12113757
2026-03-06 21:34:52.397992,12113875
2026-03-06 21:34:52.424402,12113859
