time,ACT.GSE_High_Press_Control.actuator_state
2026-03-06 21:29:40.312335,0
2026-03-06 21:29:40.403744,0
2026-03-06 21:29:40.414252,0
2026-03-06 21:29:40.505473,0
2026-03-06 21:29:40.516388,0
2026-03-06 21:29:40.607507,0
2026-03-06 21:29:40.618479,0
2026-03-06 21:29:40.709757,0
2026-03-06 21:29:40.720397,0
2026-03-06 21:29:40.811192,0
2026-03-06 21:29:40.821958,0
2026-03-06 21:29:40.913409,0
2026-03-06 21:29:40.924099,0
2026-03-06 21:29:41.015706,0
2026-03-06 21:29:41.026366,0
2026-03-06 21:29:41.117856,0
2026-03-06 21:29:41.128199,0
2026-03-06 21:29:41.219859,0
2026-03-06 21:29:41.230202,0
2026-03-06 21:29:41.321782,0
2026-03-06 21:29:41.332124,0
2026-03-06 21:29:41.423491,0
2026-03-06 21:29:41.434114,0
2026-03-06 21:29:41.525343,0
2026-03-06 21:29:41.536342,0
2026-03-06 21:29:41.627819,0
2026-03-06 21:29:41.638207,0
2026-03-06 21:29:41.729925,0
2026-03-06 21:29:41.740536,0
2026-03-06 21:29:41.831398,0
2026-03-06 21:29:41.842253,0
2026-03-06 21:29:41.933584,0
2026-03-06 21:29:41.943351,0
2026-03-06 21:29:42.035801,0
2026-03-06 21:29:42.044908,0
2026-03-06 21:29:42.137538,0
2026-03-06 21:29:42.147177,0
2026-03-06 21:29:42.239392,0
2026-03-06 21:29:42.249268,0
2026-03-06 21:29:42.341286,0
2026-03-06 21:29:42.351064,0
2026-03-06 21:29:42.44365,0
2026-03-06 21:29:42.453295,0
2026-03-06 21:29:42.545694,0
2026-03-06 21:29:42.555339,0
2026-03-06 21:29:42.647338,0
2026-03-06 21:29:42.657156,0
2026-03-06 21:29:42.749586,0
2026-03-06 21:29:42.759322,0
2026-03-06 21:29:42.851414,0
2026-03-06 21:29:42.861168,0
2026-03-06 21:29:42.9536,0
2026-03-06 21:29:42.963343,0
2026-03-06 21:29:43.055577,0
2026-03-06 21:29:43.065238,0
2026-03-06 21:29:43.157499,0
2026-03-06 21:29:43.167168,0
2026-03-06 21:29:43.259879,0
2026-03-06 21:29:43.269003,0
2026-03-06 21:29:43.361583,0
2026-03-06 21:29:43.371321,0
2026-03-06 21:29:43.463594,0
2026-03-06 21:29:43.472966,0
2026-03-06 21:29:43.565863,0
2026-03-06 21:29:43.575482,0
2026-03-06 21:29:43.667522,0
2026-03-06 21:29:43.677014,0
2026-03-06 21:29:43.76965,0
2026-03-06 21:29:43.779359,0
2026-03-06 21:29:43.871855,0
2026-03-06 21:29:43.880992,0
2026-03-06 21:29:43.97358,0
2026-03-06 21:29:43.983489,0
2026-03-06 21:29:44.075352,0
2026-03-06 21:29:44.085133,0
2026-03-06 21:29:44.177553,0
2026-03-06 21:29:44.187847,0
2026-03-06 21:29:44.279682,0
2026-03-06 21:29:44.2893,0
2026-03-06 21:29:44.381377,0
2026-03-06 21:29:44.391806,0
2026-03-06 21:29:44.483402,0
2026-03-06 21:29:44.493383,0
2026-03-06 21:29:44.585566,0
2026-03-06 21:29:44.59535,0
2026-03-06 21:29:44.687404,0
2026-03-06 21:29:44.69684,0
2026-03-06 21:29:44.789552,0
2026-03-06 21:29:44.798972,0
2026-03-06 21:29:44.891332,0
2026-03-06 21:29:44.901092,0
2026-03-06 21:29:44.993298,0
2026-03-06 21:29:45.00321,0
2026-03-06 21:29:45.095373,0
2026-03-06 21:29:45.105064,0
2026-03-06 21:29:45.197513,0
2026-03-06 21:29:45.207529,0
2026-03-06 21:29:45.299343,0
2026-03-06 21:29:45.309314,0
2026-03-06 21:29:45.401631,0
2026-03-06 21:29:45.411351,0
2026-03-06 21:29:45.50348,0
2026-03-06 21:29:45.513124,0
2026-03-06 21:29:45.605438,0
2026-03-06 21:29:45.615258,0
2026-03-06 21:29:45.707557,0
2026-03-06 21:29:45.717347,0
2026-03-06 21:29:45.809645,0
2026-03-06 21:29:45.819456,0
2026-03-06 21:29:45.911713,0
2026-03-06 21:29:45.921429,0
2026-03-06 21:29:46.013582,0
2026-03-06 21:29:46.023023,0
2026-03-06 21:29:46.115539,0
2026-03-06 21:29:46.125374,0
2026-03-06 21:29:46.217478,0
2026-03-06 21:29:46.226965,0
2026-03-06 21:29:46.319371,0
2026-03-06 21:29:46.329616,0
2026-03-06 21:29:46.42156,0
2026-03-06 21:29:46.431458,0
2026-03-06 21:29:46.523342,0
2026-03-06 21:29:46.533254,0
2026-03-06 21:29:46.625815,0
2026-03-06 21:29:46.634946,0
2026-03-06 21:29:46.727825,0
2026-03-06 21:29:46.736916,0
2026-03-06 21:29:46.829535,0
2026-03-06 21:29:46.838961,0
2026-03-06 21:29:46.931713,0
2026-03-06 21:29:46.94112,0
2026-03-06 21:29:47.033326,0
2026-03-06 21:29:47.042921,0
2026-03-06 21:29:47.13533,0
2026-03-06 21:29:47.145278,0
2026-03-06 21:29:47.237481,0
