time,PT_Cal.Fuel_Downstream.channel_id
2026-03-06 21:18:54.432126,3
2026-03-06 21:18:54.432195,3
2026-03-06 21:18:54.432216,3
2026-03-06 21:18:54.43228,3
2026-03-06 21:18:54.43234,3
2026-03-06 21:18:54.541057,3
2026-03-06 21:18:54.541226,3
2026-03-06 21:18:54.541332,3
2026-03-06 21:18:54.541455,3
2026-03-06 21:18:54.541497,3
2026-03-06 21:18:54.649513,3
2026-03-06 21:18:54.649679,3
2026-03-06 21:18:54.649798,3
2026-03-06 21:18:54.649933,3
2026-03-06 21:18:54.650033,3
2026-03-06 21:18:54.758704,3
2026-03-06 21:18:54.758725,3
2026-03-06 21:18:54.758826,3
2026-03-06 21:18:54.759091,3
2026-03-06 21:18:54.759181,3
2026-03-06 21:18:54.759261,3
2026-03-06 21:18:54.868369,3
2026-03-06 21:18:54.868581,3
2026-03-06 21:18:54.868751,3
2026-03-06 21:18:54.868929,3
2026-03-06 21:18:54.869104,3
2026-03-06 21:18:54.869127,3
2026-03-06 21:18:54.869309,3
2026-03-06 21:18:54.97671,3
2026-03-06 21:18:54.976807,3
2026-03-06 21:18:54.97686,3
2026-03-06 21:18:54.976915,3
2026-03-06 21:18:54.976977,3
2026-03-06 21:18:54.977181,3
2026-03-06 21:18:55.085737,3
2026-03-06 21:18:55.085838,3
2026-03-06 21:18:55.085902,3
2026-03-06 21:18:55.085934,3
2026-03-06 21:18:55.085956,3
2026-03-06 21:18:55.086036,3
2026-03-06 21:18:55.194804,3
2026-03-06 21:18:55.194943,3
2026-03-06 21:18:55.19508,3
2026-03-06 21:18:55.195215,3
2026-03-06 21:18:55.195345,3
2026-03-06 21:18:55.195498,3
2026-03-06 21:18:55.304081,3
2026-03-06 21:18:55.304251,3
2026-03-06 21:18:55.304351,3
2026-03-06 21:18:55.304521,3
2026-03-06 21:18:55.304555,3
2026-03-06 21:18:55.304716,3
2026-03-06 21:18:55.413069,3
2026-03-06 21:18:55.413428,3
