time,PT_Cal.GSE_Low.cal_status
2026-03-06 21:37:25.379427,1
2026-03-06 21:37:25.379738,1
2026-03-06 21:37:25.380088,1
2026-03-06 21:37:25.38053,1
2026-03-06 21:37:25.487267,1
2026-03-06 21:37:25.487453,1
2026-03-06 21:37:25.489276,1
2026-03-06 21:37:25.48934,1
2026-03-06 21:37:25.491427,1
2026-03-06 21:37:25.491541,1
2026-03-06 21:37:25.492636,0
2026-03-06 21:37:25.493344,1
2026-03-06 21:37:25.594942,1
2026-03-06 21:37:25.595242,1
2026-03-06 21:37:25.598509,1
2026-03-06 21:37:25.598729,1
2026-03-06 21:37:25.599152,1
2026-03-06 21:37:25.599349,1
2026-03-06 21:37:25.599415,0
2026-03-06 21:37:25.703668,1
2026-03-06 21:37:25.703826,1
2026-03-06 21:37:25.704049,1
2026-03-06 21:37:25.704189,0
2026-03-06 21:37:25.706262,1
2026-03-06 21:37:25.706315,1
2026-03-06 21:37:25.706345,1
2026-03-06 21:37:25.706379,1
2026-03-06 21:37:25.81554,1
2026-03-06 21:37:25.816928,0
2026-03-06 21:37:25.922531,1
2026-03-06 21:37:25.922618,1
2026-03-06 21:37:25.923152,0
2026-03-06 21:37:25.924261,1
2026-03-06 21:37:25.92431,1
2026-03-06 21:37:25.924337,1
2026-03-06 21:37:25.924374,1
2026-03-06 21:37:25.924395,1
2026-03-06 21:37:26.031522,1
2026-03-06 21:37:26.031631,1
2026-03-06 21:37:26.031806,1
2026-03-06 21:37:26.03279,1
2026-03-06 21:37:26.032842,1
2026-03-06 21:37:26.032862,1
2026-03-06 21:37:26.032883,1
2026-03-06 21:37:26.033215,0
2026-03-06 21:37:26.142332,1
2026-03-06 21:37:26.142902,0
2026-03-06 21:37:26.25264,1
2026-03-06 21:37:26.253368,0
2026-03-06 21:37:26.359722,1
2026-03-06 21:37:26.360209,1
2026-03-06 21:37:26.360575,1
2026-03-06 21:37:26.361018,1
2026-03-06 21:37:26.361024,0
2026-03-06 21:37:26.361375,1
2026-03-06 21:37:26.361826,1
2026-03-06 21:37:26.363703,1
2026-03-06 21:37:26.467958,0
2026-03-06 21:37:26.468312,1
2026-03-06 21:37:26.468371,1
2026-03-06 21:37:26.468406,1
2026-03-06 21:37:26.468448,1
2026-03-06 21:37:26.468506,1
2026-03-06 21:37:26.468563,1
2026-03-06 21:37:26.469811,1
2026-03-06 21:37:26.576386,1
2026-03-06 21:37:26.576472,1
2026-03-06 21:37:26.576506,1
2026-03-06 21:37:26.576585,1
2026-03-06 21:37:26.576837,1
