time,PT_Cal.GSE_High.raw_adc
2026-03-06 21:18:08.717448,570884892
2026-03-06 21:18:08.717482,570743994
2026-03-06 21:18:08.717483,570677253
2026-03-06 21:18:08.717528,570692758
2026-03-06 21:18:08.817512,570835678
2026-03-06 21:18:08.817612,571023095
2026-03-06 21:18:08.81767,570837701
2026-03-06 21:18:08.817741,570540397
2026-03-06 21:18:08.817815,570688713
2026-03-06 21:18:08.817887,570772982
2026-03-06 21:18:08.817956,571049386
2026-03-06 21:18:08.818066,570835678
2026-03-06 21:18:08.917523,570776354
2026-03-06 21:18:08.91762,570895005
2026-03-06 21:18:08.917707,570636129
2026-03-06 21:18:08.917788,570771634
2026-03-06 21:18:08.91788,570641522
2026-03-06 21:18:08.917962,570615229
2026-03-06 21:18:08.918057,570545792
2026-03-06 21:18:08.918498,570636129
2026-03-06 21:18:09.020993,571062870
2026-03-06 21:18:09.021062,571062870
2026-03-06 21:18:09.021118,570831634
2026-03-06 21:18:09.021167,570994106
2026-03-06 21:18:09.021204,570605118
2026-03-06 21:18:09.021249,570739274
2026-03-06 21:18:09.021294,570788488
2026-03-06 21:18:09.021335,570866016
2026-03-06 21:18:09.021368,570704218
2026-03-06 21:18:09.12126,570666465
2026-03-06 21:18:09.121316,570620623
2026-03-06 21:18:09.121319,570666465
2026-03-06 21:18:09.121362,570665117
2026-03-06 21:18:09.121404,570710286
2026-03-06 21:18:09.121446,570752758
2026-03-06 21:18:09.121477,570781073
2026-03-06 21:18:09.121528,570869386
2026-03-06 21:18:09.220932,570760847
2026-03-06 21:18:09.220978,570701522
2026-03-06 21:18:09.220997,570621298
2026-03-06 21:18:09.221034,570754105
2026-03-06 21:18:09.221059,570520173
2026-03-06 21:18:09.221104,570524892
2026-03-06 21:18:09.22114,570881522
2026-03-06 21:18:09.221283,570701522
2026-03-06 21:18:09.321497,570741971
2026-03-06 21:18:09.321548,570808038
2026-03-06 21:18:09.32158,570671184
2026-03-06 21:18:09.321609,570911858
2026-03-06 21:18:09.321755,570792533
2026-03-06 21:18:09.321791,570870735
2026-03-06 21:18:09.321824,570952982
2026-03-06 21:18:09.321993,570741971
2026-03-06 21:18:09.421333,570820847
2026-03-06 21:18:09.421414,570861297
2026-03-06 21:18:09.421441,570611185
2026-03-06 21:18:09.421501,570910510
2026-03-06 21:18:09.421544,570781746
2026-03-06 21:18:09.421587,570708938
2026-03-06 21:18:09.421638,570858601
2026-03-06 21:18:09.421691,570793882
2026-03-06 21:18:09.422041,570708938
2026-03-06 21:18:09.521136,570836353
2026-03-06 21:18:09.521267,570819498
2026-03-06 21:18:09.521542,570532982
2026-03-06 21:18:09.521602,570689386
2026-03-06 21:18:09.521684,570784443
2026-03-06 21:18:09.52175,570805342
2026-03-06 21:18:09.52231,570784443
2026-03-06 21:18:09.62078,570812757
2026-03-06 21:18:09.620854,570784443
2026-03-06 21:18:09.620886,570779724
2026-03-06 21:18:09.620913,570897027
2026-03-06 21:18:09.620941,570712982
2026-03-06 21:18:09.620979,570714330
2026-03-06 21:18:09.621027,570659050
2026-03-06 21:18:09.721994,570669837
2026-03-06 21:18:09.722098,570657701
2026-03-06 21:18:09.722179,570681297
2026-03-06 21:18:09.722263,570838375
2026-03-06 21:18:09.722337,570789837
2026-03-06 21:18:09.72243,570895005
2026-03-06 21:18:09.722606,570669837
2026-03-06 21:18:09.822194,570809387
2026-03-06 21:18:09.822277,570735905
2026-03-06 21:18:09.822331,570721072
2026-03-06 21:18:09.82238,570879499
2026-03-06 21:18:09.822417,570820847
2026-03-06 21:18:09.82246,570764218
2026-03-06 21:18:09.82252,570773657
2026-03-06 21:18:09.822672,570809387
2026-03-06 21:18:09.922153,570705566
2026-03-06 21:18:09.922219,570656353
2026-03-06 21:18:09.922259,570882870
2026-03-06 21:18:09.922328,570713657
2026-03-06 21:18:09.922386,570735230
2026-03-06 21:18:09.922461,570898375
2026-03-06 21:18:09.922489,570801971
2026-03-06 21:18:09.922735,570705566
2026-03-06 21:18:10.026463,570685342
2026-03-06 21:18:10.026597,570681297
2026-03-06 21:18:10.026667,570777027
2026-03-06 21:18:10.026748,570771634
2026-03-06 21:18:10.026776,570685342
2026-03-06 21:18:10.026829,570857926
